index	Domain	Label	Rating	Review
68	AlarmClock	NEG	2	I see it in Brookstone a few day ago and be totally sell on the idea of `` self-setting '' . well , that be actually not very true . pro : large display with adjustable level . the blue display also look a lot better than the usual green or red . the alarm be easy to use . it `` should '' be able to automatically adjust for Daylight Savings Time . con : Brookstone be intentionally vague about what they mean by `` self-setting '' . no , it do not connect to the US atomic clock as some reviewer say . it be merely pre-set in the factory , and sustain by the battery . if you look at they manual -lrb- -lrb- ... -rrb- -rrb- you will understand why : if you `` reset '' the clock , it will not reset to the current time . I do not realize this until I be try out the feature and inadvertently change the original clock . I think by `` reset '' the clock it will adjust back automatically . nope . this be the feature that I think be worth the price tag , but now I just feel cheated . the clock do use a battery -lrb- pre-installed -rrb- . so it be not really `` self-setting '' . while it store the day\/month\/year info , there be no way to show they on the clock screen . and , it be a lot easier and more tempting to turn of the alarm than snooze : the button to turn it off be a lot taller than the snooze button . overall , it be not a bad one even if it be not really automatic . I just wish they be more straightforward about what it really be .
108	AlarmClock	POS	5	i buy this clock for when i go to jail , it work great wake I up every day and the batt . last a long time
654	AlarmClock	NEG	2	I have such great expectation for the alarm clock when I purchase it over a year ago . First of all it work fine . it sit nice and compact on my nightstand . however , it have too many little problem to make it worth the hassle . the alarm clock have too many battery to keep up with ; one for the analog and one for digital clock and the nature sound can be hear bleed through when the radio be play . its just slight but its annoying to I . its not worth the hassle or money .
202	AlarmClock	NEG	2	I purchase this because I want a alarm that do not need to be plug into the wall , but I be disappoint with how cheap the plastic be . look and feel junky .
543	AlarmClock	POS	4	product have good display characteristic . Easy to read in the dark . I think its automatic time set be 1 minute off which be a bit disconcerting .
442	AlarmClock	NEG	2	I have be search for a affordable sunrise simulator for some time now , and still have not find one that be worth the money . the Soleil Sun Alarm clock be cheaply make but come with a large price tag . it be small in size , which make it great for place it on a small nightstand , but it have to be position just so in order to read the display -lrb- the instruction recommend `` eye level '' , but that be not necessarily the case -rrb- . the display be not illuminate , so it be unreadable unless you press a button to activate the backlight . the nature sound have a annoying hum accompany the sound regardless of the volume . the lead light be a great addition , but be not replaceable which be a problem . the light itself be not bright enough to use as a reading light , which be one of the feature list in the product description . I would not recommend this product .
621	AlarmClock	POS	5	this be a very neat product from lego since i be a fan of the star war series . I especially like ease of set up set up , very user friendly . the number on the clock be large and bold which make tell the time easy . however , the clock only use a standard alarm tone , I be hope for something star war theme . overall it be a great product for star war and lego fan alike .
802	AlarmClock	POS	4	I really enjoy this product ; however it seem to wear out after a while . it would be important to keep in mind that this be a water resistant product and not water proof . I think that be where I go wrong . I think some water accidentally get in and scramble thing up , but this be my fault and not really a fault with the product . I highly suggest have a shower radio , it be great tool for relaxing and can make you shower oh so much better .
701	AlarmClock	NEG	2	I have this same bird clock for many year . when it accidentally fall off my nightstand and break , I decide to buy the exact same clock since I be so pleased with it in the past . however , it be not the same , and not just in appearance . this one , though it look similar , be more cheaply make . compare in weight , it be must lighter and more `` plastic '' look . the case on my previous bird clock be a silver color , whereby this one be a dark gray lightweight plastic . to advance time or alarm time , you can not just hold the button down to scroll to the desire hour or minute . you now have to hit the button individually for each hour or minute desire . so the price have remain the same , but the quality have deteriorate .
166	AlarmClock	NEG	1	I should have review the detail more closely . first off the picture be misleading , this clock do not light up unless you hit the snooze light . the light stay on for a few seconds , this be not what I be look for . very cheap and when you be try to check the time in the dark you have to scramble to press the button . nope !
