index	Domain	Label	Rating	Review
58	Baby	NEG	1	I wish this seat have be test and revise before final production because it could be a great car seat . instead , the way that it fit into the seat as a rear face seat make it impossible to adjust the tightness of the strap , which equal a unsafe fit for you child . very disappointed . it may be different as a forward face seat , but that do not help we or own 6 month old . as insult to injury , the instruction be clearly -lrb- very poorly -rrb- translate from a foreign language , which make it impossible to understand . you basically just use common sense to get the seat latch because the direction make no sense . this be a huge hassle and I plan on return it immediately .
128	Baby	POS	5	I be hesitant to buy this product - I have shower door , and no review mention door , just curtain ... I be happy to say , it do work with my shower door -lrb- see picture -rrb- and meet we need . the two tray be tight to slide together -lrb- as mention in other review -rrb- . once adjust however , I know they 'll stay put . we toy fit well inside the basket ; there be more space than I expect . my daughter have -lrb- so far -rrb- be good about pick up she toy after she bath , so I can happily announce that they be no longer scatter across the tub and floor after every bath ! I be able to move the basket to the front , middle , or rear of the tub -lrb- depend on who be use it at the time -rrb- . for those review that say this be a unsafe product - the first warning read , `` Bath Storage Basket be not to be use to assist in balance . use only as intend : to hold toy , bath care item , etc. '' I would not want my child pull themselves up on something plastic and unsecured anyway , especially in the tub . clearly it be not go to be stable unless bolt down . if you think you child will be pull themselves up , no tub storage would be a good idea for you ... or , just remove the basket during bath time . I would certainly buy this product again , or recommend it to a friend .
148	Baby	POS	5	these spoon be great ! the long handle be perfect for feed , particularly early on . initially , I think the spoon part be too deep , but actually it fit great into my daughter 's mouth and make it easier to feed more liquidy food . now that she be start to use spoon to feed herself a bit , these be not as easy for she to use , but I definitely recommend they early on .
794	Baby	POS	5	these be SO adorable to spruce up any outfit because they go with almost anything . they be also nice to keep on hand in the diaper bag when you be not sure what dress the weather permit . I have be able to put my daughter in cute little rompers with these and a sweater , even though it be be a chilly spring . I be so happy with they , I just buy another pair for a shower gift ! love ! love ! love !
333	Baby	POS	5	Perfect for twin . Perfect for a single child . I use it for bottle and for all my pump supplies . we have one for my sister when she visit with the twin . both rack fit in a nice small space in a corner of countertop space . do not try to sterilize the rod that run through the top and bottom rack unless you have a pot large enough . hot metal and plastic do not mix . the rod will warp . great product .
609	Baby	POS	5	this be the best bib and now it be the only one my 17-month-old son want to wear . it be easy to clean , dishwasher safe , stay on when properful fasten , and the design ALWAYS catch fall food . my son will even snatch the food out of he bib to eat it when he notice it be fall . only downfall be that it also catch liquid and sometimes he will fold the bib up -lrb- he like to tuck it under he chin for some reason , I think so he can get a better view of he high chair tray -rrb- , so it spill out . this be a must-have bib if you have a lively baby\/toddler who like to assert his\/her independence when eat . we friend who do not have one marvel at this bib whenever they first see we son use it . make for a lot less mess and faster clean-up .
404	Baby	NEG	1	I hate these bowl . I be go to return they . the lid be super hard to get off and the suction do not work at all ! sometimes I can get the bowl to stick for a matter of seconds , and I can not get they off . then my son reach over and pull they off with no effort at all . if these be wash in the dishwasher and the suction cup be touch anything during the dry cycle , it will become deform and ruin any chance you ever have of it suction . I would not recommend these to anyone .
395	Baby	NEG	1	its quality seem not good . I use it 5 time a day and 4 month till now . its motor sound be get louder a week ago . now it can not work anymore . my friend buy the same product at almost the same time and hers be break , too .  philip AVENT BPA Free Twin Electric breast pump , White
736	Baby	NEG	1	it seem like this product would work fine for plastic bottle , but when I be try to use it for my glass bottle , not only would the little peg not stay in so they be always fall all over the place , but the spin feature would not work with the heavier glass bottle . I would recommend the `` Prince Lionheart complete Drying Station '' instead . I have not try any other product , but the price lionheart product still have a small footprint and I can fit more bottle on it and access everything I need . good Luck !
259	Baby	POS	5	i love this product ! i dress my baby in long sleeve\/long leg all-in-one PJs , then place he in the sack . he stay nice and warm all night and can roll around the crib as much as he like !! although i try to avoid diaper change at night , if it be necessary the zip make it easy to change he without wake he up too much . it be super easy to wash with all he clothes and dry well in the dryer -lrb- i use the low heat setting -rrb- . definitely recommend this !!
905	Baby	NEG	1	I order this item over a month ago ... I be still wait for it !!! I know once I receive the product , we will love it , I have have they before , but I have never have anything take this long !!!
686	Baby	POS	5	we buy this sleepsack to take with we when we visit relative in colder weather . Baby seem to love it . we have to only dress he in a long sleeve onesie b\/c it be so warm . I wish they make this in a v-neck or lower neck version . all of the sleepsack tend to creep up on the little guy and we keep have to pull it down so it do not go over he face .
