index	Domain	Label	Rating	Review
818	Bag	POS	5	I purchase this last week and get it a few day ago . this be a great digital camera bag . I do extensive research before commit and I must say it pay off . the bag have a nice divider which I use to seperate my cable from my camera . it also be line with a soft fabric so you lcd screen be not scratch . I must say that if you stuff the main compartman , the front compartment be basially render useless . the front area have two laminated compartment for smartmedium or compactflash card . they be basically the only two thing that will fit since the camera in the main compartment make it a very tight fit .
556	Bag	NEG	1	I buy a 1274dv a few year ago . as I have find with other Bosch tool they be hit or miss . you might get lucky . you might get a lemon . my sander be worthless . I get about 2-3 hour use out of it . the paper will not stay on no matter how much time I or anyone else devote to try to solve the problem . I replace it with a Dewalt . I keep the bosch on a pile of junk in my shop to remind I of the problem I have have with Bosch tool .
272	Bag	NEG	2	this dust collector bag do catch a majority of the sawdust during cut , however , sawdust still fly out the bottom , top and around the blade , so do cut in a closed basement or close garage be still go to require clean-up .
318	Bag	NEG	1	I be still wait for this item , and I , too , order it in late December . the other two bonus item come quickly , but it be the bag I really want most ! come on people ... and today my delivery estimate change to add another MONTH ???? you have get to be kid I .
932	Bag	POS	4	it be really well do and it fit we Canon a640 like a glove . I just will not give it a 5 star because there be nothing innovative about it .
27	Bag	NEG	2	we order this bag when we order the Garrett ace 150 detector . I wish the bag be bigger . you need to take the detector apart every time you put it away . even shorten the detector the whole way be not enough . they could have make the bag just few inch longer and it would have make the difference .
311	Bag	POS	5	this bag really do hold everything ! I do not have a laptop but that be not a problem because I use that section as a place to put thing I need quickly or to put away safely like contact lense case and stuff like that . with the very handy clip for the key , I be not stand out in the rain hunting for key that have fall to the bottom of the bag . I would seriously recommend this bag to anyone who need a little more versatility but want a bag that would not look out of place at work either . one particularly fine day , I manage to fit in book , a mini picnic and my jacket and not once do my shoulder feel like it be about to break . no mean feat . buy it , buy it now !
542	Bag	NEG	1	I be not even sure where to start ... well , its not a back pack . its a carry case with handle and a shoulder strap . the strap be uncomfortable , skinny , and way too long for even a large human male . the damn thing do not fit my detector without break it down . after break it down the battery pack and headphone do not fit in the pocket . I almost lose my battery pack and control unit on the trail because they fall out of the way too small unable to zip pouch . my fishing pole may fit , if I keep it . at this point im so frustrated I want nothing to do with garrett , optics planet , or Amazon . do not waste you money .
538	Bag	POS	5	love this bag . sturdy and much bigger than i think it would be . lot of way to configure interior padding . I have one body and two lens , two strobe and battery charge etc. . all fit great . lot of place to put all the little thing . build quality feel good and should last on the road . thanks
352	Bag	NEG	2	buy this along with the saw since I know I would be use it inside for install new flooring . it ` collect ' maybe half of the saw dust . finally disconnect this waste of money and hook the shop vac to the saw with much better result .
685	Bag	NEG	1	most of the dust blow out around the saw blade , but there be a little bit leave over that collect in the bag . I would say about 20 % of the dust be actually collect . save you money and use a shop vac or a real dust collector .
676	Bag	NEG	1	do not do it ! I buy the bag to go with my worksite Bosch Table see -lrb- the saw be awesome -rrb- . there be dust everywhere , include a bit in the bag . but if it be go to be everywhere anyway , I still need to vacuum , so now I need to do that and empty the bag too . I would have save the 15 buck and up the shop vac to the next level instead .
458	Bag	NEG	2	I buy one of these for my s-10 digital camera , and proceed to wear it around , somewhat extensively , after 6 or 7 month of own it though , the stitch along the zipper come totally out , render it somewhat useless . I replace it with a somewhat less fashionable , but more durable Samsonite camera bag . also the zippered opening of this bag be prone to slightly scratch or mar plastic , or antireflective coating such as those on camera lcd .
762	Bag	POS	4	before puchase this tool bag , I take the time to read the review on this site . after receive and use it , I couldnt ' be more satisfied . it be everything I expect it to be . it have plenty of room and pocket to organize my tool and its nice not to have to dig down in the bottom of the bag to find the one you need . have not have it long enough to see how it will hold up , but it look to be very well construct . I plan on get another .
489	Bag	POS	5	bag be excellent ! read carefully before you order , it be the bag only . no cable . Perfect size for car . some one say it be too small , I do not know what kind of cable he be put in , but a set of heavy duty cable for car fit well .
