index	Domain	Label	Rating	Review
417	CableModem	NEG	2	I have purchase two of these unit , both die within a year . I do install they in a attic space so not sure if the temperature extreme be what kill they . either way you would think they would be more durable .
198	CableModem	POS	5	should have try unhook the old amp first because it be not work very good , then the lightning make it work not all all . after install the unit , all the station , and more , come in much better . need the splitter becasue I be too lazy to want to go down in the basement and change the cable . note a `` 10 '' gain on the converter box signal after hook it up .
537	CableModem	POS	5	the install be easy . plug it in and call Comcast . they ask for the model # and MAC ID # . Comcast confirm that the sb6121 be a good choice . both number be easy to find , albeit print in very small print - have a magnifying glass ready . Motorola have a sticker on the side of the modem with the MAC ID , and several sticker in the box with the same info - to place on the computer around you home , I guess - in case you ever have to call you internet provider . I spend about 15 minute on hold with Comcast to get to a real person . they tech rep be very pleasant and helpful . she walk I through the step . basically , all I have to do be turn off my router . my computer , a 2011 Apple iMac , be plug into a wireless router , that be in turn plug into the new modem . Comcast find my modem and activate it . I do not even have to unplug from the router and connect directly modem to computer . once I get to a person at Comcast , it take about 10 minute . they tell I be to drop off the old modem so the rental could be take off my bill . speed test prior to swap modem average 10 to 15 mbp for download . after install the sb 6121 , download speed improve to 35 mbp . upload now come in at about 5.5 mbp . some user mention the sb6121 modem get warm . after a hour or so of download video , I find it be only warm to the touch - not hot . should have do this a long time ago . even if this new router fail some day , I now know it be no big deal to replace it .
677	CableModem	POS	5	product come in the original packaging and work like a charm out of the box . no issue at all to date -lrb- only be about a month -rrb- . I no longer have to pay the ridiculous Comcast fee and have better performance to boot . very satisfied .
318	CableModem	NEG	2	I have purchase this modem to replace a lease modem from Comcast . I be on the phone with Comcast for less than 20 minute and everything be up and operational . after successfully get this modem up and run for about a day or so , the modem some how be power down by itself and it never come back online again . no led or power on the box . I have the modem return to Amazon for full refund and decide to give SBG6580 DOCIS 3.0 \/ WIFI\/Router a shot . I be not disappoint at all , because I still have the dsl as a backup connection until the new replacement modem arrive . 1 , attach the coaxial cable to the modem , 2 , power it on 3 , attach the one end of the LAN cable directly to you computer and the other to the modem . 4 , if you get the 192.168.1 . x address and no default gateway set , then it be time to put a call into Comcast . 5 , before call Comcast , take down the HFC MAC address from you modem . 6 , all the light should turn green once Comcast have activate it successfully . 7 , if you be still get the 192.168.1 . x address from the modem via DHCP . here be the fun part , which Comcast technician do occasionally ask they customer to do in order to resolve the issue be by reboot they pc . I do not see there be a need for reboot you pc , just detach the LAN cable from you pc or from the modem end and re-attaching it again . you should see the 76 . x.x. x -lrb- comcast public , could be different for other carrier -rrb- address obtain on you pc . this have indicate the modem be now in bridge mode and be fully functional . 8 , open up a terminal window and try to ping -lrb- ... -rrb- or 8.8.8.8 . if you see the ping response , then you be good to go . if you be not computer wiz , then just bring up you internet explorer or browser to test you connectivity . 9 , speedtest you connection too by go to -lrb- ... -rrb- before let Comcast tech get off the line . 10 , now you can disconnect the LAN cable from you pc and have it plug into you home router\/wireless WAN port . good luck everyone and hope I will get better luck with sbg6580 .
703	CableModem	NEG	1	listen to the other one star review ! I think , `` sure , a few people get a bad unit that continually reset itself , but surely , Motorola have fix the issue by now . there be so many good review , I 'll buy it ! '' wrong ! heap of junk continually reset . my cable installation be brand new , include the main box in the back yard . Moto be worthless .
959	CableModem	NEG	1	I do not know what to think . accord to all these great review , this router be suppose to walk on water . well , my connection suck ! you would think I have dial-up internet vs cable wireless . at certain point throughout the day , my connection be great . however 80-90 % of the day its very slow . I have a MAC MacBook pro . I can not have too many window open simultaneously . its only when I close window that my connection speed up . its awful . I be go to put this thing on eBay to recoup some of my $ 100 , and try another router before I totally give up on Comcast .
896	CableModem	POS	5	if you want the best , you have to be willing to pay for quality . between buy this and change provider my speed , reliability and gaming have greatly improve .
594	CableModem	NEG	2	I buy this modem after extensive research and the great product review . it be a `` 3 star '' rate approved modem for comcast\/xfinity . the self setup be dead simple - connect the cable input to the modem , power up and let it sync with the signal . then I directly connect the modem to my laptop and `` fire up '' the browser which take I to the activation page for Comcast . inpute the information request -lrb- account no. , mac id , phone number -rrb- and activate the modem . in less than 30 minute I be online with blaze speed . I than connect my router to the modem and the network be up and run . I be amaze and really pleased with myself , Comcast and Motorola . the modem perform great for a few hour , than the problem start . I lose connection and signal sync . ok - decide to do a hard restart : I disconnect the modem , disconnect the power and the cable . do a hard restart , reconnect the cable and ethernet and be back online - for about one hour . I lose connection again . call Comcast - good tech support who check thing at he end and instruct I to do another hard restart . I be back online for the rest of the evening . however , when I get up in the morning I be again offline . at that point I check the Comcast Broadband forum for some answer . this be a known issue with many user of the sb6121 and be trace to the quality of the signal from the isp . if the signal be less than ideal -lrb- snr , Power Level -rrb- any noise will kick you offline and the modem will not self recover . you will have to do a hard restart each time to get back online . when online , you 'll get great internet speed . but you 'll suffer from frequent disconnect and the need to reboot the modem . aside from the inconvenience , the need for frequent hard reboot can not be good for the durability of the modem . so unless you have good signal quality from the isp I would recommend you buy another modem . in my case -lrb- after research the user Forum -rrb- , I switch to a zoom 5341j . so far after 2 day - no problem . by the way , after look at the certification rating on the Xfinity\/Comcast Approved Modems list more closely , I learn the `` star '' be not a measure of quality or performance of the modem . the star be a measure of the level of test the modem have go through during certification . each star be another level of testing . in summary - the Motorola sb6121 be a good modem but maybe too sensitive the signal quality for some user .
649	CableModem	NEG	1	this modem be not compactable with Comcast . it be not on they approve modem list and can not be activate . would have be nice if this be mention in the product description or tech spec .
