index	Domain	Label	Rating	Review
735	Dumbbell	NEG	1	I would prefer to say something positive , but I can not . the motion of each end be very slight and make no click or noise , so you get no satisfaction and no particular value in a work out . two $ 5 2 1\/2 lb weight from a discount store would do you more good than this basically useless item . I do not understand all the positive review . they must be from friend of the manufacturer . I guess I could say they have good commercial because I buy one , but they do not even act like the one you see in the commercial . I be give mine to any one who will take it .
823	Dumbbell	NEG	2	this shakeweight do not work at all . 6 minute a day , no way ! if you be look for a workout , do not waste you money on this !
787	Dumbbell	POS	4	Pretty expensive for a stand that just hold select-tech . construction be sturdy and it be easy to put together . the best part about it be not have to bend down and risk strain you back dialing and pick up a different weight . also speed thing up when you try to keep up with a exercise dvd that have you switching weight a lot . overal i recommend it , just think it could be a little cheaper .
968	Dumbbell	POS	5	this have to be one of the best investment I have make . I use to buy a specific weight dumbbell think that I would use it for a while before increase the weight . when I start p90x , I realize that I need multiple weight and I need to be able to change the weight fast to keep up with the video . this be where the PowerBlock weight shine . the transition between the weight be flawless -lrb- with PowerBlock Sport Tray -rrb- . I be hesitant to spend so much money on dumbbell , but I can not imagine have multiple set of weight all over my house that would probably cost much more . I have to mention that the magnet design in my opinion be superior to the Bowflex SelecTech dumbbell for a couple of reason . as mention before by other review , the SelecTech be a little on the bulky side and create awkward movement in you workout because you 'll constantly be try to avoid contact with the dumbbell . it be kind of hard to explain , but the Bowflex dumbbell extend wider with add weight . my friend have the SelectTech and he always have to wear tight clothing so the gated part of the dumbbell be not catch in he shirt . another problem be that the weight selection dial break when all my friend do be drop the dumbbell inch from the ground . I think the quality would be a little better than that . it take he forever to get a replacement . this be the main reason why I look for a alternative . I never have any such problem with my PowerBlocks and it only take I a couple of try to memorize the color\/weight indicator . the weight always seem secure and I can do multiple workout in less time with a each switch of my select weight . I recommend this product for anyone who utility multiple weight do workout -lrb- which be pretty much everyone -rrb- . you will not regret the investment .
576	Dumbbell	POS	5	first of all i start by first review the comment about the product and i be hook now buy the men instead of the women because the man have more weight for one and second the grip be bigger for bigger hand . now for the real review well this product work like a charm ive do free weight for a hour and i dont get the pain that this product give I i promise you if you get this product for six minute of youre time you will define youre arm . Finaly it do look weird when do the workout but dont discourage youreself because do people that say that it look like this and like that they have never try it s try this product and i promise you you wont go back to free weight
245	Dumbbell	NEG	1	be not package well . Components receive damage and the part bag be damage enough that it be open and part be miss .
216	Dumbbell	POS	5	I have see the commercial one night on television and say `` huh , you have get to be kid I '' . I wait many month before I decide to purchase this . I have lift weight since I be a teenager and do all kind of workout with weight in a gym and at home . when I try it I be impress with the result and know it be well worth the price . I do notice on the dvd -lrb- unsure if anyone else notice this -rrb- , but you see he on one arm shake it , then you see he on another , -lrb- unsure why that be -rrb- . I do notice that when you do take one day off then try it again the day after you rest it become harder . so when he say see you tomorrow you bet you should do it daily . as far as do it more then once in a day I would highly not advise this , find another exercise to do , just add more rep the next day if you feel that day workout be not as good as you hope it to be . I have have a few people come over my home and try it out . Grant it they do not lift weight like I have for many year , but these people be struggle and not complete the rep properly . if you want tone and better vascular development , then this be ideal for you !!!
603	Dumbbell	NEG	1	it break in half when I set it down . I have rubber flooring and do not drop the weight from a great height . I have be lift weight for 20 year . I purchase on Dec 30 , 2010 and use it about 2x a week . this be kind of scary . about to contact Amazon and possibly manufacturer to see what they say about it . will post a update .
627	Dumbbell	NEG	1	`` where the heck be the pulsation ? oh , I see . . I have to create the pulsation '' . unbelivable marketing . very deceptive . if you want to ceate the enrgy this product be suppoese to generate , then fine buy it . you -lrb- I -rrb- have to shake the crap out of it to get the video effect show in this product video . not battery operate . for $ 25 . total crap , change the marketing and reduce price and still I would only rate it a two star . Hope this help .
466	Dumbbell	NEG	2	this be not for people that be start to work out ... you need to be well build to be able to move it freely . and grip of it be bad ... I use it now and then but at time it can really mess up you finger .
