index	Domain	Label	Rating	Review
572	Flashlight	NEG	1	what a waste of money . this be not a lead light , and do not come close to the performance of a lead light at half the price ! guess we be pay for the name and the lifetime warranty . this one will easily last a lifetime , sit unused in a drawer . buy it for my medical career wife -lrb- she like purple -rrb- but it be clumsy for she to turn on , concentrate the beam , then turn off with one hand . buy she a 99-cent tear-drop shaped keychain lead light on a whim and its perfect . brighter and easier to use , replaceable battery , and 1\/7 the cost . I really expect more from this company , but both this light and they customer perspective be obsolete . no complaint with the quality of construction . solid aluminum and o-ring as usual . just have the minor flaw of cast a weak and scattered beam , way below the performance of modern led technology . the light be yellow and full of shadow artifact that prevent a clean illumination . not a good buy ; do not repeat my mistake !
2	Flashlight	NEG	1	I buy this flashlight after see all the advertising for Maglite . what a disappointment ! it be small and put out maybe 20 lumen of light , if that . the lumen be so low that Maglite never even list the lumen on any of its product , unlike its competitor . this thing might make a decent booklight but that be not what I buy it for . for the same price at this over-hyped , underperformer I could get a flashlight 5x as powerful !
971	Flashlight	POS	5	I be buy this as a replacement for the one I have . the new light be a better light than the one I have . my battery fit in this light better . the quality be great . if you need a long lasting and great quality light buy this one . I be very happy with this light . I have the drill and 2 battery plus the charger . the light help when work outdoor and in dark place . this light be very bright and the battery last a long time with out have to be recharge . need light this be it .
650	Flashlight	POS	5	this maglite heavy-duty 6-d cell flashlight be seriously massive and can serve double duty as a impose defensive weapon . I give this to my father a few year back because he be live alone in the county and in a area prone to power-outage . he be also a very big man and make a quite a impression when hold this in a threatening manner , so we figure it would dissuade any casual intruder . the quality of this light be outstanding , with a heavy metal body that be make even heavier when you add the 6-d cell battery . the beam be powerful and adjust from tight beam range to floodlight by twist the top , which make this very versatile . highly recommend ! CFH
162	Flashlight	POS	4	sturdy product like I expect . light be not at bright as I think it would be but still very good
402	Flashlight	POS	5	this lamp have be engineer to withstand abuse . it be a very basic flashlight , except for the heavy duty construction . have stand the test ot my two year old , who want he own flashlight .
544	Flashlight	NEG	2	the Mag-Lite Solitaire be well design and well make but simply be not bright enough . however , if all you use a flashlight for be look for you key under the seat of you car or assist with read menu , it may be ok . it have a sleek design , and it be appeareance will not draw attention on a keychain . it function like any other -lrb- large -rrb- minus mag light , by twist the end where the light come out to turn it on and off . Change the battery by unscrew the other end . a spare bulb be conceal within the end cap . pro : - it be small . - it be well make , with all component fitting together smoothly , and a clean simple appearence . con : - it be just not that bright . some of the newer led flashlight be of a similar size but much brighter . overall , I would have to give this one a pass , unless I develop a fetish for small , well design gadget -lrb- like watch , watch be SOOO cool ! and miniature sextent , those thing be sooo neat ! -rrb- . ok , so I have this fetish , and this would explain why I have a Solitaire in my toolbox .
502	Flashlight	NEG	2	I have have two of these and they have be nothing but a huge disappointment . within several month with both light , the internal contact begin to get corroded and I have to take the light apart to clean then in order for it to work . I have to repeatedly do this every few week . I also have brand new battery on several occasion leak within a very short period of time in both light . the light be always keep in the house and be never expose to adverse weather condition . I be guess it be some type of reaction with the type of metal use in the light since battery from the same package work fine and never leak in other device . these light appear sturdy and well construct , but they lack of reliability be very frustrating and both of mine eventually go in the trash and I would never buy another one . when you need a flashlight in a emergency and it tend usually not to work , it be very frustrating .
33	Flashlight	NEG	1	I go through 6 bulb in 4 month !!! the Surefire g2 be my weapon of choice now : d at least 4x brighter and it be smaller .
156	Flashlight	POS	4	good and sturdy clip . take a bit to get use to it and i guess to break they in a little but a good buy .
567	Flashlight	POS	5	what else can I add to the grow great review for this product ?  all I can say be that this be one of the best flash light I have ever use . I like it so much that I buy two of these : one for work and one for my car .  i work the night shift . I use the work one often . it be bright and very solid . the size be just about right . it be not too big like its larger brother , but just big enough to feel secure while hold it .  a great value ! if you be look to buy a flashlight , look no further . this be the perfect one for the home consumer .
596	Flashlight	NEG	2	I have a 3-d cell and a 2-aa lead maglight as well as a 2-aa regular maglight . my complaint with the 2-aa maglight , whether lead or regular bulb be that they do not hold they charge . I have keep both 2-aa maglight in my car , and barely use it , yet the battery get drain . the 2-aa maglight be not good with battery life when you have it store for several month . I have also store my 2-aa non lead flashlight in my house , and same problem , the battery get drain and I barely use the darn thing . but I guess that be why the maglight be so much cheaper than say streamlight or the other high end flashlight . the 3-d cell lead maglight however be great , battery life hold when store in the house for month , and when use it it do not die on you and keep its brightness .
99	Flashlight	POS	5	this flashlight be worth the price . it be well make and durable . I would definitely recommend this to a friend .
24	Flashlight	NEG	2	I do not know what annoy I more the fact that I pay 10.00 for the bulb , or the 10.00 shipping charge . if that be the type of vendor that sell from you sight I will think twice before use Amazon again . I do not mind a person make a profit but that be not only excessive , but sneaky . not fair , I feel that I be have ! Live and learn . Ray
461	Flashlight	POS	5	for a small flashlight , this one be great . it be significantly better than the non-led version of the same light . the light output from this light be clean , focusable , artifact free , have good color and be about 5 time brighter than the non-led version . the light still support `` candle mode '' too . the flashlight be about 1 '' larger than the non-led version . light output be fairly consistent and strong for a over 3 hour . it be definitely worth buying .
