index	Domain	Label	Rating	Review
295	GPS	NEG	2	I purchase a Garmin Nuvi 2460 GPS and buy this case for protection . I be not impress with this case as it be very loose fitting ; I could easily place two gp receiver in the case . there be some padding in the case , but because of the loose fit and the thin amount of padding I would not count on this offering much protection from drop . it be useful for store the GPS in a backpack as it do protect the gp from get scratch up from other item in the backpack .
524	GPS	NEG	1	I bough this watch with American Express point and think i get a real bargain . wrong . I have the Garmin 210 gp watch which be simple and intuitive but really just for run . that watch break when i wear it in the shower once for 30 seconds . come ON , GARMIN ! a sport watch that isnt waterproof ? shame on you . this watch have more feature and cycling function , etc but its so damn confuse that i have literally stand in front of my house for 10 minute -lrb- not exaggerate -rrb- try to get a sit signal and then start the stopwatch . I be good at confuse interface but this one take the cake . the other drawback be that the battery be basically always dead . if you havent use it in a few day and you take it out of you bag , it will be dead . you need to basically keep it plug in whenever you arent use it . seem pointless . as a result , this watch now sit lifeless in a drawer , and yours will too .
267	GPS	POS	5	this be my first GPS unit . while I generally avoid read the direction to anything , I decide to actually sit down and read the owner 's manual , which I find very easy to follow . after 15-20 minute I have figure all the function out . several very cool feature be : 1 -rrb- you can use the built-in digital compass even when the unit be turn off . 2 -rrb- the unit have several layer of functionality . the most basic or initial layer allow you to access the unit 's key function -lrb- altimeter , barometer , current position , etc. -rrb- by hit just one button . then , if you want to delve deeper into a particular function , you can . for example , when deal with waypoint I can keep it simple and , by push only one button , see my `` home '' waypoint -lrb- and its exact direction and distance from my present position -rrb- . but , if I want to get more complicated , I can -lrb- through a few more button -rrb- access my other waypoint , or upload\/download waypoint to\/from my computer . I use the gp with electronic USGS map program -lrb- the cd-rom verson by all Topo Maps -rrb- . at first , it take time -lrb- and a careful reading of the instruction -rrb- , but I can not imagine own a gp unit and not synch it with actual map . you can plot you course by set waypoint on the electronic map , then `` sync '' the GPS , and now you can follow the waypoint on the gp to go exactly where you need to go . I actually go on a long motorcycle ride , plug in waypoint while we be ride , and then once I get home , I could see exactly where and how far we road after I synce the gp with the map software . I can not wait to try it sail this summer . the only negative I have be that the GPS unit automatically set the clock to central standard time -lrb- where I live -rrb- , but the time do not seem to reflect daylight savings .
899	GPS	NEG	2	bottom warped and constantly slide off dash . Poor product . I would not recomend it . Navgear have a better dash mopunt .
782	GPS	POS	4	the product be quite adequate and function well . do not believe they suggestion to buy a 256mb sd card however , unless you be satisfy with 2 or 3 state coverage . I get the 1.0 gb sd card and it give I detail access to over 2\/3 of the lower 48 state . I find a quirk while be instruct to enter a south bind highway from the east . it instruct I to go over the highway and make a `` hard leave '' -lrb- a illegal turn -rrb- , rather than make the right onto the cloverleaf entrance . be careful . -- the internal antenna work quite well but the placement , in my vehicle , require the use of a external antenna . DO NOT buy the Magellan External Antenna . when the weather get even slightly warm , the antenna set off a continue false alarm on my Cobra Radar Detector . Technical support have be absolutely useless . after 6 try , I have give up and buy a gilsson antenna that work much better , have no problem and cost less . Magellan -lrb- Thales Navigation -rrb- either do not understand english or choose to deliberately misunderstand the problem . they will also not offer any refund on they antenna with the design problem . -- in general , I be quite satisfied with the RoadMate 300 , but do not expect any intelligent Technical support .
818	GPS	NEG	2	this be a device for the person who like to get into the inside of the system -lrb- I believe its call hacking -rrb- . for such a person , the device be great . I would not recommend it for a novice . here 's why : 1 . the text to voice pronunciation be terrible . the word run together , for example , ` San Jose ' be pronounced sanozay , San Francisco sound like ` sunfrincisco ' . now , the interesting bit be that this issue can easily be fix by someone who can hack into the system and make a few small tweak . I wonder why TomTom can not just do be in the device they ship out , or as a software update to those already sell . 2 . this device - 540 World Traveler Edition - be pitch as have complete US , Canada , Mexico and Europe map . truth be , this gp do not have room for the newest version of these map . you can have all of North America , but not all Europe , only bit of it . for example , you can have Western Europe , but then you can not have southern Europe - because there be not room on the device to accommodate that particular map . same thing for Eastern or Central Europe . this would not be such a big deal if you could be selective about which N. AM . country map you need , so you could leave out Canada , or Mexico or US , and make room for all of Europe . but you can not do that . 3 . the worst thing be that it take age to upload map , or swap out between the regionsl european pap . we be talk hour . if I be to travel to Europe , I would therefore have to lug along my laptop and flip map back and forth every time I want to go from , say , the UK to Italy , or from Sweden to the Czech Republic . and wait around for a few hour while the GPS sit around upload the right map . I think that if TomTom do not fix the map problem within a reasonable time , I will probably send it back , since the device do not function as advertise . have say all that , once you hack it and set it up properly , it work well -lrb- except for the map problem -rrb- .
61	GPS	NEG	2	we purchase the Magellan RoadMate 6000T for a trip cross country . we arrive with only one misdirection , which Magellan quickly recalculate and send we in the right direction . we love this unit , but it will not backup we information . I try 3 different sd card and have Magellan customer Service walk I through the process several time . finally on the third call to customer support , while they put I on hold I research this problem on the internet and find it to be a common one . customer support could only advise I to send it back to be service ; they never admit this can be a issue . to make the call to customer service even more challenging , each time I call the person on the other end of the phone , have difficulty understand I , and I to , have difficulty understand they . we currently live in a very high traffic area , and never leave home without it , but we be plan to return it after we new Garmin arrive .
612	GPS	NEG	2	I be envious of all the positive review and wish that I could be write one myself , but there be some serious issue that I have not yet be able to resolve , despite extensive online research . 1 . mountain goat mode - be my own term for the 1350t 's navigational preference . for some unknown reason , it direct I away from main road and highway and towards back road , alley , and most recently , hillside trail that I would consider neither safe nor navigable . I have find many forum post on this issue and have try experiment with both the Avoidance and Shortest\/Fastest setting , but have yet to solve this problem . 2 . City navigation make I feel like I be the object of a Punk would style prank . the slow response time , tendency of the screen to freeze and poor accuracy make it easy to drive right past you turn and trigger the all too familiar `` recalculate '' . I can not tell you how frustrating this can be . even when you do make the recommend turn , you often trigger the `` recalculate '' response . 3 . battery life be average 10-15min on a full charge , which I feel be inadequate . if anyone have any suggestion , please post they in a response . in the meantime , I be go to try a Tom-Tom .
735	GPS	NEG	1	im very confused by this product . I first charge it for 24 hr , per instruction . then plug it into my ipad . I do download the app that it suggest . but what can you do ? altitude , speed , the Compass be a little off , ... im just scratch my head try to think what can this do . so last week I have go on a road trip . while sit in the back seat , I plug the GPS into my ipad , and I say to myself , let I see if map work . sure , it work with map , but you have to make sure you have a map that be displayable because once you turn wifus off , you on you own . solution : if this gp work with a pre map program , then this would be 100 % worth it . im still scratch my head ... what to do with it ? its currently sit on my night stand . overall , not recommend consider there be no pre load map for this gp to go by . any feedback on what to use this device with would be greatly apprecait .
93	GPS	POS	5	this well-priced unit be exactly right for the beginner geocacher . the ability to download detailed map -lrb- you have to buy the cd -rrb- make it even more usable in other context . it be small , light-weight , and , for the most part , easy to use for a product of this type . enter datum be a little cumbersome . my eight-year old son become proficient in the use of the Garmin eTrex Legend -lrb- without any prior gp experience -rrb- in less than twenty minute .
