index	Domain	Label	Rating	Review
340	Gloves	POS	5	these glove fit tight to the skin while increase you grip and provide some protection . the key here be to wear the right glove for the job . if I be handle something sharp , I 'll wear something heavier than these . perhaps the only flaw be in the labeling that these be heavy utility . I have be use these as a general work glove for a year now and love the fact that I still have some `` feel '' with these . I plan on pick up the framer style for situation that require more finger dexterity .
960	Gloves	POS	4	I have be use my harbinger 1260 for approximately three week . the padding on the 1260s take a little get use to . the majority of my weight training be on machine that have rubber padding on the grip . this make grip with the Harbingers a little awkward at first , but I get use to it after a couple of workout . only time will tell whether these glove hold up as well as my old Nikes . I use those for over three year -lrb- they be lose -rrb- lifting weight 3 time a week .
488	Gloves	NEG	2	I be only 5 ' 7 '' , 133 lb , a small guy . I order these man 's glove , size m. size m arrive . although they appear and feel nice , they be way too small for I . for decade , all size m glove fit I fine , but not these . I give they to my wife -lrb- they fit she -rrb- .
880	Gloves	POS	5	I buy these glove because the price be too good to pass up . these same glove cost more than double at the local store . I have use these glove for year . they be very good work glove
944	Gloves	POS	4	I be skeptical of these glove when they arrive . they seem so thin . but after about one month of everyday use , I be very pleased .  I be tire of get sore hand from my generic leather glove . they seem to have lump and bump that irritate my hand . so I decide to try the Ironclad .  I have use they for all of these task : move lumber , handle and splitting firewood , handle barbwire -lrb- do not get poke in the palm , just lucky ? -rrb- , digging and just general use to protect my hand . I even wear they while use my digital camera .  the dexterity be excellent . I have be able to pick up and hold nail and screw with the glove on .  i wear the glove more because of the great dexterity . the regular leather glove have to come off to do most small task , while the Ironclad can be worn most of the time .  the glove do not so any sign of wear , so far . the only thing they do not offer be wrist protection . they be short and not good for wet work . that be why I give they four star , instead of five . but they be easy to carry in you pocket .  two day ago I be handle firewood -lrb- without the glove -rrb- and get a big splinter in my thumb . I 'll never do that again ...
825	Gloves	POS	5	these glove fit well , have a improve palm padding material . the thumb and forefinger have extra material know that with this type of glove this be the point that will get the most wear . Extra material at the finger tip too . well make , I would buy they again .
336	Gloves	NEG	1	Waterproof ? not even close . they be also not warm . however , they be great work glove . just do not plan on use they in the cold or where they may get expose to wetness .
874	Gloves	NEG	2	these glove fit very well , and be very comfortable . that be the only reason i do not give they 1 star . I have be use they for weight lifting at the gym - not exactly work ! after a few month , the palm stitching be go in many place and one seam split . a `` heavy utility '' glove should last at least a year in the gym for I to spend this much money on it . have to search for a different kind .
526	Gloves	NEG	2	I love these glove but they will not last . you would be lucky to get a year out of they . I guess they be cheap enough to buy new one every 7 month or so .
753	Gloves	NEG	1	I buy these glove for my husband to protect he hand from become dry and crack . he drive a delivery truck and lift bundle of linen tie with string . when I read about these glove , it sound as though they would be durable and waterproof . they be neither . we have have they for approx . 2 month and 4 out of 5 finger on each hand have tear through the tip . poor !!
479	Gloves	POS	4	I buy these swim glove in yellow , in order to be see on we busy lake in the summer . my husband like they so much he ask that i order a pair for he . I think they run a little large , and they stretch , so order they a bit smaller .
339	Gloves	NEG	1	I use to count one ironclad glove , but for the last three year or so , the quality of workmanship have fall off dramatically . the stitch between finger unravel well before there be wear to leather portion . they look cool , and fit well , but if they come apart , they become dangerous around equipment .
