index	Domain	Label	Rating	Review
32	GraphicsCard	NEG	1	do not waste you money on this card ... my old 6600GT Card start to fail so I purchase this . it do not play call of duty game very well . . only at 20 fp . horrible . I end up get a use 7600gt for the same price and it be awesome . 150fp + my old 6600gt be over 100fp and would be another better option and much much better card than this one . gt model number make a big difference !
851	GraphicsCard	POS	4	I order two of these card to run in SLI . first issue I be not aware of be that Intel X79 chipset be not currently support by Nvidia to run at pcie gen3 speed . OEM distribute driver allegedly allow pcie gen3 speed but official Nvidia driver do not . I believe this will be fix rather soon and be a mute point for the most part . next , the current Asus GPU tweak software -lrb- as of 3june -rrb- appear to be cause many user issue to include a red screen of death -lrb- rsod -rrb- . I experience these issue and they be resolve immediately by uninstall the Asus software . the bigger issue be that overclocked 670 's in general at this point be like play the lotto . I order two and one run great while the other could not complete any benchmark at factory speed without crash and will be return . before figure this out , I read many forum with user report the same situation . underclock the card will make it stable , but I pay for a card that be guarantee to work at a certain overclock . the good stuff ; the card that run , run great ! at factory fan speed and under full load for half a hour -lrb- prime95 & furmark -rrb- I see temperature around 66c . with a 4.7 ghz Intel i7 , I get 9500 mark in 3dmark11 . I have many newer game if anyone want specific bench for certain game . I have not experiment with overclock with either card as most review indicate the card be pretty much max out as be . I be switch from a ATI 7950 -lrb- Gigabyte Windforce -rrb- . the 7950 at a max overclock be slightly faster than the 670 gtx in my experience . however , amd\/ati suffer from many driver issue and game do not typically scale as well in Crossfire as they do in SLI . of note though , the AMD card do appear to render higher quality graphic at default setting . I would not recommend switching from a AMD 7000 series card to a Nvidia 600 series card but anything else will certainly be a huge step up . one star deduct as the qa of the card be not great at this point .
434	GraphicsCard	NEG	1	pro : - inexpensive htpc card . - have win7 driver -lrb- though might be rough install -rrb- . - have a HDMI Port . - claim to be support . - come in a small box . con : go from Aero Windows experience index of 4.1 to that of 3.7 when swap in this card . the previous card be a 3 + year old atus x1300 . how be that possible ? driver install require patience , and a few crash . suggest buy NVidia . other thought : bought hd4350card to replace a still good htpc graphic card that ATI no longer support under Windows 7 : be run a Dell P-Duo as a htpc for more than a few year , just fine , with a ATI x1300 graphic card . upgrade to Windows 7 for 7MC , and start have video source switching issue , fix require a new Video card . ATI decide stop support a old product , fine . but the new product benchmark -lrb- artifical or not -rrb- worse ? three year later ?!? ridiculous . ati\/amd have alienate yet another customer .
425	GraphicsCard	NEG	2	EVGA GeForce 6200 512 mb ddr2 pcus 2.1 VGA\/DVI-I\/S-Video Graphics Card , 512-p1-n402-lr , order the agp version of this card and be send the pcus version . oops , Amazon pull a fast one on I inadvertently or otherwise ! I decide to pass on go through any return drama and install the card hope the increase memory would be helpful . previously have install ATI 128Mb\/128 bit card on a 8 year old xp box and it work flawlessly . just the lack of memory inhibit streaming via Netflix , so think upgrade to a card with 512 mb memory would help and it do . KINDA ! this card be 64bit which seem stupid with the 512 mb memory , go figure . when streaming video say from NetFlix , HULU the sound have a lot of static , yes static and be un-listenable . not good ! I believe the APG -lrb- advance computer graphic -rrb- be the best for it be time but man , this pcus -lrb- not PCI Express -rrb- card suck . ca not recommend this card , it be buggy !
852	GraphicsCard	NEG	2	I know it be not RTM yet , but if you be look to use this on Windows 8 , I would wait . I try the supply driver as well as a newer driver on they website and both just set my machine into a bluescreen reboot loop . I set up a support ticket with they , I will update with the result , but base on my google search , the same thing happen when Windows 7 come out and they just blow it off until they be ready to release a driver . I do not want to give 2 star as I think the item be probably good for support configuration , but I also can not give it a high rating since it be provide I no value . I wish I could have just leave the rating blank and just give feedback . \* Update after a week or so of usage . \* so , I format my laptop and go back to Windows 7 to try this in a support environment . there be some pretty big issue when go back and forth between sleep mode\/docked and undock that all go away if I uninstall the driver for this , but cause a bunch small issue when this be in install . it often leave I at a black screen and I have to open and reclose the laptop to get video , or if the card isnt plug in when I dock , it seem to try to capture one of the other monitor on the dock -lrb- there be 2 -rrb- and cause artifact , need a undock and redock . I ask StarTech the process to get a refund as it be just too much to deal with on a computer I actually use for work and they tell I to reach out to Amazon -lrb- fail -rrb- . I be not go to go through all of the drama of fight for a refund over such a trivial amount , but I definitely wont be recommend this to anyone , which be unfortunate as the other developer -lrb- I write software -rrb- where I work be very interested in pick one up if it work .
200	GraphicsCard	POS	5	this be where I could find this peice of equipment at a low price to help update my old computer . once install , I be able to notice a significant performance improvement in the pandora site and the netflix site . it also increase the speed on the youtube site . installation be very simple .
902	GraphicsCard	POS	5	very good card for the price , get mine for 159 be on sale so couldnt pass up . like i post above this do not come with free dirt . Didnt really care for the game so didnt make a difference to I . some thing that be not list on here , newegg , or the sappire website be : core clock-900mhz Stream Processors-1120 Stream Processing Units Effective memory clock-1050mhz everything else standard with the hd 6870 . currently have mine overclocked to 925 . when in use get 50-60c -lrb- with no add cooling unless you add some water block which of course will lower the temp -rrb- . havent really test how far the card can go , but with the game that i do play on a constant basis : Counter strike source : 60 fp max everything dota 2 : 60 fp max everything build : cpu : fx 6 series mobo : gigabyte ud3 ram : 4 gb corsair 1333 psu : corsair tx 750
953	GraphicsCard	POS	5	Excelente eleccion . La tarjeta trabaja al 100 % y lo que mas I gusto e que es agp . La marca es reconocida y se puede comprar sin ningun temor . El precio I parecio muy bueno y el envio rapido .
767	GraphicsCard	NEG	2	try this card out in my new HP desktop and the power cord be not compatible . it have the old style pinnage on it , so I go to Radio shack to see what I could find ... nada . the instruction do not even mention the need to connect power . too bad for gamer on a budget .
749	GraphicsCard	NEG	1	the video card I be attempt to replace be a PNY Geforce gt 240 512 mb . the EVGA GeForce gt 520 1 gb have nowhere near the fp of my old card when play SWTOR . bottom line : EVGA GeForce gt 520 1 gb = 16 frame per second pny geforce gt 240 512 mb = 65 frame per second no visual improvement .
100	GraphicsCard	POS	5	this card be enormous , before this I be rock a lowly Nvidia Geforce gt 220 . the 6870 blow it out of the water . I use it to mostly play MMO 's like world of Warcraft and Star Wars : The Old Republic . I do , however use it for more demand game such as Elder Scrolls iv : Skyrim . in Skyrim I run it on ultra detail with little to no issue FPS wise . I do not know the exact fp but I can say the it definitely run better than the ps3 version with this card . my rig : AMD FX 4100 4-Core Processor AMD Radeon HD 6870 8gb ram asrock 970 extreme3 amd 970 & SB950 ATX ddr3 800 AMD - am3 + motherboard
550	GraphicsCard	POS	5	I read many review before I pick the Visiontek ATI Radeon HD 4350 graphic card . my old HP media center 7167 have graphic chip on the motherboard and it be not up to widescreen or anything else . I buy a new 27 inch monitor and I need a basic upgrade to make use of all that new screen real estate . the card be easy to install it be quickly pick up by the old xp media center and I be off and run . I work heavily with photograph and standard screen video editing . this card work great for that , I do not game on my computer so I do not know how well it work for that , the review say moderate gaming be ok . so far great .
127	GraphicsCard	POS	5	for the price , I be very happy with this video card . Video card seem to be a item that I often neglect because I can see the display just fine , but when you start have 50 + window open and you have multiple display , all of a sudden , a robust video card become far more important . this card be nice , please to look at -lrb- yes , I know it be in a case -rrb- and work very well . score a easy 7.9 on WEI and absolutely crushed my ATI 5750 -lrb- which work fine -rrb- with perfmark .
