index	Domain	Label	Rating	Review
771	Headphone	NEG	2	i recently receive the above list product , and it work fine at first . but when i unplugged it and then plug it back in later , it would not work . i try put in battery , still nothing . the headset seem to work ok . i only seem to get spanish station , witch i do not think be there fault , but i find it worth mention . while it be work , i have great reception thru out my house , my computer be upstairs and i be in the basement . one other thing that bother I be that whenever you have it on the radio mode , and you put you hand near the left ear piece , it would get very distorted , and would sometimes change station all together . which , consider you have to keep hit the scan button to find a good station , be really suckish .
993	Headphone	POS	5	its neat ! a set of very comfortable headphone , which completely surround and caress you ear ! incredibly lightweight consider the size ! I wouldnt really like to compare these with bose or the likes , since Sennheiser be know to make some really quality stuff . I try a variety of music use these , range from soft classical to pop to some really embellished music ... and with each genre I realize that with this pair of Sennheiser , I hear the subtler tune and finer point which I didnt know exist . thankfully , the unit come with a cord winder as a beltclip attachment , which will save you the trouble of tag along the extra wire or stuff part of the 6 ft cord into you pocket . I wasnt too happy about the fact that I could hear myself nice and loud when singing along even softly with the music -lrb- would have be pleasant if I have a good voice ! -rrb- but on the brighter side , its as good as Karaoke , aint it ?? weigh the cost to delivery ratio ... I would definitely recommend it !
574	Headphone	NEG	2	the headphone work really well out of the box , with better sound quality than the earbud that come with the iphone . however , I experience malfunction of the volume control after a indoor run on the treadmill -lrb- 10k -rrb- ; perhaps some moisture get into the wiring ? after dry , it again become functional . a rather unexpected problem , since one of the tout quality be water resistance . outdoor running do not seem to cause the same problem . it happen again after a shorter run -lrb- 5k -rrb- , again on the treadmill indoors . I guess the sweat get into the control stick and temporarily render it nonfunctional . overall , I get less than what I expect from a rather pricy headset .
635	Headphone	NEG	2	I receive this item rather fast , honestly forget I even order it . I do not know if I should trust it or not consider other review I have see about it . I open the package , connect it and hope for the best and to my surprise it work as expect . I could pause , play , shuffle , go to next , previous , etc. , all with the exception of the volume control because I be use it on a android device . I be happy with it initially but I know something be go to go wrong the moment I touch it . the build on the adapter be not all that great . the line feel weak and flimsy but the button all seem solid enough . I know from the start that I have to take good care of it to avoid it break but even my extreme caution could not help it from break . two day after I receive it the line come to the point where I have to turn it to the perfect angle to get good audio out of it and avoid move it at all cost . that be the problem though , you have to move the adapter in order to use the function -lrb- volume , play , pause , etc. -rrb- after a while no matter what angle I would turn it too all I could hear be faint screech . I figure I get what I pay for and toss it in the pile of worthless thing . my advice would be to look for a better product out there and avoid this one if possible . I give it two -lrb- 2 -rrb- star simply because it do what it be suppose to do but the lifespan be incredibly bare . with that be say I hope you do the smart thing and look past this item . I be pretty sure there be greater product out there that be well worth the price .
568	Headphone	POS	4	this be a very good headset , small , good sound & very good price , I can not believe who pay hundred of $ $ $ for headset , because all speaker lose sound quality overtime .
610	Headphone	POS	5	I buy the in-ear headphone look at the review post here and be I glad that I do . . the in-ear headphone be really good . I doubt if I can buy anything like it compare to the price I pay for it . one reason for I to buy it be because it have a support that make the in-ear headphone cling on to the ear and not fall of while run . try use traditional headphone earlier and it will just not stick on my ear . just after run couple of step the traditional headphone would fall off but these wont . . so happy with the buy . . BTW the sound output be really good for a good hour of music . . the more you burn -lrb- use -rrb- the headphone the better sound it give . I will not be hold responsible if someone will literally burn the headphone . ; -rrb-
509	Headphone	NEG	2	Klipsch make decent audio equipment , there be no deny that . however I be not sure what the design engineer be think when the idea for `` rugged '' headphone come up . there really be nothing rugged about these headphone . when you think rugged you think durable and build to last . the only thing that be rugged about these headphone be the big ass control panel . sure it be large enough so you can precisely control the volume or song selection with glove on if you work on a construction site for example . the problem with the big button be that if you plan on run with these , the control panel be so large that it flop all over the place . yes there be a cord clip include with these so you can clip the cord to you clothes if run but the cord be design in such a way that the control panel be above the clip so it just flop all over loose . this design flaw cause two thing to happen . first when the control panel be flop all over the place the constant tension cause the earbud to come out of you ear . nothing interrupt a good run like earbud constantly fall out . secondly because the control panel be so big and floppy , the result noise from this constant tug tension transfer up the cord to you ear , thus severely drown out you music . so even though you buy good quality earbud , you can not hear they because of this . if the engineer ever try these on before release to the public they must have do so in a non active environment . clearly none of they ever run in they otherwise there be no way they would have be design this way . I would not recommend these for run earbud , I would recommend the bose . they stay in the ear just fine and sound great .
516	Headphone	NEG	2	pro : - around the head design prevent `` headphone hair '' . - okay for casual listen where volume level be low . con : - sound be below par , equivalent to cheapie headphone . distortion at moderate bass and volume level . - noise canceling be mostly non-existent . it drown out about 50 % of the hum of a loud computer fan . do not noise-cancel anything else . - the noise cancel `` stick '' be huge . it measure 5 `` x0 .75 '' -lrb- lxw -rrb- . - the ear hook start to irritate after prolonged use . comment : if you be look for quality sound and noise canceling , move along , these headphone be not for you . they be okay for casual , at the office-type , low-volume , without the worry of headphone hair listen .
866	Headphone	NEG	2	there be just something about these headphone that do not sound right to I . I have another pair of throw-away earbud from skullcandy and those sound a lot better . I be hope that I would like it as it be a good price point but it look like I 'll be donate it to goodwill soon . : \
393	Headphone	NEG	2	with no mode setting -lrb- repeat , shuffle , etc -rrb- or shock protection , this cd player be pretty undesirable , but if you be just look for something to hold you over then this 'll do . it have all the basic feature of a cd player of course and it work alright . it could be with just mine , but every pair of headphone , new and old , that I use with it , the left begin to malfunction although when use those same headphone in another cd player or speaker , they work fine . like I say , if you just want a temporary thing then I guess this be good for you .
438	Headphone	NEG	1	the headphone break in two on the third use . probably just bad luck , but I return it as well as the second headphone I order for my husband . return the item be painless , thanks so much .
963	Headphone	POS	4	Great for run and cycling - the earphone do not budge no matter how much move you do . basic exercise like run and cycling do nothing to shake they . there be a part that go over the ear like a web that be make of soft rubber material which be a key feature for its comfort and prolonged wearability . these be not exactly audiophile earphone , but you get use to they . if you mp3 player have a user adjustable eq then all the better . I have hear better earphone , but these be pretty good . clearly some compromise have be make , but they seem to have come out on the good side of acceptable . they do not rest flatly in the cavum concha , brace by the tragus and antitragus , as with standard fontopoid style phone , but be instead hold in place by the plastic band at a inwardly direct angle . this be a step in the right direction in term of comfort and stayputiveness . it seem that because they sit halfway outside the cavum concha , the phone be make larger for greater efficiency and output to make up for the slightly increase distance from the ear canal . I think they be a little bit too big , but again it take get use to the position as well as the audio range . the yellow wire be a nice aesthetic touch , but the black jacket on both the 1\/8 '' plug feel like they might pull right up the wire when remove they from the player or the volume control . have to be careful with they ... overall they be a very clever design which have in my opinion completely solve the problem of earphone migration . never again will I reach up during a blissful run to shove that fontopoid back into my ear , and I be look forward this summer to take it fully for grant . if the next generation of these headphone have slightly smaller earbud with more exotic sound quality , I 'll promptly wear they .
140	Headphone	NEG	1	I be not sure if it be because I live in a appartment building or because I have power line outside my living room window -lrb- I live on the 2nd floor so they be right at my level -rrb- or if people in my neighborhood use a lot of 900mhz phone but the sound quality be simply awful . my only purpose be to be able to play game on my xbox without bother anybody else so I be not even talk about a audiophile seek crystal clear and rich sound , a decent sound clarity would have enough for I . sit no more than 7ft from my tv , sound get cut-off and the static go from bad to unbearable when you adjust the dial on the base . same result with regular tv broadcast and when plug into my laptop playing music . I do not know if the product be bad or if my environment make it work poorly but if you be consider this brand\/model make sure you have the ability to return it ! I guess I 'll go back to my previous solution : standard headphone with a 15ft extension cable , which be fine since I do not need to be move around .
403	Headphone	NEG	1	title say it all . they last a month and , as other user have notice , they make noise whenever you move . every step I take could be hear through the headphone . WOULD NOT RECOMMEND .
