index	Domain	Label	Rating	Review
195	HomeTheaterSystem	POS	5	I have this system for just about 2 month and I think it be great ! I have no complaint about this system . the overall quality be great whether you be watch a dvd , play a dvd-audio , listen to a cd or even just listen to the stereo . if you be look for a system that be compact , stylish , sound great and do not cost a arm and a leg , get this one !
824	HomeTheaterSystem	POS	5	after wait for 2 month , my system be deliver late September , and since then Movies and Music hav not be the same . I personally think it have a Veryclosesound to the bose system that the other reviewer mention . it be far superorto Sony 's DAVS300 Home Theater , i mean a 120 watt sub to a 30 Watt , that no comparision . the only thing that dissapoint I be that the 6 Channel Amp do not support DTS , all though the 5.1 Dolby Digital do still sound fantastic through the compact sattelite speaker , i have have my system at full volume and there be not one little bit of distortion . another bad thing also be that the CD player do not read CDR 's which be a slight dissapointment , the Sound Field Control -lrb- SFC -rrb- which feature Heavy , Disco , Live , Hall etc. . each of they do not sound different at all , whether that a problem with my system or not ? the Sub-Woofer when set to sw 4 be very powerful with enough Bass to blow down you front Door ! the 5-disc changer be a great idea but a little slow in change disc -lrb- 11 seconds from disc1 to Disc 5 -rrb- when play back Music Cd 's the System automaticaly respond , produce such a high quality which match my Brother 's Denon and Polk Audio $ 5000 System . even watch a Video -lrb- HI-Fi -rrb- sound great fill the room with the Dolby Pro-Logic . so do yourself a favor buy this Fab Home Theater , even though you might have to wait a little while I would give it 10 star if i could
409	HomeTheaterSystem	NEG	1	Works ok with some dvd . the only reason I buy be for the radio include in but it be not worth the trouble . in 12 month it have spend atleast 2 month get fix . the dvd doesnt open and they dont know what the fix for it . Said they add some lubricant to open but it fail again . then they change the laser head dont know why but even that doesnt seem to help
171	HomeTheaterSystem	NEG	1	grr . what a waste of money . the disk tray move really slowly , as if it have to consider whether or not its go to open when you ask it to . a couple time it refuse to play dvd 's while flash a ` rating ' message at I -lrb- these be 50 's horror flick dvd 's - hardly objectionable material -rrb- so I have to completely unplug the thing and start it up again . then after about 5 month of intermittent usage , one day the speaker start hum really loud , and it be dead . bummer .
265	HomeTheaterSystem	POS	5	no hassle to set up . . great sound for a small 2 bed apartment live room ... Perfect . . one can enjoy surround system without complaint from neighbor ... I recommend for a small house\/room ... it be ok to have just the dvd as I already have a PS3 ... look for blu ray aswell go for other stuff
360	HomeTheaterSystem	NEG	1	1 -rrb- volume problem when play CD -lrb- too loud -rrb- 2 -rrb- dvd play ok 3 -rrb- setup be easy -lrb- color-code -rrb- and manual be ok 4 -rrb- get a replacement - same cd problem and dvd be break as well - send the whole thing back . 5 -rrb- would have be a nice system if it work .
388	HomeTheaterSystem	POS	5	I be use this as the sound system for a tv and cd\/dvd player in a small room . it work great . the sound be excellent for my use and the ability to control the volume and other input level be a big plus . other sound system that I look at in the same price range do not have the remote . I have be use the rca rt151 system for a couple of month with no problem .
167	HomeTheaterSystem	POS	5	I be very happy with this purchase . have check around at a lot of place and find nothing this good for the price !
531	HomeTheaterSystem	NEG	1	customer service - the Panasonic website claim this be very important to they . I have my home theater only 3-4 month when a VCR tape get stick . I have now be at the service center for almost 4 month ! when I be lucky enough to get a response from Panasonic -lrb- which be rare -rrb- , they make promise of completion and\/or replacement . but promise will not play the dvd 's my family would have like to watch together over the holiday . when we finally get through to the customer service center on the phone , they have the nerve to hand up on we twice . if you want a COMPANY to stand behind THEIR PRODUCTS - stay away from PANASONIC !!! I have truly give up hope of even get my home theater back from the Panasonic service center .
656	HomeTheaterSystem	POS	5	all I can say be I have never have a problem with the Sony DAV FX 10 dvd dream system . sound be awesome , dvd work like a dream ! I be glad I purchase it .
