index	Domain	Label	Rating	Review
102	Keyboard	POS	5	this keyboard be a great product ! it be a easy transition from any other ergonomic keyboard . it only take a soft touch for great production and be not loud at all ! I have already purchase another one for my pc at home -lrb- this one be for my office -rrb- ! never want to go back to my other keyboard , this be the ultimate !!
271	Keyboard	NEG	2	I feel by now Google would have a lot more content . it do not offer as much content as my new smart tv .
451	Keyboard	NEG	1	do not buy this i have it for a hour and the delete key stoppp work i get it cuz it be one of the top selling keyboard on amazon but it suck ass
624	Keyboard	NEG	1	it be be a hour now and blue tooth be still search for device , follow direction to the letter . device be faulty crap . do not waste you money .
992	Keyboard	NEG	1	top row of key do not work . supplier say the return have to go to the manufacturer but there be no manufacturer list on the packaging . keyboard be cheap but the shipping rate be inflate . they have a 30 % restock fee and I have to pay the return shipping . a return just be not worth it . beware purchase from Amazon where they be not the supplier . Amazon do a excellent job of service but only when they be the supplier .
787	Keyboard	POS	4	I love this keyboard for gaming use . i only have two problem with it , the button on the side get lose and fall off . the other problem that i have be the bottom wrist bar have weak hinge and be on the line of break off . also the touchscreen panel take a little force to work . but other than that it be a wonderful keyboard and i would buy it if you be look for a backlit keyboard .
384	Keyboard	NEG	1	I get the rius and like it fine , until it do not work . I think there may have be some sort of power surge when I charge it , whatever it be , it just quit . since then I buy a larger size wireless keyboard with trackball and I wish now that I have get that in the first place . there be no laser pointer but I do not care about that . I probably only use it a handful of time before it die . something to consider .
174	Keyboard	NEG	1	I buy this because I Thought it would be nice to use on my media pc because it be the size of a remote control . first thing I notice be that the laser point do not work at all . advertise that it have one . I do not need it but if you tell I it be go to have one I expect it to work . that be the first clue about the quality of this . then I use the keyboard after fully charge it and with direct line of sight this would not work right to keyboard or mouse . combine that with the small mouse pad and keyboard and you have to get up and point the device to get it to go more than 10ft away . end of story I return this crap quality device for a small logitech k400 unit a bit larger with full size keyboard and trackpad build in . it work perfectly from around 20 foot away -lrb- all I test -rrb- and the device work perfectly with my Mac pro , linux box , Mac Mini , and Gateway laptop . great handy keyboard to have lay around . just pop the usb dongle in and both mouse and keyboard fire up . this mini piece of junk I have to return .
703	Keyboard	POS	4	for I , the feature most important in a keyboard be the feel of the key and durability of construction -lrb- so that it 'll last -rrb- . in these two area , this keyboard be significantly better than any other I have use or even hear of ... and I have use a \* lot \* of keyboard . it be really no contest . you can not really convey to someone how it feel until you try one . all I can really say about it : if you type a lot and like to type fast , this thing be most likely go to please you \* immensely \* . as for construction quality , most feedback I have see hint that these last a very long time except in minor way like key label wear -lrb- mine 's already show small crack in the letter from just a few week of use -rrb- . and I be definitely go to put the overall durability of this thing to the test . I type a lot , and I type fast . if something go wrong I 'll add commentary here . where this keyboard struggle be in some feature you would reasonably expect from it give its pricetag : a ergonomic design version , backlit key , and a more stable usb setup -lrb- give that it be part of the design at least -rrb- . ergonomically , this keyboard could not be less so : it have a razor-straight layout that make you use the muscle on the outside of you forearm -lrb- as you would expect -rrb- , and most edge that be not on key be sharp instead of round . you 'll most likely want a wrist wrest for this at least . it be here in these weak area that I 'll expect progress from this manufacturer : it should not be difficult at all to put out a more ergonomic , backlit , silent version of this model for a very similar price . as a matter of fact , I 'll most likely expect that much next time I look at buy another DAS , and if I can not find something like that I 'll probably look elsewhere . one last thing . a lot of feedback I read on this keyboard center around the `` silent '' part of the name . lot of people seem to expect a very silent keyboard . the problem for I be in how I buy thing -- when I spend this much money , I want to know exactly what I be buy . it only take a little bit of digging to discover what the `` silent '' refer to -- it be in comparison to the non-silent model from this maker -lrb- which pump out significantly more sound -rrb- . do yourself a favor if you be consider pull the trigger on this -- know that it be not very silent at all . from my guesstimate , it be somewhere around 30ish % louder than a normal keyboard .
37	Keyboard	NEG	1	the trackball in this thing be only 200 dpus . and it be a pain to browse window with it . and the keyboard require line of sight to the receiver . I mean it have to face the receiver straight on or it will not work ughhh . and the receiver have the activity light on even when i be not even touch the keyboard or trackball . I think that be eat up the battery . battery life be horrible . after 3 month of use , i have to struggle to move the cursor with the trackball . it be wear down even though i rarely use it because it be a pain . it be expensive too . I get feed up with it and throw it on the ground . do not buy it !!!!!
