index	Domain	Label	Rating	Review
575	Magazine_Subscriptions	NEG	2	the Weekly Standard be where the advocate of militarism and corporatism share the thought cobble together by various industry lawyer , think tank , and pr agent  pr ! - a Social history of spin  it be regularly promote through other avenue of right-wing cultism , like the Limbaugh show and all the little Limbaughs  Echo Chamber : Rush Limbaugh and the conservative Media establishment  like any propaganda , it should be monitor to see how the spin doctor of the right-wing establishment be deceive those who subscribe to the value of elitism , imperialism , and other ugly aspect of the american empire  kill Hope : U.S. Military and C.I.A. Interventions since World War II-Updated through 2003  for people who be interested in the real world , I would recommend :  the conservative Nanny State : how the Wealthy Use the government to Stay Rich and get richer
456	Magazine_Subscriptions	POS	5	this be a magazine renewal . we have enjoy this magazine uplift article for many year . the renewal process be simple .
247	Magazine_Subscriptions	NEG	1	I try to leave no star , but I be not allow . do not do it ... you 'll never get it . shame on Amazon for not remove this subscription as a option .
32	Magazine_Subscriptions	POS	5	I love this magazine , great article fantastic quality picture and article , very inspiring . this be a great magazine at newstand price , but at amazon price it be a no brainer .
60	Magazine_Subscriptions	NEG	2	Acoustic Guitar magazine be O.K. it 'll give you a few page of musical idea and accompany tab to try . I subscribe for a year -lrb- I have be play acoustic for 4 year -rrb- before I let my subscription lapse . why do I let it lapse ? well , for starter , the lack of a good digital edition be a factor . but more important , like all publication , Acoustic Guitar depend on advertiser for its existence . naturally , it feature review of guitar , accessory , electronics , etc. , in every issue . but , unlike in more reputable publication , these review be worthless , because they be always good review ! every guitar have a nice warm sound . every accessory would be a great Christmas gift . can you imagine if movie review be write this way -lrb- focus only on the good thing , and ignore the problem ? -rrb- Ebert would be give every movie two thumb up . or , if Consumer Reports rating every product the same -lrb- everything be a Editors ' choice ! -rrb- . the bottom line : Acoustic Guitar Magazine be a shill for its advertiser , plain and simple . -lrb- this problem seem pervasive in the music world . while Amazon be great and allow negative review , other online music store do not allow negative review . -rrb-
722	Magazine_Subscriptions	NEG	1	I purchase this magazine in July and be tell that I would receive it in October and that Amazon have no control over this . then why be you sell it ???
619	Magazine_Subscriptions	POS	4	vogue fantastic high fashion photo . if you love to look at beautiful clothing and shoe you need to look at Vogue . however , as other review have indicate , the article be quite lack . they be often flat without much substance on topic that be frankly not interesting . so , you get Vogue for the picture . if you look to ogle pretty clothes or for inspiration for a art project this be a great magazine , if you want something to read get something else .
907	Magazine_Subscriptions	POS	4	overall , I enjoy this magazine and look forward to it arrive in my mailbox . like all periodical , some issue be hit or miss , but overall it be a interesting read . the feel of the magazine be exceptional -- with a beautiful matte cover , and substantial page , it be like a little picture book unto itself . the main push be in extremely cunning , modern design , so if you prefer a more traditional look -lrb- read : not less-is-more -rrb- or be not interested in modern technology for the home , perhaps this be not you bag . I enjoy article profile designer , get a glimpse into other ' home , make the most of small space , and learn about home on a more global basis . they fresh take on technology and go green be very refreshing , and waaay beyond the old `` install a CFL light bulb and you be green ! '' . I must admit , however , that Dwell do seem to be california-heavy and have a lot of article on architect and they home or extremely expensive furniture , but they still branch out enough to give one a sense of , say , the use of color in India , float home in the Netherlands , or home build as urban infill . they have also be do a great job recently explore smaller home and apartment , a breath of fresh air from other in this business . it be a good and worthwhile read that will help you explore non-traditional material , design , and thought on the industry of `` home '' .
444	Magazine_Subscriptions	POS	5	Harper 's magazine be quite simply the single most comprehensive and highest quality literary rag to date . display a unabashed moderate to left wing view , it be a publication for the people . Unafraid to poignantly uncover some of the world 's most touchy subject , this magazine also proudly display some of the most talented writer and essayist in the world . with former contributor include V.S. Naipul , Joyce Carol Oates , Don Dilillo , et al. , you would be hard press to find a literary rival . fun , user friendly , challenging , and eye opening , Harper 's be just the best thing out there . hold a firm edge over such other as Atlantic monthly , the New Yorker , Mother Jones , and the Economist , Harper 's deliver information and creativity with zeal unmatched in today 's magazine scene .
15	Magazine_Subscriptions	POS	4	one of the funniest magazine around . in a recent article , the Weekly Standard propose massively expand the IRS to help pay for the massive debt and budget deficit . which group do the `` Weekly Standard '' say should be target for this increase IRS presence -lrb- and massive increase in tax rate - for some 100 % -rrb- ? the Entertainment industry . the reality tv show contestant , the teen-pop singer and the like . the article note that normally massive taxation would hurt a industry , but with all the people that really want fame , that go all out to get they 15 minute of fame , the industry would continue along -lrb- I be curious if O'Rourke realize that the tax would be apply to similar writer -rrb- . another o'rourke article provide the reader with a alternate Inaugural Address by Bush -lrb- subtitle : `` what if George W. Bush be not a compassionate conservative ... '' ; quote : `` the media say that I win the election on the strength of moral value . if the other fellow have become president , would the media have say that he win the election on the strength of immoral value ? '' -rrb- . in all seriousness , this magazine be a very clear detailed neo-conservative look at the issue -lrb- neo-con ? - interestingly , it would appear that many of the writer use to be liberal -rrb- . the magazine do not always present just the conservative perspective , and do not always agree with Bush . another recent article be by a current liberal , ex-communist british writer and he reaction to George Galloway 's testimony before the US Senate . a editorial in that recent issue be all about the dictator in Uzbekistan , a US ally in the war on terror . the editorial note that toleration of this dictator and he brutality will undermine Bush 's current foreign policy . it should be note that the magazine do not seem to have journalist , and few staff writer , most appear to be call `` contribute editor . '' it be jarring , though , when I read the magazine then read article in some of my other subscription . `` Variety '' and `` Weekly Standard '' rarely agree . for that matter , I be somewhat surprise by how often the `` Weekly Standard '' and `` Business Week '' disagree . - Michael S. Briggs -
