index	Domain	Label	Rating	Review
960	Movies_TV	POS	5	let I start off by say I have never previously like any of the Doctor-Who series outside of the Tom Baker episode . the US try to do a new version of Doctor-Who year ago and it be awful . I do not expect this new attempt at bring Doctor-Who back to be any better , but from the very first episode be really impressed with not only the production value , but the character and story themselves . when so soon , they already change the doctor to a new actor only in the second series , I be again prepare for a let down , but I actually like this doctor better , and he seem to have a little bit of `` Tom Baker '' personality that come out too . I be really enjoy this second series set , when I come across the double episode story `` Army of Ghosts '' and `` Doomsday '' which be the two last episode on this set , but really a two-parter of the same story . these two episode , be the best doctor-who episode of all time , in my opinion , and remember , I be a Tom Baker fanatic . there be three reason I make this the most amazing Doctor-Who episode off all time , -lrb- to date -rrb- but I will not mention the first reason , because that would ruin the surprise for those that have not see the episode and give away something that be more enjoyable to find out when watch for the first time . the second reason would be the great production value , it stand up with any major production motion picture make for theater , and this be for only a television series ? wow ! the third reason be the emotional feeling I go through after watch this last episode on this set . I have never go through anything like that ever from watch Doctor-Who . I have to admit , I like Billie Piper as the Doctor 's companion , -lrb- and the only other companion I have like since Romana -rrb- but since she be mostly know prior as just a teen pop star -lrb- like the UK 's version of Britney Spears -rrb- I do not expect she act ability to do what she do in `` Doomsday '' the last episode in this second series set . I be very impressed . see that Series three -lrb- not yet available to I as of this review -rrb- have a new companion for the Doctor , I be again hessitant that I will like it , but will have to see . however , even if you be a die hard Tom Baker fan , I think you will find this second series of `` Doctor-Who the next generation '' to be one you will not be disappoint with and really will enjoy ! especially the last two episode on this set !!
185	Movies_TV	POS	5	Disney , Disney , Disney how do you change a classic ? upgrade to dvd .
402	Movies_TV	NEG	1	this movie lack any level of credibility . the technology be ridiculous from the start and get worse as the movie continue . I do not care about any of the people in this movie at all and I never see a point in any of the action . it be almost as though the character be compel to do the most outlandish thing possible instead of think about a normal and believable way out of they predicament .
146	Movies_TV	POS	5	I think the first series of Doctor who be amazing , but the second series just take my breath away . it be like a mixture of the x-file and slider . I be on the edge of my seat with each exciting adventure , wonder how Rose and the doctor be go to escape the alien or the robot or the zombie . Rose and she mother -lrb- although sometimes get on my nerve -rrb- be much more likeable this season . and I can not say enough good thing about the doctor . he be so charismatic and funny , yet serious and dramatic when he need to be . I can hardly wait for the third series .
605	Movies_TV	POS	5	this digitally restore platinum edition of the Disney classic breathe new life into the movie , put it in front of a new generation of viewer with more vibrant color that stand out and surround sound that will make you jump off you couch . as for the story , it really never get old . like Dumbo , Pinnochio or Bambi , one can watch it over and over and feel like the first day , when you dream alongside the gang , that you could fly to Neverland . the extra contain definitely make for a interesting complement , with the segment with Disney himself top the list . as a package , if you do not already own the movie , it be highly recommendable , and if you do , it may not be a bad idea to sell you use movie and get you hand on this great collector 's item .
360	Movies_TV	NEG	2	I miss the day of Disney classic with good storytelling and good theme . unfortunately , Disney have not tell a good animated story since Tarzan . Pixar do it well , but Disney insist on recycle they old classic in the way of straight to dvd movie . Cinderella III be just another sophomoric recycling of a Disney classic . the plot be unbelievable and silly -lrb- how could the Fairy Godmother be so careless ? -rrb- , the character sound like every other animated character , the song be generic Broadway and all sound the same , and why do the stepsister have such beautiful singing voice ? in the original Cinderella , they could not carry a tune to save they life . do they tone-deafness all of a sudden disappear ? if you have child , this may amuse they , although this no where near capture the spirit of the original . the quality of this be no greater than a Saturday morning cartoon .
672	Movies_TV	NEG	2	my daughter really like this movie but we have to have many reminder that woman arent `` easy to trick when they be jealous '' and that native american do not act like they do in the movie . I do not like censorship of any kind but in this day and age I cant just let this movie be see without a discussion of `` fantasy vs. reality '' .  if you want to have this in you collection , by all means do so , it be a classic story , and in defense of Disney , Barrie be a notorious mysogenist , however , a discussion of stereotype would be a nice way to offset this sometimes mean-spirited movie .
474	Movies_TV	NEG	1	the racism make this movie inappropriate . I regret buy it for my three-year-old and will not be show it a second time .
909	Movies_TV	POS	5	Will Smith be just great ! the technology that the terrorist use be so awesome !! everyone should own a copy of this great film !
755	Movies_TV	POS	4	enemy of the state be a fun exciting great movie to watch . the acting be great , the plot be great and the movie as a whole be well think and intelligent . I recommend anyone who want to see a exceptional movie with a lot of action to buy enemy of the state .
34	Movies_TV	POS	5	great movie . it be deliver in awsome timee I recomend this movie to everyone with kid .
682	Movies_TV	POS	5	I guess I be extremely spoil by season 1 -lrb- see my review there -rrb- , wait all those year to find that once the show have return , it be back with a spine tingling , take you breath away with excitement , jump out of you seat in disbelief of such glorious script and performance , absolute freak vengeance . now , onto series 2 , I be in no doubt look and expect nearly the same , albeit with a different actor at the helm . this be nothing different for who fan , and with some slim exception , it all work out well . I know some of you say we can not compare this and series one , or this and that , but hey , it be what who fan have be do throughout time . I firmly believe that as a entire season , last season series 1 of the new show rank up there as possibly the best full run of episode in who be full run . have to follow that would be a true test indeed , and while I think season 2 be very enjoyable , it be not quite as strong as 1 . there be evidence even in the promising first episode , the Christmas Invasion , that there be some little je ne sais quoi that I could not quite put a finger on , that make be ever so slightly down a notch from the high impact of season 1 's show . there be further evidence when it come to season 2 's first real episode , New Earth , as it muddle along without a whole lot of excitement to take in . thankfully , after the very good reunion of the doctor , Sarah Jane , & K9 , the show seem to keep creep up and up in excitement quality , until the brilliant season finale two parter . in fact , this two part mind blow season finish , be probably the first time I have feel as ecstatic as I do watch the entire first series episode . I be displeased that the second season never feel as unique as series 1 , but nonetheless still have fun watch yet another strong run of episode in who be continue history . after think about it more and more , I come to the realization that it be less David Tennant vs. Eccleston that make the two series different , and more about the strong writing of series 1 compare to the medoicre script of season 2 . season 1 just have more snappy dialogue for the doctor , more impactful event tightly weave into the 50 minute episode , and overall better story . that be not to say this season do not have it be share of goody , include one of my favorite , idiot 's Lantern , deal with supernatural event in the 1950 's , and lead into the very spooky two parter , the impossible planet , and the Satan pit . it be just I could not help but think when I watch season 1 , that this be hand down the best show on tv , the best sci-fus episode on tv , and the best who in a long time . with season 2 , I can not safely say that I enjoy it better than say a season of the dead Zone , Stargate , or Stargate Atlantis , but I can say it be a very enjoyable piece of sci fi and another superb addition to the who Universe . I just wish the script be tighter and flow better . on to David Tennant . it take I a few episode , for I to take a liking to he , but quickly find that he be just as quirky a doc as any predecessor and deserve he worthy place among the rest . he can bring he serious side out just as quickly and believable as he distinct , flamboyant one . I think have he a second season will be a welcome event , after have Eccleston for one short one . hopefully , they will get the write a little more up to snuff , and the excitement level , so I can once again , safely say there be nothing better on tv than who . for right now , I can not , but it be still a excellent season of who , a smooth transition into a new doctor , and leave at a point where this new , yet old , franchise can continue to grow . here 's look toward season 3 ...
845	Movies_TV	NEG	1	I order this item from Jennifer Hale on Jan. 1st , but I do not receive it as of February 1 . in addition , no reply to my twice e-mail . I lose money and time . how do I get a refund ? unpleasant . . terrible . .
