index	Domain	Label	Rating	Review
353	Projector	NEG	1	as of this point we have be unable to connect we Mac laptop and get it to show the screen . why do they not say it will not work with a Mac ?
79	Projector	NEG	1	impress by review i get this projector but very disappointing ... it have scratch all over the body cover more than that project get over heated and get switch off every 10 min : -lrb- : -lrb- : -lrb-
587	Projector	NEG	1	I be so excited to get this projector , but I be on my second one thus far , and needless to say , I be not happy at all . the first qumus I receive work great ... for one day . after that , it do not matter what device I plug into it -lrb- blurry player , iPad , iPhone , xbox -rrb- , or in what order I plug the device in , or in what order I turn on the devices\/qumi , or which hdmi cable I use to do it -lrb- I purchase several and try they on to no avail -rrb- , I repeatedly and consistenly receive the `` no source found '' message . needless to say , I be not pleased , so I send the unit back and request a replacement from Amazon -lrb- who have be nothing but great throughout this horrific process btw -rrb- . Guess what , I receive the replacement in record time . Guess what , same hdmus handshake issue . these unit be either not build well or Vivitek 's quality control be abysmal . bad customer service as well . there be get to be something better out there . very dissapointed .
178	Projector	POS	4	Muito bom . Compacto , design excelente . Estou muito satisfeito !! esta conforme esperado no momento da compra . Otimo para mobilidade tambem . Tenho este equipamento junto com um wdtv live hub . otima combinacao .
311	Projector	POS	5	solid construction . have about 6 different pivot point that can be adjust to accommodate almost any installation . one thing that I do that be probably out of the ordinary be that I actually mount the unit to a 18 inch piece of 2x6 . I have a drop ceiling so I have access to the bare joist . the 18 inch 2x6 fit perfectly between the joist . then I attach 2 small piece of wood to either joist . this allow I to lift the projector with the 18 inch piece of wood and simply rest it on the lip of each small piece of wood . this type of installation allow I to remove the projector and mount from it be rest place without have to use a single tool .
236	Projector	POS	4	honestly when i buy this I be not expect that much , but I be prove wrong . this little projector be awesome with only a few flaw . Pros-Price - good picture quality - hdmus output at 1080i - portable for class presentation cons-speaker volume can not be control that I have find , mean that if plug into a source like speaker through audio out jack you will get that crackling noise you would expect if the volume be turn up load . . but most of the time it do not happen . . just a little of the time -lrb- % 5 percent of the time maybe , but it do happen from time to time -rrb- - when I connect my laptop to it the screen flick on a off on projector side no matter what setting I mess with on the computer side -lrb- everything else work fine ... ps3 , xbox 360 , roku xr box , apple 's hdmus a\/v adapter with ipod touch 4 gen plug in , and other laptop -lrb- just not mine -rrb- all in all it be a good projector for the price . the only game I have play on it be COD mw3 , dead island , and mlb the show 11 . . but all those game work and look fine on it . the only problem I have run into be that my laptop just do not like to output to it for some reason .
391	Projector	POS	5	I project from my computer through hdmus onto a big white peice of fabric I buy at the fabric store for $ 18 . I have it in a spare room set up at about 100 '' and it look spectacular . it be not hd quality , but it be a $ 200 projector , the bulb alone for most other projector be more than that . everyone be very impressed with the projector , it put out nice color and have decent contrast . I have be watch star war and it make my girlfriend get sea-sick every time there be a fly scene . it really be that good . the selling point for I on this projector be that replacement bulb be only $ 25 . . that be insanely cheap , I will be buy several bulb so I can use this projector for year to come . I may even buy a few more of the unit for the office , live room ect . .
100	Projector	POS	4	very good quality and value for money fifa10 be a pleasure to watch sometime rainbow effect be visible
914	Projector	POS	5	I order this projector base upon the very positive review . I be tire of use the traditional computer projector with it be video connector and the associate fuss with the f9 key to get the right output to the projector . this projector connect via the usb port . the projector 's software be self-contained on the unit . installation on my Mac laptop be almost instantaneous . the laptop 's desktop appear almost immediately . installation on my Windows laptop be as simple and almost as quick . the projector also permit multiple source connection , and the remote allow the operator to toggle between the video source . I receive notice of shipment on Sunday , and it arrive on Tuesday . that be incredible service .
245	Projector	POS	5	we have own a optoma 1080p for two year before purchase the w6000 . we project on a gray wall with a screen size larger than 120 inch , ceiling mount . we use it for watch movie and play PS3 game . the benq blow the Optoma away with crisp brightness yet no rainbow or loss of black -lrb- gotta love dlp -rrb- . also virtually no aliasing . there be considerable set-up time if you be really picky about color and contrast - but at least you have the choice . the fan noise be unnoticeable especially compare to the Optoma ... I be afraid it be not work correctly at first . much cooler , much quieter , better picture = worth the price . additional note : we have become a house divide ... I like the Benq handling of motion , but my 28 year old son do not . we both agree that it be crisper , brighter and quieter than the optoma but we be go to begin look for a different projector that we both can love . resolve ! the motion problem be a result of a setting on the PS3 . for game the motion be normal but for movie it be strange ... not blurry , but odd . we change a setting on the PS3 from 24 frame to 60 hz -lrb- ? -rrb- and now everyone agree that this projector be perfect .
