index	Domain	Label	Rating	Review
808	RiceCooker	NEG	1	`` this be the worst rice cooker I have ever use . the top be not heavy enough so it spit all around the edge . my counter top be cove in sticky rice paste . and I be only cooking half he amount of rice it say be the capacity . ''
168	RiceCooker	NEG	1	this product stop work for just one month of cooking . this product stop work for just one month of cooking . this product stop work for just one month of cooking . this product stop work for just one month of cooking .
835	RiceCooker	POS	5	I purchase the Aroma Rice Cooker and Food Steamer after Thanksgiving as a present for my wife for Christmas . she quickly open the box , read the instruction and begin prepare a evening meal . she love it because she can steam veggy the way she like . she love the cooker .
590	RiceCooker	NEG	1	this be a simple little rice cooker that work fine ... for about two month . one day it just stop work in the middle of cook some rice . this seem to be a common problem with this product and I can not recommend it .
462	RiceCooker	NEG	2	this 6-cup rice cooker be more like 3-cup rice cooker . this could never be more than 5-cup for it be really small ! its say in the manual or box it be a 6-cup , but it say in the manual that only 3 cup will fit . and it be only actually 3 cup of rice ! when its more than that , its gonna overflow !!!
245	RiceCooker	NEG	2	I have this product for less than a year and I go to cook rice one day and the cook lever would not stay down . it keep pop up like it do when the rice be do . . I be very dissapointed , usually Black & Decker product be good product , but not in this case . I be on here look for a new one , and I can guarantee it will not be Black & Decker
846	RiceCooker	POS	5	my wife receive this cooker as a gift and she love it ! she will not go back to she old method for any reason . she especially like brown rice which be cook perfectly . so , good price , good feature and wonderful brown rice !
18	RiceCooker	POS	5	I have be use the same simple on\/off rice cooker -lrb- purchase for about $ 25.00 -rrb- for year . it make cooking rice easy but it be time to replace it . I debate quite a bit on spending over $ 100 for this particular rice cooker ... could it really be that much better ? I think I would give it a try ... I have to say , I be so glad I do . this little gem cook rice perfectly . I always though my old rice cooker do a good job -lrb- despite the bit of burnt rice on the bottom of the pot -rrb- , but i really have no idea that rice could come out like this ! this cooker have make I a rice fanatic . brown rice be amazingly soft and tasty , and I have be try different type of white rice as well . the best part be that you can use this like a crockpot . you can really cook some great dish right in the cooker . put the ingredient hour before dinner , set the timer and come home to a perfectly cook rice meal . my kid have become huge fan of the porridge . a mix of oatmeal and cook rice with a hint of cinnamon and sugar make for a healthy , hearty breakfast that my family can not get enough of . I debate between the 3 cup and the 5 1\/2 cup , but since the 5 1\/2 cup be only a few dollar more I go with that and I be glad I do . I do not think the 3 cup would have be enough - especially since I be use it to cook meal . if you be in the market for a rice cooker , take a serious look at this . it be not just a rice cooker - be sure to get a rice cooker cookbook to compliment it though - the recipe that come with the machine be not that exciting .
870	RiceCooker	POS	5	this cooker might be pricey but it cook any type of rice perfectly . Brown , jasmine , extra long grain all cook to perfection -lrb- wash you rice wash you rice wash you rice ! -rrb- . clean up be easy and only take a minute . spend the extra cash for this one if you can swing it .
69	RiceCooker	NEG	1	i buy this item on amazon not know it be fit with a american plug when i go to send it back it be go to cost I # 16 postage that be more than the item cost i they buy a plug for it that cost I # 6 and it still do not work wont be buy anything else from use
