index	Domain	Label	Rating	Review
211	Sandal	NEG	2	these be some nice sandal . they look cool , can be wear with just about anything , and be very popular . they be also rather comfortable , once you get use to stand on hundred of little bump . however , I hardly ever wear they , because I have a very hard time keep they from slide sideways under my foot . I have try tightee they , loosen they , and alter the angle at which I velcro they , but nothing seem to help keep they from become crooked after just a few step , especially if I be walk at a brisk pace . I do not know how people wear these thing around without have a problem with they slide sideways . I would not recommend they , unless you can somehow keep they straight on you foot . if you can , they be great .
515	Sandal	POS	5	love these shoe . only thing , my husband be very hard on shoe , and the sole of these only wear about a year for he .
741	Sandal	NEG	1	this be a cheap plastic ill fitting shoe , like the kind you could get at Walgreen 's for $ 6.99 . do not waste you money .
964	Sandal	POS	5	great item fast shipping . will order from again . item be better then what be showen in photo . the only thing that would make they better would be if they be free .
453	Sandal	NEG	1	these be very low quality sandal . I get these a couple of month back . the nob start shed immediately and now have several patch at all the place that matter . I have use this type of sandal previously and they last I several year . these sandal do not have the same quality . most certainly not worth the price .
999	Sandal	POS	5	I now have two pair of these great shoe . the velcro strap be essential for a old guy like I , because when I try to bend over and tie lace , my face get so red that my wife think I be have a heart attack . they fit perfectly , and be by far my most comfortable footwear -lrb- not count barefoot , which I like best of all -rrb- .
264	Sandal	POS	5	keen man 's Newport H2 Sandal  this be my second pair but these be closed toe which make it much better when you walk on anything but a hard surface . they last for a long time . I like these better than the last pair which be open toe would and have leather insole which have a bad smell . these have synthetic insole which be much better . they have great color too . I 'll be get another pair soon
953	Sandal	POS	5	after purchase 3 pair of keen Siskiyou shoe and love they for they wear , comfort , and great fit , I decide to try the h2 sandal . Have have the first pair for over a year and a half , and they be my only summer footwear . I wear they for fishing , camping , golfing , shopping , walk , and mow the lawn . they be extremely comfortable , and I just love they . I just order a second pair because I want another color . keen shoe and sandal be a little pricey , but if you shop on line you can save 20 % or more . I buy my first pair of sandal for $ 64 and my first pair of shoe for $ 54 ! the only sandal and shoe I wear be keens-stylish , comfortable , and they hold up under all condition .
918	Sandal	NEG	1	I buy these think the little adissage would feel nice but after try they the first time my foot be in pain after 30 minute . then I try to wear they again another day but with thicker sock and find that I could only last 1 hour walking in they . what I would compare they to be walk bare foot on small pebble if you can handle that and enjoy it then these be for you but if you have sensitive foot like I do you might want to buy the non-adissage .
764	Sandal	NEG	1	after eight month use as shower shoe one of the strap disconnect from the sole . crap Crap Crap Crap Crap .
601	Sandal	POS	4	I buy they because of they look hope they would be comfortable and be not let down , would not compare they to reef or Teva as comfort go but the style be very cool , seafoam green with the dark leather strap nice look .
