index	Domain	Label	Rating	Review
99	Vacuum	POS	4	I be happy with the Oreck XL - it be lightweight and suck up all the dirt ... my only complaint be that when you pull the vacuum back toward you , the wheel make a very unpleasant sound . maybe this will stop when the vacuum be `` break in '' but right now it be quite annoying .
410	Vacuum	POS	4	I receive Black & Decker pav1200w 12-volt Cyclonic-Action Automotive Pivoting-Nose Handheld Vacuum Cleaner in very good condition , it be work well , but upholstery brush which suppose to be include be not in the package . package be not break or damage , may be seller forget to put it inside . I try to contact with customer service . they send I e-mail with apology , they will check in they stock of the vacuum and see if they have this brush in they kit . they will send I a brush if they do , also they promise contact with I later but they do not ! I do not send this vacuum back because we need it and already start to use it . hopefully I will recieve miss brush , otherwise this be a good item !
791	Vacuum	NEG	1	I buy one of these as a gift for my mother who have be use a B&D; CFV1200 for 8 year without any problem -lrb- even the battery still hold a charge for a 10 minute vacuum -rrb- . anyway , I think the psv1800 would be a leap forward in technology , efficiency and usefulness . possibly it be if it work . the one I purchase have two problem right out-of-the-box : 1 . the on\/off switch do not work at all , it do not even budge ; 2 . the charger base led -lrb- and possibly the charger -rrb- do not work . on another note who know , since the unit can not be switch on . of course , the typical run around with B&D; . it use to be that american company be superior to other . the product be also better . B&D; be definitely a american icon or use to be . how can a company pack a vacuum cleaner without check to see if it work ?! they do put a plastic block device on the switch so it would not switch on accidentally but then how could it if the switch do not even budge ? anyway , on a positive note : Amazon.com do try to help but in this specific case could not . so I be drop Black & Decker from my list of Favs and be push Amazon.com up by another notch . thank goodness there still be good american company in the age when Chevy 's be make off-shore !
88	Vacuum	NEG	2	well I should of known better when order this because it be a 50\/50 split on the negative and positive review . but I take a chance and order it . basically everyone who say this lack power be 100 % correct . the suction on this be not just weak but practically non existent . it sure sound like it will do something by all the noise it make but it would hardly even pick up a hole punch disc -lrb- the little circle you empty out of a hole punch -rrb- I even try a test to see if it would work and of course it fail . I just sprinkle a tiny bit of flour on my counter to see if it would suck it up . well no it sure do not . but all the air blow from the side vent blow it around all over the kitchen . LOL thankfully this be not expensive cuz if it be it would be go straight back . it be not the seller 's fault as they do not make the product . its Dirt Devil .
879	Vacuum	POS	4	I do have to say this be one of the best vacuum I have use as far as suction . I do not know my carpet have nap until I use this one . this model have such good review that I purchase it in spite of it not have a few feature I usually prefer think it do not matter . it do matter and if I have it to do over again , I would have choose a vacuum with those feature . pro : ~ great suction , even use a extra long hose . ~ long cord allow I to vacuum entire apartment without stop to unplug and replug in each room con : ~ the edge of the vacuum only pick on up the right side . there be about a 5 '' strip that do not pick up on the left side . I figure I would just turn the vacuum around for the left side . that be not always possible or be very difficult depend on wall and furniture arrangement . ~ no front light . do not think that matter , but after use one without it , it really do help to have that light show what be in front of the vacuum . ~ LOL , the long cord - sometimes get tangled and a lot to round up . but it be worth it to be able to reach without have to unplug and replug . ~ do not come with the hose that go out the back -lrb- unless you somehow disconnect and reattach the hose on the unit ??? - I could not figure that one out -rrb- so I order a extra long one . Wish I go with 5 foot but I want to be sure I could reach the ceiling for bug . it be a pain to store and use , but it do work and it be always long enough ! on my budget , it be not worth re-invest in a new vacuum and this one do work well . I just wish I have get one with suction on both side , a light in front , and a shorter hose .
80	Vacuum	NEG	1	I price the Eureka Boss Bagged Upright Vacuum Cleaner , 4870SZ here on Amazon and other site . I decide on the Pet Lover one . I have no problem with refurbish thing when do properly , so I opt for the cheaper price . I price the refurbish one that include the Pet Paw - order the cheapest price one and wait for delivery . my old vacuum become history about two , nearly three week ago . decide to shop for a decent one instead of buy something last minute at a local store . after get a bad egg -lrb- first one do not work , after a good bit of phone time , a second reburbished be mail to I -rrb- it be just refreshing to get a vacuum that work . and it work extremely well . get more dog hair off my floor than any other vacuum . still not all , small straight chihuahua hair seem to glue itself into the rug , but much more than any other we have ever own . and without repeatedly go over the same area at that . do move the rug when vacuum they if not careful . and make sure the switch on the bottom -lrb- bare floor\/carpet -rrb- after release the handle - every time - be quiet annoying . but so far it be worth the money we pay . do not know about the hassle that it take to get it yet though .
689	Vacuum	POS	5	this be a very small vacuum cleaner but it have very good suction and power plus a very long cord . it be light enough to carry upstairs . I have a small hoover vacuum year ago but when it die , I have a hard time find a powerful little vacuum . this one fit the bill . I be very pleased with my purchase . highly recommend this vacuum .
454	Vacuum	NEG	2	mouth be TOO SMALL , WEAK MOTOR , TOO SIMPLE and where you roll the cord be in WRONG PLACE , should be BEHIND , NOT at the SIDE . and RETURN be DIFICULT , SO BETTER keep it for antigue . of course , if you do not turn on you car , do not work . its not good at all , its a waist money . do not buy . no sirve , no funciona , no pierda tu dinero .
787	Vacuum	NEG	2	I be so po would I waste $ 57 on this . I buy this to dust around the comp. , phone , printer , etc. on the desk and because it get a 4 star rating on 85 hit . let that be a lesson . I agree with the bad review . short run time , long charge time , plus ergonomically awkward to use . I put a shoulder strap on it -lrb- need a hand free to move stuff -rrb- and a better brush head but the short run time -lrb- 5 min ? -rrb- and long charge time -lrb- every time , not just the first time -rrb- still make it a bust . build quality seem good so maybe it 'll work for someone with different need than I . in they defense , I have a B&D; Dustbuster floor vac that I love and run 4 time longer even with the powerhead go .
488	Vacuum	POS	4	have own it for several week now , so far so good . I be hear little thing get pick up that I have never hear before , and we vacuum somewhat regularly -lrb- at least 1-2x per week -rrb- . do not stink or smell like dust so the description of it be a good one for allergy seem to hold up . overall , a good buy for under $ 120 through amazon.com Retail price be closer to $ 200 , but then again , no store carry it within 30mus of we location .
