index	Domain	Label	Rating	Review
365	Video_Games	POS	5	keep in mind that while I buy this game at launch , I make sure to play through the first one before give this a go . I also have other game on my plate and as such I just beat this a few day ago . if you have a decent computer , you will soon realize that this be one of the best look game available . my computer be run it a little slow at first . then , I update my driver . apparently the game be only recognize one of my card . with both in tow , I be run thing very smoothly . I turn off the motion blur effect to gain a decent amount of fp and after that the game never rarely seem to get below 30 fp . here be my relevant computer spec : 2.7 ghz triple core AMD 8gb ram 2x radeon hd 4870 as far as the gameplay go , I will not lie , it be very difficult when you first start out . soon you start to get better gear and better ability and by the end of the game it be only a challenge in the biggest boss fight . the great story , voice acting , and cinematic scope make I stick with it in spite of the difficulty and I feel extremely reward . after play through once , I feel I would fare much better the second time around . this game have more replayability than any game I know , as there be area , story , and quest you would not even come in contact with depend on a major choice you make around 15 hour in . it be one of the best rpg 's out there . just remember to be patient , save often , and do not give up . you 'll be happy in the end .
158	Video_Games	POS	5	I personally consider this one of the best game I have ever play . the storyline wasnt as good as I expect , it be too rush and I couldnt grasp what be happen . also the gameplay in the in-game game be completely different from the previous two Halo game . there be ton more gun , the new addition of equipment , and a very odd life system . no longer be there a shield , only a bar at the top and if that hit 0 you dead . the graphic be simply breathtaking . I be play it and a friend walk in and think I be watch a reality movie . for all you people who say it suck , the trick be too hook it up to a hd-tv , that what its optimize for and when the graphic enter unbelievibly-blow you mind state . the multiplayer be incredible . it be similar to Halo 2 , but with the introduce of Forge and more map . I play for hour yestarday and never get tire . so even though you may not enjoy the campaign as much as you think , and the graphic may blow you mind temporarily , i give this game a easy 5\/5 .
208	Video_Games	POS	5	I be not a gamer . it be buy for a family member as a reward for be a great grandson ! he love it and have say it be a lot of fun !
605	Video_Games	NEG	1	I be go to buy until I find out about DRM . another $ 50.00 bite the dust ea . enjoy you game
28	Video_Games	POS	5	I have not use this for a xbox but instead for a pc and it work perfectly . the first time you plug it in the driver install quickly . most game automatically map the button but you can always change they around if need be . the cord be also sufficiently long . highly recommend .
956	Video_Games	POS	5	how many time I have buy these set seperately I can not say . it be many . now you get get all the infinity engine game in one shot for 20 buck . Hope it all work right technically with you os . it be the only thing I would be wary of . the game be legendary and need no review , Biowares entire reputation be root in its achievement with the infinity engine and Baldur 's gate 2 : shadow of Amn specifically . they have go on to build some pretty powerful franchise but Baldur 's gate 2 have no equal -lrb- or successor -rrb- in gaming . it be the Mona Lisa , of PCRPG 's and that that . unlike the NWN set , this set be `` complete '' but you still will have to mod the game to get the most out of they . I would never play these straight out of the box anymore . perhaps Bioware get too much credit and the modding community deserve a little bit more , for the spit and polish at least .
918	Video_Games	POS	5	I would recommend try the online version of this game first to see if you like it . it be a very simple word game but I find it nice to relax with while watch tv . I enjoy play without the timer ; it be less stressful . it be pretty much the same as the online game but have room to a house that you unlock as you gain level and word you can unlock to build book for you library . you cant really do anything with these book or this house but it be fun to try to find the word for the book . fun , simple , game for people who like to spell . try the online game and if you like it you will like this .
394	Video_Games	NEG	2	these headphone be great with the exception of a couple thing . 1 . they go through battery like you wouldnt believe . if you tv be close enough I would go with the wire . 2 . Mine do not work anymore and I be roughly 2 week over my return date for amazon . I can return they for half what I pay for they but seriously who want to do that . the problem with mine be you can barely hear any sound with they turn all the way up and other player voice go in and out . I have put new battery in it and it do not change anything . this item would probably be best buy at a store where you can do a even exchange if something like this come up .
17	Video_Games	NEG	1	we buy this for Christmas think it would be fun for some family game time . we love the actual game but the video game be a joke . my husband who be very good at video game try two different challenge . you be require to do two different motion use the controller and nunchuck which prove to be very difficult . after try the training session for two different challenge -lrb- with not much success -rrb- we decide to return it to Amazon . the challenge would be a lot more fun in real life than in a video game .
707	Video_Games	POS	5	I know my brother Ron would love this the minute I see it . what a awesome present for he birthday
464	Video_Games	NEG	1	the hype for this game mainly center around its gripping story pen by John Milius , which would lead one to believe the single player game would be amazing . do not believe the hype . I purchase the dvd , and it require a 12 -lrb- ! -rrb- hour download before I could play . next , I find that the single player game be over in about 4 hour . 4 hour ! so , write by John Milius ? okay , maybe he write it on a napkin during he lunch break . seriously , there be some great potential here that will never be realize . I think I 'll go watch red dawn .
733	Video_Games	POS	5	we upgrade to the 3d after the hinge break on we original ds . have a hard time find a decent replacement on eBay so try the use amazon route . get a good deal on a very decent use one . my son love it . better than he think he would . the 3d can be turn off . and the change control be not as much of a bother as he be worry they would be .
735	Video_Games	POS	5	Yo . when i have a ps1 myf freind have a ` cube , so i buy a ps2 . let I tell ya honestly , there be no comparison in grafix . -lcb- gc -rrb- ps2 -rcb- I buy a cube too 'cause ps2 have the better game and ` cube have the better grafix . if anyone say that the game be kiddy , well ... I like THEM STILL !!! how han someone straitface say mario be dumb ?!?!?!?!?!?! and if yu dont believe what i say about the graphic , a quick spec comparison ought to set u strait mama mium ! Mario say xbox smell !!!
219	Video_Games	NEG	2	be a very fun game for the 4 year that I have play it , but I find myself in the past two year get bore of the game too quickly . I figure it be burnout , take a break , then come back 6 month later . nope still feel the same . come back this last time , and the community have just become abhorrent to deal with , new player can not get help throughout the barrage of attack in the trade channel . I do almost get to 84 but feel bore of it too fast , the graphic seem bland . -lrb- Trees remind I or origami tree , no texture -rrb- water remind I of melt plastic . massive phase issue -lrb- have miner bot underground in area and steal mining nodes\/herb node -rrb- no police what so ever . deathw seem to be a non existent threat . several friend have quit since this expansion have come out , and I put my account on hold again , while cancel my daughter account . I think they be try to bring in new customer -lrb- per they report they could not get 70 percent of new account to make it past level 10 -rrb- which be great . they do need to bring in new blood . bad thing be that new blood be get rip apart by its own community . maybe it will change , more than likely not . perhaps Blizzard grow too large ? bigger company do not always equal better . I just hope that when they do release Diablo III that it be not mess up , d2 be a tremendous blast to play .
59	Video_Games	POS	5	i never really play it when it originally come out , because i be to young , but now that i have it , im glad i do . this be why nintendo make remake so people like I can play the game we miss out on
698	Video_Games	POS	5	First off , I be a fan of the original series so I be already look forward to be able to enjoy you do not Know Jack again . the Wii version make it easy for up to 4 people to sit back or on the edge of the set and poke fun at eachother for the answer each pick . the game do a great job of have question and answer that lead to awww man moment every game . it be a must have for adult .
632	Video_Games	NEG	1	I would have simply return the two fake Wii Remotes I receive , but they be Christmas gift from a relative who do not provide I a receipt . that say , he purchase two white remote from Amazon that be probably fill by a vendor -lrb- sell by ____ and fulfil by Amazon -rrb- . the remote be very good fake . I go on several site try to determine if they be , and do not know at first . the giveaway ? terrible speaker on the phone ; second , the Wii MotionPlus barely work . then , one of they just quit work all together . another giveaway be the model number on the heel of the remote . also , the graphic on the bottom side be inaccurate . I be able to compare these after go to a brick and mortar store and buy one . so now , I have two worthless piece of junk that my family member pay full price for . thanks Amazon ! check you vendor out more !
177	Video_Games	POS	4	it be a Bungie game ! from Marathon to myth to Halo , this be my favorite game developer -lrb- even if they bail on the Mac prior to Halo 1 -rrb- . this be a great title . it keep everything I like about Halo 1 , and extend the fun big time .
811	Video_Games	POS	5	my 14 year old love this game . he have the 2010 version and love the new effect in the 2012 version .
477	Video_Games	POS	5	ps3 version come w \/ dlc 's and you will be amaze at the detail and story along w \/ the gameplay of this game . . if you have never have the honor to play mass 2 then please take my advice . . buy it
389	Video_Games	NEG	1	I think this thing suck . I have to save up 180 dollar , andus only get 5 a week . it be too expensive , wheras the GameCube be a mere 100 . the conroller have too many button , and it be too small . the GameCube controller be just right . it do have more game ; I 'll give it that . but , be they all good ? a few , maybe , but most be bloody , gory , rude , and just downright boring . it be mostly sport and shooting . it have no big franchise besides Grand theft auto , which I do not understand why it be so fun . Nintendoo have : Mario , Zelda , StarFox , Metroid , Mario Kart , plus Animal Crossing . so , the message I be convey here be ps2 be no good , buy a GameCube .
739	Video_Games	POS	5	I can not even say enough about how much I love this game . if you love Michael and he music you will love this game ! the developer go all out on this game and it show . I do not even like or play dancing game but I go out and bring this one and I be blow away buy it . I love how they incorporate almost everything from Michael 's video 's and adapt it to the song . this game could of be so wrong but it come out so right ! I be glad this be not another step on stage and sync with I game . no , this game be Michael at he best do what he do best . I get the special edition with the infamous glove and it be worth it . fun to play with friend and family I can not think of a single complaint about the game . it be Michael , he music , and you dance to it .
306	Video_Games	NEG	1	the reason I get this game be because of its overall concept of be able to explore a dangerous zone on earth . as I grow up in Eastern Europe , the atmosphere remind I at my experience during the communist era . I have play many FPS game and recently finish F.E.A. R , Doom 3 , hl2 , and Far Cry . the graphic , AI and overall game-play in s.t.a.l.k.e.r be pretty weak compare with any of the game mention above . the aus of the enemy be very poor , the game-play be cumbersome as you have to micromanage very many little detail , and read a lot of dialog text be annoying . during play , you will have to spend a large amount of time in inventory . the load time be very slow due to what it seem to be poor caching and memory management . the reason I believe that to be the case be that it even take a long time to go back to a recent quick-save . the slowness and other bug I encounter make I apply a patch that be release recently . the new patch break all my save game and I have to use a unlimited health trainer to speed up the process and get back to where I be . -lrb- waste about 2 hour -rrb- overall the game play be poor , and the support be terrible .
