index	Domain	Label	Rating	Review
494	AlarmClock	POS	5	i buy this little alarm clock for my wife many year ago . the original die and because it be easy to use , easy to pack and work forever on one set of battery she want another just like the old one . find it here ...
257	AlarmClock	POS	5	i purchase this alarm clock for a recent trip to europe and it work great . it be simple to set the clock & alarm and have a light to see the time that be easy to find in the dark . i be happy with this purchase .
36	AlarmClock	POS	5	i like a travel alarm you can see in the dark , and the snooze button accomplish this when you wake up in the middle of the night , yet turn off to let you sleep in the dark . it be a nice small size and compact to carry .
625	AlarmClock	POS	5	this clock can be $ 15 plus if they be sell in ikea . they have very fancy color flash color and i love the temperature function . it be more accurate more responsive than my other themo device at home . the alarm function be just a joke . it be very difficult to setup the alarm function and the alarm be just merry christmas music ...
963	AlarmClock	POS	4	so far , i love my clock ... except one thing . there be no volume control available for the nature sound . if you do not want to be blast by the sound of pound wave , excited bird or a babble brook , you have to put the clock on the other side of the room and can not have it close to you head . i would prefer the volumn to be lower and adjustable . other than that , it have great feature for the cost ... .
184	AlarmClock	POS	4	i have always hate alarm clock . be waken by a shrill bell , a morning dj -lrb- evil ! -rrb- , or that horrible beeeep ! beeeep ! have always scare the willie out of i . the timex 4056 give you several bird-based option -lrb- rooster , seagull , and bird -rrb- for you alarm , along with a slightly more civilized beep that be a tenor sax rather than a trumpet . i choose seagull , and now my morning wake-up be like be mildly annoy by the neighbor ' pet , rather than be stab in the head with a big knife . the clock also offer three ambient sound to sing you to sleep or make a little white noise : ocean , waterfall , and chirp cricket . fortunately , unlike real ocean , waterfall , and cricket , you control the volume and duration . i love this clock . the only reason i do not give it five star be its stubborn refusal to go into the kitchen and make my breakfast . though perhaps if i find it a 30-foot extension cord ... nah .
889	AlarmClock	POS	5	find a good travel alarm with a digital display should not be difficult , but i have go through a number of other clock that be unsatisfactory . one have a design very much like this one , but the switch be flaky ; if you try to set the alarm , it would irregularly oscillate between display the alarm and the time . another have a folding cover but leave button expose in back ; when i arrive at my destination , i often find that the button have be depress in transit and the time have be reset . the westclox # 47508 travel alarm do not have these problem , and have work perfectly so far . as other have note , the light be dim and remain on only so long as you press the button . the alarm ring for one minute , and you can snooze indefinitely for four-minute interval -lrb- although i wish the snooze be a bit longer -rrb- . the button and switch be simple and intuitive . it run on a single l1154 button battery . this battery type go by various name -lrb- alkaline a76 , lr44 ; silver oxide e357 , 10l14 , ms76 , sr44 -rrb- , and be one of the easier button battery to find in store . the clock be compact and appear sturdily make .
24	AlarmClock	POS	5	these be great little clock . i have use they for over 15 year , and keep buy they 3 or 4 at a time . why ? because sooner or later i will leave my clock in a hotel room somewhere . -lrb- and once a colleague find it and `` sort of fail to return it '' because she like it so much . -rrb- important to i be that it have separate hour and minute setting - i cross a lot of time zone , and reset this clock be as easy as can be . i have try the clock that sense the time zone automatically , which work fine in the us but not at all in most of the rest of the world . this clock be reliable , easy , small , light , durable and cheap . the all-time bargain of the clock world . just great .
510	AlarmClock	POS	4	i have own this clock for about three year now and i love it . i be actually look for one for my boyfriend -lrb- who love it too -rrb- when i come across all these negative reveiw . now i be a light sleeper and even the quietest alarm would shock i awake . that be the main reason that i buy this clock in the first place . the radio break within the first few month and i find the buzzer too loud for i so i be force to leave it on the silent setting . i be really worry that this would not wake i up so i also choose to use the flash at wake up option . even if i have only have a couple of hour of sleep , the flash light wake i up everytime . grant , i be a light sleeper so it do not take much for i to get up , however my boyfriend have to set up what we call the `` alarm minefield '' to get up in the morning and i be suprise that this clock wake he up . i do have to agree that the display be quite bright , so i read the manual and you can dim the display by hold down the demo and snooze button at the same time . overall , this have a great size that make it easy to take with i when i travel -lrb- which i do quite often -rrb- . this clock have so many option that you can really fine tune it in order to find out what work best for you . i have recommend this clock to many people and they love theirs as well .
948	AlarmClock	POS	5	we need a weather radio because we live in tornado country . when it get stormy , the 9 volt battery backup on this noaa weather radio keep the weather report come in . we live near a city and have no trouble receive the noaa broadcast . this unit cost as much as any of the standard weather radio i be look at , but it also have radio , alarm and a very large digital clock display . the spec say the display be 1 '' but i think it be closer to 2 '' . it be not a designer piece , it be purely functional , but that be what we buy it for . a cool feature be that you can set you alarm clock to wake you to the weather report . if you be travel , that be pretty handy .
715	AlarmClock	POS	4	pro : - reasonable alarm sound -lrb- for light-medium sleeper -rrb- - compact and extremely portable - lightweight yet sturdy ; size that fit the falm of you hand , yet have a foldable stand - good lead light , clear indication of the size of each button - affordable and matching with many type of furniture , color , etc cons : - not user friendly - adjust time , alarm , difficult due to the one direction limit digit go only higher till 59 and reset to 0 -rrb-
624	AlarmClock	POS	5	without question this be the best travel alarm clock i have ever own . it be compact , light weight and most importantly reliable . i have one for many year which never let i down . this past summer , i inadvertently leave it in a motel room while on vacation . my concern be that i would not be able to find a replacement . to my delight i find it at amazon . it be a great little clock at a `` super '' price .
