index	Domain	Label	Rating	Review
175	Movies_TV	POS	5	one of the thing that be hard for a show to do , even a long-running series , be to match the success and strong story element of the first season the second time around . but the cast and crew of `` doctor who '' not only match the success of season one , but actually surpass it with the second season . david tennant , take the tardis key from christopher eccleston , prove to be a fantastic successor to the role of the doctor , bring a lot of humor and gravitas to the role , and be support by the equally-fantastic billie piper as he companion , rose tyler . couple with a brilliant support cast , strong storytelling , fantastic visual and strong music , this be a terrific season of the show . highlight include : `` the christmas invasion , '' david tennant 's premiere episode ; `` tooth and claw , '' which bring werewolf into a story of alien after queen victoria ; `` school reunion , '' which reunite the doctor with sarah jane smith and k-9 ; `` the girl in the fireplace , '' a brilliant episode from the always-brilliant steven moffat ; the two-part `` the impossible planet\/the satan pit , '' which pit the doctor against the devil himself ; and the two-part finale , `` army of ghosts\/doomsday , '' which feature both a head-to-head battle between the daleks and the cybermen , and the exit of rose as a companion in a final scene that will leave nobody with a dry eye . the dvd release of series two be also improve over the first . the picture quality be fantastic , and the audio , a problem with the previous set , be much improve . extra be fantastic , from david tennant 's video diary to cut-down version of `` doctor who confidential . '' longtime fan and newcomer to the show will definitely want this set in they collection ! allons-y ! program\/dvd grade : a +
537	Movies_TV	POS	5	a disney family classic , this be a great dvd for both boy and girl . a must-have addition to you dvd collection .
844	Movies_TV	POS	5	just receive this by mail yesterday . my daughter and i grab popcorn and sit side by side to watch it . love we moment together with she disney movie .
706	Movies_TV	POS	5	i see this movie 7 time a i think it be awesome . its my fav . movie . my recomendation be . . get it now !!!!!
848	Movies_TV	POS	5	one of the best thing that the bbc have ever do be to bring back the long-lived sci-fi show call `` doctor who '' in 2005 . after a very successful first season in 2005 , the tenth doctor -lrb- david tennant , who many will recognize as the actor who play the character barty crouch , jr. in the 2005 film `` harry potter and the goblet of fire '' -rrb- with he human companion rose tyler -lrb- billie piper -rrb- and mickey smith -lrb- noel clarke -rrb- once again travel through time and space in the doctor 's mysterious time\/spaceship call the tardis . the fifteen episode include in this dvd set be as follow : 1 . `` the christmas invasion '' . with the tenth doctor lie in rose 's home in a coma , can anyone stop the invasion of the alien know as the sycorax ? -lrb- rose 's mother jackie play by camille coduri . -rrb- 2 . `` new earth '' . the doctor , rose & mickey discover a bizarre hospital where the nurse be cat people . they run into someone familiar : cassandra . 3 . `` tooth and claw '' . travel to 19th-century scotland , the doctor , rose & mickey meet queen victoria -lrb- pauline collins -rrb- , who be be hunt by strange man and a werewolf . 4 . `` school reunion '' . the doctor , rose & mickey battle alien that be use human child as computer to crack a mysterious code , and they run into two of the doctor 's previous companion : k9 and sarah jane smith -lrb- elisabeth sladen , reprise she original role -rrb- . 5 . `` the girl in the fireplace '' . after travel to the 51st century , the doctor , rose & mickey find robot that be after a 18th century woman , madame de pompadour -lrb- sophia myles -rrb- , for a diabolical plan ! -lrb- a very emotional episode . -rrb- 6 . `` rise of the cybermen '' . the doctor , rose & mickey accidentally travel to a alternate universe and find a earth where dirigible be the norm and rose 's father pete -lrb- shaun dingwall -rrb- be alive , not dead . however , a powerful but die businessman , john lumic -lrb- roger lloyd-pack , who play barty crouch , sr. in the 2005 `` harry potter and the goblet of fire '' -rrb- , want to transform human into cybermen ! 7 . `` the age of steel '' . in the continuation of `` rise of the cybermen '' , the doctor , rose & mickey narrowly escape a assault by the cybermen and work with people from the alternate universe to stop they . one of the doctor 's companion decide to stay behind . 8 . `` the idiot 's lantern '' . the doctor & rose return to the correct earth to see queen elizabeth ii 's coronation , but people be mysteriously disappear after obtain a unusual tv set . 9 . `` the impossible planet '' . the doctor & rose travel to a dark alien world with a mysterious pit and located near a black hole . 10 . `` the satan pit '' . in the continuation of `` the impossible planet '' , the beast in satan 's pit challenge the doctor 's core belief . 11 . `` love & monsters '' . a group of people on earth have be compile information about the mysterious doctor who . 12 . `` fear she '' . the doctor & rose travel to london for the 2012 olympic game and discover that child have be mysteriously disappear . 13 . `` army of ghosts '' . as the world celebrate the ghost of loved one suddenly appear , the doctor & rose find a new connection the alternate universe and once again find mickey & rose 's father pete ; but one of the doctor 's deadliest enemy be go appear . 14 . `` doomsday '' . in the continuation of `` army of ghosts '' , the doctor , mickey & rose must find a way to stop a war between the cybermen and the daleks ; but will the doctor lose the one that he love ? 15 . `` the runaway bride '' . a young bride be mysteriously transport to the tardis . with impressive special effect , well-written & engaging story and great acting , i rate `` doctor who : the complete second series '' dvd set with a resounding 5 out of 5 star and highly recommend it to anyone that love sci-fus .
316	Movies_TV	POS	5	when i be six , i play `` peter pan '' in my living room , jump from sofa to chair , back to sofa , pretend to be the boy who would never grow up . on the stereo , i play the disney soundtrack , and i know all of the song by heart . it be a feast for my imagination , and a cherish memory i shall never forget . these memory stir deep with the new release of peter pan on dvd from the wonderful folk at disney . peter pan take the well love tale from the ingenious mind of j. m. barrie , and put the usual disney spin on event , to make a memorable movie . the boy who never grow up fly to london to visit wendy and she brother to retrieve a lose shadow . mayhem ensue when the brood wake up , and quickly follow pan to neverland . i purchase the 1999 release of this movie on dvd , and i must say this new version far surpass the quality of the first . the color be more vivid , the soundtrack brighter and richer . it be a beautiful new transfer , and one well worth you money . the additional feature shed light on the disney creative process it take to make this movie . one special feature touch i : a virtual peter pan flight . as you fly with peter , he narrate a quick trip over london to neverland . it do not last long enough , but i love it ! with some other new feature , kid friendly dvd game , and video , this new set will make for a wonderful family night ! there be a reason why , when you go to the disney park , there be a hour plus wait for `` the peter pan flight '' . why not buy this movie , and see what the fuss be all about !
78	Movies_TV	POS	4	while i purchase this item for my son at christmas , i have watch the show and find it enjoyable . my son , who have see the tv episode , enjoy the dvd so much , that he wife be now a fan of the series . al
821	Movies_TV	POS	5	this movie be one of the best to drop in 99 and i think this be will 's most serious and best perfromance yet . he take it to another level by play the role of a lawyer who get catch up in a big cover up scam . he bag get switch with someone els that contain a disk with some serious information . i will not get into it too deep as to not give away the plot , but the storyline be tight . after watch this movie i wonder if the thing they show really can be do ... well not `` if they can ? '' . . but `` be they do '' . it start of kinda slow but once the action start thats it . gene also be good in this and give this movie the serious side to it , while will make the comedy . regina king play a small role as the wife . this movie show u how far technology have come and how easy it be to find out someone background . overall i would not sleep on this movie . i do not really buy movie but this and the matirx somehow get i to fall into it .  get it
236	Movies_TV	POS	4	because the cover style , i think it be go to be a modern animated movie , but it still use the old style with no `` great '' colorful quality image . but it be ok for child .
792	Movies_TV	POS	5	i buy this movie in 2007 and have since buy the bluray verion of the movie . downright murder through dirty politics precede the infidelity , illegal surveillance , crime , and payback that make up this thrill-packed action movie . this movie can so easily be overlook -lrb- at one 's loss and peril -rrb- but it pitch up there with some of will smith 's best movie . if you like tommy lee jones , robert downey jr. and wesley snipes 's us marshalls -lrb- 1998 -rrb- then you will love this movie . a great buy .
