index	Domain	Label	Rating	Review
681	Projector	POS	5	i like product that be as simple as possible and require very little set up time . i be able to get this up and run with my computer within 3 minute without even look at the user guide . when i start stream a movie from netflix , the picture be a crisp 70 '' movie-theater quality picture -lrb- really crisp when i turn off the light -rrb- . i be really glad i buy this instead of a lcd screen . the basics : - come with a vga connector for you computer - you do not need to buy it separately - it be incredibly light at 5 lb - very portable - the cord to connect it to the power supply be pretty short -lrb- estimate at 3-5 foot -rrb- , so you might need a extension cord depend on where you put it in you room - no speaker - you 'll need separate speaker . i just buy sony gaming speaker to connect via usb to my computer for a full home theater experience
308	Projector	POS	5	my previous experience with business projector be with heavy and clunky model that i haul from customer site to site , show presentation of one type or another . i be expect more of the same when i order this , although i hope it might be a little bit lighter . wow ! what a great surprise ! not only be this projector light -lrb- it weigh about 5 lb , about the same as some laptop -rrb- , the finish of it be wonderful - all of the corner be round off , mean a whole lot fewer snag nylons . it be a cinch to hook up to my macbook , just plug and play through the usb port , and off we go . the software cd that come with the projector install with no problem at all . i find the display to be adequately bright , and the whites look white , not yellow as with my older projector . it also handle animated presentation with no delay , which be a big deal to i . all in all , i be delighted by this little guy . it be easy to travel with , and do everything i need it to do . it have a remote control , so i can set up the projector and give the presentation from anywhere in the room . -lrb- yes , my previous projector be that old ! -rrb- a carry case be available , but i find that a old laptop case work very well for i , although i would get the `` right '' case if i be go to travel as much as i once do .
0	Projector	POS	4	good enough and cheap , great for use at home ! i completely quote the second review ! enjoy this nice projector ! ; -rrb-
517	Projector	POS	5	i receive this projector for christmas and i be utterly blow away . the disclaimer be that i have long be a fan of projector and we have the excellent panasonic pt-ae700u , a spectacular home projector which be incredibly well-received when it debut a few year back . that say , i do not expect anything too remarkable from something 1\/4 the price of my home projector and 1\/20th the size ... but , boy be i wrong ! a few thing about this unit : first , it be about the size of a iphone and that include the battery . this be absolutely incredible and show it to people , they say : `` where be the rest of it ?! '' second , unlike my home theater projector , this use laser technology so it be always in perfect focus . let i repeat that : it be always in perfect focus . this be mind-numbingly cool and be a game-changer in and of itself ! focus be one of those thing that you fiddle with almost every time you start the projector , but here it be always perfect . amazing ! next , because of the laser , there be no bulb to burn out -- a expensive and annoying feature of traditional projector . so , in theory , this be a astounding piece of technology , but what about the image quality ? well , i be delighted to report that it be superb ! crisp , clear , with eye-popping color and very good resolution . it also fortunately look great with video , with a rapid response that really look perfect . what be the negative ? well there be two : the first be that it be bright but could be brighter . in a dark room , it look amazing , even project to over 100 inch on the ceiling ! but if there be some ambient light , it get fade fast at larger size . that say , keep a small and concentrated image -- say 30 or 40 inch , it look pretty great and would be a much better way to show photo , video or slide than on you phone or even ipad . the second be that the resolution be really good , but not quite as sharp as a home projector . give the source material -lrb- phone and even ipad -rrb- , however , this work out well . i be think that this be the direction thing will go . with low price like these already , and with increase brightness each iteration , i be wonder when these will replace lcd and plasma tv -- i think it really be just a matter of time . for now , this be a incredible unit for anyone who need to present to small group on the go : sale folk , executive , and even teacher for smaller group . for just a few hundred dollar , you be a totally self-contained av service . this be go to make a very big splash , i think .
769	Projector	POS	5	finally , a projector that deliver on all front - i travel a lot in my role as a erp solution consultant and this projector be a must have . image quality be exceptional - that include the extra feature justify the higher price tag -lrb- have say that , i do not think this projector be overprice at all -rrb- . even in a room with standard office light the picture be very clear and text be also clear and sharp -lrb- this be often where cheaper model fall down -rrb- - brightness and contrast exceptional . i be not experience the noise issue that other reviewer be report - the fan be not obtrusive and be quieter than a lot of other projector that i have use . the light weight and size be perfect for true portability . the construction be by no means flimsy - very solid and robust . my aaa + + + purchase of the year .
219	Projector	POS	5	well first let i say that i be like most of you read this review try to see if i really want to get this projector . i be just a normal 24 year old guy look to get a good deal and i really base my purchase off most of the review and spec . so i 'll list a few of my personal con and pro . bad news first . con : - it be 3d capable but in order to get 3d work on it you have to buy a additional piece - a zoom feature would come in handy in a lot of situation . - sound on the projector be like either break on mine or really really bad . - lens cap do not fit -lrb- and i have a 1 year old who love touch it , this be easily fix by get a cloth to wipe it off -rrb- . pro : - the picture be simply awesome . - i manage to hook up my ps3 to it and it be great . - i have cable hook up to it -lrb- through s-video cable -rrb- . -lrb- side note : you need a cable box to hook cable up to the projector and you 'll need to buy either a s-video cable or the red\/white\/yellow cable to hook up to it , i be sure other would work but i \* know \* personally those do . -rrb- - the short throw feature i find nice as my projector be about 8-9 ft away from the wall and my picture be over 100 inch . - during the day time with the windows\/curtains open you can still see the picture well . i be really enjoy this projector . whether it be ps3 , cable , netflix , or the pc it surpass all my expectation . i would recommend this to anyone who be think about get one . i mean honestly if you spend 600 $ on a tv you would get 42-48in . where as this you get 100 plus hd -lrb- 3d if you want to shell out the extra 300 and then you be still get a cheaper deal than a 3d tv -rrb- . play blue ray flawlessly . i love this . if anyone have any question by all means ask . oh one quick stupid thing i do . i accidentally spray compress air -lrb- try to clear dust out of it -rrb- into the front vent while it be on . it cause a loud pop noise and a mini explosion -lrb- fire include -rrb- and it cut off . i think that be it for the little fellum but gladly it come back on when i let it sit off for a little while so 2 thumb up on that !
282	Projector	POS	5	this be the first projestor we have own but we be very impressed and can not imagine how the picture coutl get better .
197	Projector	POS	4	pro : they really pack a lot into a little package . come with a battery that really last , i have use it for over two hour and still have charge leave over . build in speaker be good enough if you be sit close to the projector . it have four different video input , headphone output , microsd slot , media player , it be quite a capable little toy . enough light to be fine in a dark room . emit no mechanical sound -lrb- unless you put you ear to it -rrb- . respectable contrast ratio -lrb- 1000:1 -rrb- accord to ti 's website . it be a marked improvement from the 350:1 projector i have be use for my home theater for year . con : at the farthest distance , the optics be not good enough to keep the whole picture in perfect focus , you can choose either the left side or right side to be in focus , although if you be sit far enough back you do not really notice , it be only when you walk up to the screen and see the individual pixel that you notice one side be blurry . wish there be color correction build into the software , mine emit too much red . that be not a problem if you video source have color correction , but if it do not -lrb- my apple tv -rrb- you be just gonna have to deal . convert media to play off the sd card be annoy before i get the setting right , there be nothing in the manual . it like mpeg-4 , with a mp4 file suffix -lrb- not m4v -rrb- a h264 video encoding , aac audio and a resolution 854 x 480 or lower . conclusion : if you want something to enjoy standard def movie or a presentation in a dark room this be for you . if you want something that can be see in daylight or hd , or bigger than 60 '' screen keep look .
535	Projector	POS	4	very good price image be perfect at size 100 '' but its need dark room for display and some time you need to adjust the focus ever now and then during one move time
655	Projector	POS	5	excellent , fantastic good product , very cheap price compare to other be the best very easy to change the bulb when the bulb problem with
