index	Domain	Label	Rating	Review
277	GPS	POS	4	for the money i do not think you can do better than the garmin c330 have to offer . i purchase a couple and return of other prior to come back to this unit and for ease of use and accuracy , nothing beat it . the only knock i have on it be it be size compare to some of the other with the same size screen . it would be much easier on air travel if you could pack it away in you laptop case like some of the other . i recently use it on a vacation which involve several move to different place on the west coast and this thing be a super time saver , not to mention the tension of plot out you trip and try to make head or tail out of those internet provide drive direction .
811	GPS	POS	5	i purchase this for my wife for christmas ' 06 . within 5 minute of get it out of the box , she have it up and run , just by use the quick reference guide . she be very pleased with how , `` intuitive '' it be . we take we first `` road trip '' the next day -lrb- she be the navigator , of course -rrb- and it work without a hitch . the one negative be when the battery go low , and the unit shut off . i have to `` reset '' the unit to get it to start charge . i be hopeful garmin will look into that . overall , she be very pleased with the nuvi 350 , and that be what be important . good product !!
887	GPS	POS	5	you have probably read how the guidance be not perfect and i be not go to tell you otherwise . but any time i have find myself get mislead i just use the map and regular map reading skill to start move in the right direction . the device will recalculate and you be on you way . with the clear , concise voice direction you can still concentrate on avoid other car . so what if i miss a junction\/turning - i just keep follow the purple line ! and yes - when you take it on the plane it can be a little slow to get it be bearing . but the 15 minute ride in the rental car shuttle be usually enough for it to figure out where it be . slap it on the windshield and you be ready to go when the barrier go up . finally , the interface be just how it should be - the button logic be clear and operation be exactly as you would expect . no complaint apart from the occasional minor route error . when i use map print out there be many more error and a lot more stress ...
983	GPS	POS	4	i buy this unit for hike and hunting in the rockies . like other reviewer have say there be alot to like about it . garmin do a great job of packing 10 lb of stuff in a very small package . but , there be some negative to point out . the button and user interface software be the weakest point . because the unit be small , the button be on the side except for the `` click stick '' . i have a hard time use the `` stick '' with glove on and invariably push down when i mean to push to a side as a example . i also have a hard time press the small side button with glove on . i find some of the screen and menu option counterintuitive but learn to navigate they after several mis-step . battery usage be high . screen size be small so this probably be not a unit you want to use in a vehicle .
405	GPS	POS	4	although a little bulky on the wrist , this device log you location accord to gps and heart rate from the chest transmitter , during you training and allow you to upload it to a pc for further analysis . this be probably the feature i find most useful as it allow you to monitor you improvement -lrb- or otherwise -rrb- over time by compare the result of you training session . i personally do not find the display too useful and tend not need to look at it during training as there be far too much information on it to take in , although i understand that it be possible to reduce\/customise this . if garmin could reduce the size of the device by take the display off altogether , it would be great ... the only other dislike be that the hear rate monitor transmitter be a little bulky and be not compatible with most standard gym equipment , which be annoying , however as the watch be log all the datum anyway , it be not too bad . the time take to lock onto the satelite from switch the device on be a bit variable , sometimes connect in seconds and other time upto 5 minute . i could understand this behavior if i be turn it on in a very different location to where i turn it off , but i always turn the device on and off outside my house ... all in all , a very useful gadget .
625	GPS	POS	5	to echo the comment of other satisfied customer , this be what runner have be wait for . a meaningful -lrb- and accurate ! -rrb- speedometer for runner !! i have use this product several time , in a variety of condition and have only receive the weak signal alarm once -lrb- and that be with tree cover and significant terrain -rrb- . while other reviewer have opt to wear the unit on they upper arm , i wear it like a watch and have not have problem . i like the fact that this unit be significantly smaller than the bodylink unit and be contain in a single unit .  the accuracy be amazing . over a 3.5 mile partially wood trail , the forerunner differ from a post mileage marker 0.04 mile . on a 25-mile open road bicycle ride , the forerunner differ from my cyclometer by 0.1 mile -lrb- i assume that the cyclometer need calibration -rrb- .  the ability to load new firmware be a powerful feature of the forerunner . i upgrade to the latest version upon receive the unit . the process take a few minute and add several new feature . one of the new feature , interval training , be well lay out and easy to customize .  one noticeable downside be no auto-shutoff . while the battery life be advertise at 14 hour , i accidentally leave it on in my briefcase and drain the battery . i hope they fix this in future firmware version .  if you be a casual runner who want to log a couple of hour a week or you be look for a unit to do navigation or geo-caching , look elsewhere . but if you want to keep meticulous track of you mileage and hold to a detailed training plan , the forerunner be invaluable .
355	GPS	POS	5	my husband have a garmin gps which he use for vacation travel and hiking , but i could never take the time to figure out how to use the thing , so i print out my step-by-step instruction from maps & streets or mapquest . and i have to admit that i put myself in danger more than once try to read the next turn while drive . my husband like he gadgit , so when he garmin go kaput , he go into hyper research mode . he buy the tomtom even though he mr. fixit buddy repair the garmin . he love the pre-loaded map and the long battery life . he download he own pous datum and when he be mess around with it , he contact user support and receive good technical support within a day . i be not happy he buy another gp when i be not thrill with the first one , but i let he have he toy ... i be convert when we have to go to a wedding of a distant relative in the nyc area . it route we the same as map and streets , but without any effort . we easily be route to restaurant and gas station along the way . we stay at a secluded state campground and it even have the campground 's `` road '' in its database ! when we come back home , several bridge be wash out from severe rain , and we easily re-route to avoid the closed road . just be careful not to use the `` shortest route '' feature in rural area , because you may need a 4x4 ! we also let we friend borrow it for a few day while they be visit from out of town . they be skeptic too , until they use it . they know what they get for christmas this year ! this thing be so easy to use right out of the box . i really like the feature of let you know what turn be come up and that it calibrate when to tell you and at what volume depend on you speed . i highly recommend this for the mr. gadgits and the people like i who just want it to be easy to use right out of the box . bj
130	GPS	POS	4	there be many thing i like about this unit -- it be very light and compact , and i find it easy to use . i find the base map surprisingly detailed -lrb- for my area -rrb- , and upload the detailed map from mapsend fill in all the tiny road . now the downer : - mapsend need some lovin ' . i can not just pick the ... baud rate i want ; it must `` discover '' it . interestingly , certain mismatch between what it be try and what the 330 be expect make mapsend crash . just let i pick a number , ... - mapsend do not try anything past 19,200 bp . the thing -lrb- supposedly -rrb- work at 115,200 . - still wait for street map of europe . - it will not plot a -lrb- street -rrb- course for you . not a big deal for i , but if you primary usage be in a car in place you do not know , you 'll probably want one that draw the `` right turn here '' arrow and talk to you , etc. . . since i use it on the water and for hike the 330 's behavior be just fine -lrb- it can draw a straight line from you present position to any desire locale -rrb- .
469	GPS	POS	4	this portable gp be very intuitive , quick and easy to use . after some experience with several pocket pc base gp program , a few portable unit , and oem install car navigation the garmin 680 be the easiest to use . the screen be bright enough to see in bright sunlight and change automatically to night mode -lrb- if option be select -rrb- but you will most likely have to manually darken the screen some more if travel in dark area without street light . the traffic delay information be hard to read and i do not think very useful . perhaps if you pull over , stop and study the map with the red slow down area you might be able to select a alternate route . it be not obvious at a glance if it even cover the road and direction you be travel . the shopping and restaurant guide work great if you be very close to the area you want to find they . look for a restaurant fifty mile ahead in a different city be not easy -lrb- unless there be some function on the unit that be bury in the option -rrb- . if you have more than two place to go this garmin can not create the most efficient route for you . the first two week i have the unit i use it in hawaii , the west coast , and maryland and never have to refer to a paper map . there be only one spot near the baltimore airport where i miss a turn because the instuction from the garmin be a little confusing . a word of caution , it be very easy to get so dependent on the garmin that you can not make it to you local grocery store without it .
241	GPS	POS	5	i absolutely love the c340 . i do not understand some of the critic of this because mine be exactly what i would hope for and expect . the detour function be awsome . no glare issue . we 'll see how it endure , but out of the box it work as advertise . a few month later , it have take trip from tn to mi to ca to vancouver and back . it help bypass problem area and find great place to eat\/stay as well as point of interest along the way . signal be always strong , as far as i could tell . there may be more highspeed feature other need out there ; but for the money and simplify ease , this be perfect .
189	GPS	POS	5	i be reluctant to buy a portable gp system but after much research include discussion with garmin sale reps. i decide to take a chance on the c330 . right out of the box , this device prove to live up to the manufacturer 's representation and after be road-test in omaha , nj , ny and florida , i be now convince this be , without a doubt , one of the best device -lrb- gp and otherwise -rrb- that i have ever own . thank you garmin for make my travels safer and my life less stressful when drive .
708	GPS	POS	4	i like the 76 that i buy several year ago so much that i want another in the same series when i upgrade . this be so much quicker , and it have so many new feature , especially greatly increase memory , and it cost considerably less than the 76s . the one thing i have find lack be that the tide feature the 76 have only come with another $ 120 + of marine software for the 76csx . we live near salt water and it add to the usefulness when we be camp if we know what the tide be do . be there anyway i can download this into my new gps ?
969	GPS	POS	5	i be impress with the customer service . i normally purchase extended warranty , but rarely have to use they . this service be for a garmin gps forerunner 305 . i be very impressed with this company associate with amazon .
203	GPS	POS	5	the tomtom gps work great . the only problem i have notice be that the map software be out of date . buy the map upgrade do not do any better in direction . i would still buy this item over other gp manufactor .
487	GPS	POS	4	excellent product for a amazing price . two year ago , i buy a refurb 2610 for over $ 200 and think it be a wonderful deal . this be a steal . the 2720 have the same housing as the 2610 but they be different in many way . read the manual because the menu be not as intuitive as you may think . i 'll reward you ,
370	GPS	POS	5	i have just acquire this to help i train . it work at treat be simple to use for what i use it for -lrb- exercise in certain heart rate zone -rrb- . there be much more you can do with it but i havent try yet . the ability to store you workout in the machine and upload they to a pc to reviw they be good and again simple to use . the only minor quibble be : - because of the slight variation in fix the pace reading tend to shoot up and down but this can be smooth and i havent try that yet - the bundle map in the training center software be not very detailed for the uk .
740	GPS	POS	5	we origionally purchase a garmin 205 on sale for $ 199 plus tax . then , my sister tell i she just buy a garmin 350 for $ 248 online . i go to google shopping and find it brand new for $ 199 . i return the one i buy , and order it with the free shipping . i get a way better product cheaper . the main reason i want this particular one be for the vocal street name feature . the 205 do not say street name out loud . we travel a lot , so hear the street name really help when the place be unfamiliar . we origionally buy it for travel , but one day i have a bunch of errand i have to do in a part of town i be not familiar with . if i have to use my own sense of direction , i would have waste a lot of time and gas !! but , i have the neat idea of plug all of my via point in the order i want to go to they , and it map out a simple route i would have never think of . thanks garmin ! -lrb- on a side note , it also help i see if i 'll be late for work with the estimate arrival time feature that be constantly update . -rrb-
942	GPS	POS	4	i love this thing . ok - my wife hate that i love it but she do not want to give i direction half the time anyway . so she argue with the way it route sometimes - which can be amusing . it be a excellent deal for the money at around $ 200 discount . the only feature it be lack be wifus which i buy a sdio card from e-bay for . of course browse on a pda be not as great a feature as it seem and when i be use the sdio card , i do not have my 2gb sd card - oh yeah , you need a larger card to load more than a few state at once . when travel , it would be nice to have a usb travel charger to connect it to my laptop for power as the include wall wart + cable be a bit annoying to carry around and run out to the car to charge be also a pain . not sure about the reviewer complain about the mount - it be actually a lot better than i would expect but some cleaning of the windshield help to make it stick better . i have not have problem with the map be outdate either although i believe they be -lrb- ... -rrb- . my wife do like to play game on it - mainly the puzzle type so sometimes we fight over it . support be a bit slow but in the end come through for i . a few time in the begin it would crash on long trip but it have not crash in a while - i tell it to backup every now and then just in case . i would not recommend this to a non-technical person look for a gp to stay in the car as there be larger , more expensive model for this but for someone look for a pda with gp capability , it be a win-win for less than a cost of either in most case .
265	GPS	POS	5	the garmin be a great product for document you training and more importantly it be easy to use .
822	GPS	POS	5	just put this review to clear my account , i use to have this and it be great , travel many road with it . -lrb- have a zumo 550 now -rrb-
