index	Domain	Label	Rating	Review
855	Headphone	POS	5	i have always be a bose fan ever since we purchase the original 3-2-1 -lrb- 2.1 -rrb- dvd system . i purchase this pair because i accidentally `` destroy '' a pair of considerably cheaper skullcandy earbud . pro : decently price when compare to they next closest competitor supurb sound quality seem like they be build to last the earbud tip fit my small ear perfectly and will not fall out no matter what i do the plug be angle to fit almost any device con : they be not free ! be it a con not to find any con ??? all in all , i be way beyond impressed with the sound that come from such a small package . they sound so great that i be actually rediscover my music collection ; hear the song in a way i have never contemplate i could hear they . i almoset feel like i be hear 3d sound or sound come from a 5.1 system . as someone who hate excessive bass or loud music , these handle the lower power better than any pair out in the price point . usually , headphone be calibrate to a specific styie of music , but i have yet to find a song\/style of music that these thing can not handle -lrb- classical , rock , pop , rap , r&b; , hip-hop , disco\/techno\/dance , it play they all well -rrb- anyone who need a new pair of earbud would be a fool not to get these . spend the extra buck now because you 'll end up spend the extra buck on a replacement for a cheaper pair that might not even last or sound as good . i recommend these to everyone , specifically audiophile or people who lust over the perfect audio to complement they obsession with hd video .
624	Headphone	POS	5	i be a 58 year old male who usually do not write review . however , i feel the desire to write one about the aforementioned can . simply put , they be outstand ! i have be involve with music as a guitar player & `` blues '' and `` non-commercial rock & roll '' lover since the age of 13 , and very much like `` metal '' . quality reproduction be a must for i . not just volume , but spatial headroom & tonal quality . these can do this very well ! i have use cheaper can just because i hate ear bud . while they work , they be not quality can . at christmas-time 2010 , my wife ask i what i want for a gift from she & i say a new set of good headphone . as she be not into electronics , she tell i to pick a pair . i go on-line & research they , as well as go to the store to listen to they . at the time , i be certain i want bose . of course ! they commercial say they be the best ... that must be what i need ! i go to best buy & listen to a higher end set & think `` something be miss ! while the price say they be the best , what i be hearing say otherwise . '' so i email they , ask for frequency response & be tell they do not publish they as they be not that important ! hmmm ... while i agree that what you hear be more important than number , i still want the number ! then i listen to a set of senheiser . night & day difference ! go on line to amazon.com -lrb- because i trust they -rrb- & order a set of hd 280 pro 's . what you hook they up to & the quality of the recording you be listen to does matter ! after all , they `` reproduce sound '' , they do not `` generate sound '' ! they will sound better wire to a quality home audio system play vinyl -lrb- or yes ... even a cd ! -rrb- than when connect to a ipod play a mp3 ! -lrb- for many reason , which be not the topic of this review ! -rrb- the headroom from this set of can be outstanding ! the low-end frequency be quality ... not muddy and not distort . mid for voice and most instrument be clean & clear and the high be very crisp and clean ... not painful as with some can . you can pick out vocal on pink floyd mix that you have neaver hear before ! and gilmore 's lead ... wow ! thd be , for all intent and purpose , non-existant ! seperation be as good as the recording will allow . noise be as quiet as be you system ... and if there be any on you system , you will hear it ! this set of can be not make for noise-reduction -lrb- noise-cancelling -rrb- , but as they be `` close can '' , they do a good job . i could only rate they as 3 star for longevity , simply because i have only have they a short time . however i will say , they seem `` quality '' in material . be they the best headphone for my use ? hell no , because i can not afford $ 1,000.00 to $ 1,500.00 for `` the best '' ! but if i could , they would be mark `` sennheiser '' , and i would buy they through amazon.com ! for what i can afford to pay , i love them !
803	Headphone	POS	5	these headphone work great for my four year old . he have ruin a pair of the cheap wal-mart headphone after a couple month , so want something better i find these on amazon . now he be have they for the same amount of time as the cheap one , and they be still like new . the sound be good from they too . they be too small for i to put on , but they fit my son perfect . for the price i can not imagine a better child size set .
755	Headphone	POS	5	let i just begin this review by say i do not comment on many product i buy from amazon although i order something at least once a week . i have have pretty bad luck with earbud . i have use sony until they begin to short out on i every six month -lrb- i guess i sweat too much during workout -rrb- . i move on to sennheiser and i be pleased but at $ 55 for a pair , they be okay . i be one of those `` weird '' one that like both treble and bass equally . i buy a pair of sennheiser here on amazon on sale . they be a dud to say the least and i find my old pair i have lose for awhile and continue to use they . i end up give the sale sennheiser to my sister . to make a long story short , i purchase the j3 -lrb- shortly after have purchase skull candy full metal jacket earbud -rrb- . i be satisfy with the skull candy fmj but still look forward to get my j3 . can i just say it be worth the wait ? they blow i away and all i can say be wow ! i do not know about the whole `` burn 'em out '' - or be it `` in '' ? - who care ? they be wonderful out of the package ! i only plan to use they at home as i have my trusty , efficient , german sennheiser for my workout -lrb- they still work after 3 year so i can not complain too much ; they be great , just not enough bass with the treble -rrb- . the j3 be perfect as the treble and the bass be equal and compliment one another . i listen to metal , hip-hop , industrial , rap , dance , pop , r&b; , electronic -lrb- so i can not comment on opera , classical , country , etc. -rrb- and i love they ! they make every genre sound wonderful . i plan to order another pair just in case - for travel if you will as i would hate for anything to happen when i go away on vacation . if you want to appreciate you mp3 device - whether it be apple or zune or anything in between - do not be without these earbud !
499	Headphone	POS	5	this be a excellent quality item . the sound be crisp and balanced as well as provide clearer bass response than any headset i have try . i listen to a vast selection of music type from baroque to hard rock . the only real let down be the ear hook . i find they to be useless but that could be just i . still , that be not a deal breaker . despite what they say , the cord will still tangle . however , they be a lot easier to untangle . i find that i need to use much smaller ear bud -lrb- the rubber bit -rrb- than i have with other headset . compare to other headset , the the ear piece be much longer . the ear piece tend to fall out unless i do that . not a problem , just a difference .
661	Headphone	POS	5	i have spend all day revisit my music collection . this be a excellent pair of headphone for the price . one note to potential buyer : sennheiser px 100 's be open headphone , which mean you will hear sound in you environment and , depend on the volume , other will hear what you be listen to .
807	Headphone	POS	4	... i agree with another commentator who question whether the product be sturdy enough to last . i guess i 'll see , as i do not intend to get on another airplane without it .
541	Headphone	POS	4	it really get hot under the earpad . after about 5 minute , you 'll have to lift the headphone off you head to allow for some air to circulate around you ear . to make sure it be not just a isolate issue , i have other use these headphone as well . they give the headphone back to i within a few minute with the same complaint ... uncomfortably hot around the ear . i have have these headphone for about a year . the audio fidelity be great . i use they to get a full appreciation of song i really want to listen to . unfortunately , these be too uncomfortable -lrb- heat-wise -rrb- to use for more than a song or two at a time . it be really a shame , consider the sound produce by this headphone be exceptional . the high be crisp , the mid be define and the low be accurate , yet powerful . for day-to-day headphone , i use the sony mdr-ex71 earbud . they sound ok , but you can really tell the difference go from earbud -lrb- with tiny 9mm driver -rrb- to the hd 497 . there be no substitute for size when it come to driver . also , unlike some higher-end headphone that require more power , these headphone do not require additional amplification for use with item , such as the ipod . as much as i like these headphone for they sound , i find it too uncomfortable to use regularly . this headphone be ideal for the follow combined condition : 1 -rrb- for use with personal audio player 2 -rrb- in cold environment , where the headphone can double as earmuff . also , the cord be extremely long and do not detach from the headset . the earpad do detach . it 'll be great if i can find replacement earpad that allow more air to circulate and heat to dissipate around the ear area .
290	Headphone	POS	5	buy these a few week ago , have be use they purely for studio work , which i be convinced they be design for without much thought to the home user . these have a very flat frequency response and a sharp and unforgiving dynamic response , along with very little of the harmonic excitement or sound colouration that make consumer headphone sound `` better '' . you can pick the part from the mix with ease and you can almost see the knob on the dynamics effect use in record whatever you be listen to . if you be look to make music and want to hear precisely what be come through the wire , these headphone can not be better under # 150 . if you have not the slightest clue what i have be talk about and just want to listen to you music , go buy something else , but beware ; audio equipment that color sound -lrb- ie the vast majority of suppose `` audiophile '' equipment -rrb- will sound great with one peice of music and will kill another stone dead .
531	Headphone	POS	4	i have be buy ear bud for my run for a few year now , and after a few year of have to shove the dang thing back in after every 20-30 step and have to buy new headphone every couple of month , i want to give regular headphone another try . what i like : - i love the volume adjuster on the cord . i listen to song on my ipod at different volume so i be constantly have to adjust the volume ... and hence drain the battery of my very old ipod . i should mention that the cord from the headphone plug in to the volume adjuster , so i be hope that be not one more thing that could break on these headphone . - these headphone seem really sturdy , have not take they on a run yet , but they look pretty well make . - sound quality be fantastic ! to be fair , since i replace headphone practically as often as i change my shirt , i have not be buy the best quality headphone so i might not be the best judge , but the music sound pretty crystal clear to i . what i dislike : - ear piece be pretty big and rigid so they kind of hurt in my ear . you do not have to smoosh they in as much as ear bud though , so i think they 'll be alright . i do not know whether they 'll stand up to the bouncing\/tugging\/sweat from run , but i be optimistic .
309	Headphone	POS	5	i have have these headphone for a few day now and have to say that i be really impress by they beautiful sound and superb comfort . the sound from these headphone really bring alive you jazz , rock and hip-hop favorite ... if you do not already have nice headphone you 'll be hear thing in you music you have never hear before . a great example for i be listen to ornette coleman 's `` the shape of jazz to come '' follow by the root `` do you want more ?!!!??! '' play through itunes at 128 kbp \/ 44.100 khz - not exactly a range advocate by audiophile , but the music sound full , rich , complex and beautiful ... very nice response from deep bass to high end . if you be go to be listen to cd 's or audio through a ipod or computer at home , these headphone be perfect . any better headphone be go to be a waste of money unless you be go to be listen to vinyl through a nice amp . note : the impedance of these headphone be 50 ohm , not 120 ohm as list on amazon . this make these headphone perfect for listen to portable electronics \/ computer , rather than more expensive headphone like the hd-595 's which will really require a separate headphone amp to bring out they best . a additional note for first-time headphone buyer - these be `` dynamic , open '' style headphone , which mean that these be best for home use . the open style mean that some audio be go to pass from the outside of the headphone -lrb- would drive officemate in a quiet office crazy -rrb- , and external sound be not go to be well attenuate - mean that they be perfect for a quiet home or office , but will be poor for subway \/ airplane \/ noisy street use . overall a great set of headphone for they purpose - home audio \/ portable electronics .
20	Headphone	POS	4	i just get these guy yesterday and they sound great . they do not sound as good as my  v-moda vibe duo earbuds\/headset -lrb- iphone compatible -rrb- - black  i actually get these because i be a little rough on my vibe duo 's and have to send they in -lrb- under warranty -rrb- for replacement . i know they be cheapo 's but if these last 6-10 month i 'll be happy , and happily order more . btw i send in my vibe duo 's -lrb- under warranty -rrb- and i have replacement in a week , no question . great company , great headphone , go get em .
92	Headphone	POS	5	i love these headpohne and i never stop get compliment on the noise cancel capability ! i would highly highly highly reccommend these headphone to any dedicated music listener out there !
527	Headphone	POS	4	these earbud be great . i have be use they for about 3 week now and they have be super . pro : stay in any ear -lrb- many earpiece available out of the box -rrb- comfortable long cord shirt clip attach to wire good high range sound great for mow , run etc. . very soundproof durable design come with carry case con : uncomfortable when try to lay down or fall asleep . low range sound be lackluster overall : come from someone who be just look for a pair of headphone that would stay in they head , these m6-bk perform well . there be a bunch of different earbud attachment that will fit any depth or size of ear . another thing of note be the wiring near the earbud itself ; it be encase in a heavier material that can be mold to fit the back of you ear , which be nice . the only thing hold these back from five star be the sound quality .
915	Headphone	POS	4	buy this to use with my 5 string bass guitar ... this be perfect for what i want , some static here and there when you move around but overall its good
377	Headphone	POS	4	i buy this in a combo with the razer orcas . i be plan to clip it onto the wire of my orcas but the clip be too big . wish you could change that . other than that , this mic pick up everything . good or bad ? depend . as i say earlier , great for what you pay for and i do not think you would use this for record music or anything . i use it for communicate over skype for gaming or just talk to friend .
162	Headphone	POS	5	i 'll get straight and to the point . sansa clip + 2gb with a 32gb minus sd pair with a sennheiser mx 581 and a fiio e6 and you get a match make in heaven . if you be a audiophile like i and care about the sound of the music you listen to then this be a must have addition to you ipod or sansa . i go for the e6 first as a experiment to see what i can expect from this brand of headphone amp and be impressed . next purchase will be a e11 for my ipod classic and a audio-technica ath-m50 . from what i experience from my e6 i know the e11 's with the ipod wont disappoint . again , if you get a sansa clip get the e6 if you get a ipod get the e11 .
91	Headphone	POS	5	i just get these on sale for $ 24 . i be a little discourage to hear people write that they hurt they ear because i always seem to have that problem with headphone . i be big -lrb- 6 ' 7 '' -rrb- and i do not have small ear , but for $ 24 i figure what the heck . i be glad i ignore those review because i do not have any problem . i have have mine on now for the last 3 hour with no problem . the sound be quality be great and so be the bass response . there be a few hip hop song i have listen to and be completely suprise by they ability to hit some of the low frequency . best pair of headphone i have ever own in the -lrb- $ 60 range .
599	Headphone	POS	5	i enjoy listen to hi-fi audio through headphone . my setup be laptop use jetaudio -- -rrb- predator dac\/amp -- -rrb- d5000 . the can be great ! superb detail and honest to music reproduction w that wow factor . bass seem heavy but i like it . i be burn they in now . i own d2000 and audio-technica 990-ti 's and each have they home but i listen mostly to the d5000 's now .
