index	Domain	Label	Rating	Review
262	Dumbbell	POS	5	i be unsure about purchase this product because of review and other comment . i go ahead and take a leap of faith . glad i do , this really work if you use it correctly . there be a lot of confusion out there that this item run on battery power ... this be not true !! you have to use you energy and muscle to make this work . it take awhile to work up to the full 6 minute , dont give up . i start out in 30 second interval until i could work myself up to minute . i could tell a difference in my arm within a couple week ... still have a while to go but between this item and the resistance band i feel like i be get a really nice workout on my arm .
446	Dumbbell	POS	4	first , to be clear , this be not a replacement for a normal total body workout . this will not replace weight or body weight exercise . it be , however , a essential piece of equipment for anyone who be serious about fitness . i be not kid , read on . first , let i qualify myself . i be 23 , 6 ' 2 '' , 190lb , ~ 10 % body fat . i work out a fair amount because i enjoy it . i have be a body weight guy my whole life : pullup , pushup , situp , and run . in the last two year i have incorporate a olympic routine once a week for my lower body and a basic upper body weight routine once a week . normally , at the end of either a pushup\/pullup routine or a upper body weight routine i do what be call `` flutter '' -lrb- google it -rrb- to really make sure that my muscle be throughly fry . normally , this would consist of do a lot of minus pushup or pullup -lrb- ~ 1 '' range of motion -rrb- , maybe 100 reps. here be where the shake weight come in . i still do my flutter but now i add a four minute session with the shake weight . i do one minute on each arm , one minute in front of my chest , and one minute above my head -lrb- watch the video on youtube to see what i be talk about -rrb- . by the end i be totally fry . i have be use it for about a week now so i can not say anything definitive about result but i be sure it will help i progress . in summary , the shake weight be a excellent supplemental tool for anyone who be serious about fitness .
547	Dumbbell	POS	5	i absolutely love these dumbbell . the ease of use be incredible and the ability to change small increment in weight and not have weight all over the place be great . right now i be do some circuit type training that require you to move from one exercise to another with a very short break , these make it easy . i can finish a exercise , change both these from one weight to another and get they in position for the next exercise in under a minute , easily . i have have no problem at all with the quality and use . you do need to make sure the pin be fully seat and both side be under the same weight as many have state but it be no extra effort , just pay attention and make sure the pin come all the way through when you push it in . they be easier to change on a hard surface , if you use a carpeted floor it help to lift one side to change the pin . only negative i can come up with , these do not expand into a heavier set so you may grow out of this set . so think that through carefully as you may save $ $ in the long run by buy the next set up to begin with .
954	Dumbbell	POS	5	i receive this stand free with my dumbell . the stand be well build and be a usefull addition to my work out room . the stand be easy to assemble . so easy that my 14 year old child assemble it with out my help in less time than it take for i to take a shower . the only thing i would like to see different on this stand be i would like it to be about 10 inch taller . i be over 6 foot and the stand while still very usable be a bit on the short side . it should be the perfect size if you be in the 5 foot range . still be a bit shour it be much better than store the weight on the floor . the wheel make it nice to move it around when i want to vacuum or just have it out of the way .
71	Dumbbell	POS	4	pro : very compact design work well , and seem to be high quality change weight be easier than you might think con : plate sometimes get stick together if you select they improperly once
6	Dumbbell	POS	5	i recive the item on time and in exelent condition -lrb- brand new -rrb- . i recoment highly .
967	Dumbbell	POS	5	i do quite a bit of product research and decide to order the rack . read several good review . i be very pleased when the rack arrive . assembly be straight forward and take about 30 minute . appear to be well build , good metal , and good weld . very stable and handle the weight . excellent buy consider the price and size .
855	Dumbbell	POS	4	in general , i think these dumbbell be great . however , they can be a bit dangerous if you do not do a safety check . for example , if you be not pay attention you can insert the pin at a angle . this create a possiblity that a plate can come loose and hit you . also , you can accidentally put the pin mechanism upside down , this create the possiblity of a accident too . i like that there be a back up system of a elastic cord and magnet hold the pin mechanism in place . i have find there be only a real danger on certain exercise and only if you do not follow the instruction . even then the odds be small anything will happen , but it be something i want to warn people about because i have have some near miss . i find the smaller version of these be better than the larger version . the large version can be cumbersome and a bit long for some exercise . however , i agree with the other review you can comfortably do a variety of exercise and the trade-off in term of a slightly smaller range of motion on some particular exercise be not a big deal . for example , for upright row i tend to prefer a short curling bar ... ditto for overhead triceps extention . however , use one dumbbell with two hand be possible and quite comfortable . this be a solid well make product . i have own mine for about a year and i think they be great . over time , there can be a issue with friction between the plate , but i very thin layer of lubricant can help . for most people , this will only have to be do infrequently .
852	Dumbbell	POS	5	i do not think this can replace work out but i do believe it compliment a workout very well . that be say i goof around with the female version of it for a few minute when i buy it for my wife and my arm be sore the next day , you can definitely feel the pump if you use it the right way . i be definitely go to order the male version of this . again it will not replace work out but it be a definite plus to add to a exist routine ... bring out that much more muscle definition that you just can not get on you own !!!  shake weight dumbbell
301	Dumbbell	POS	5	i have get the shake weight for man and i absolutely love it . i use it every day and i actually feel sore after use if for about 10 minute . i can see some definition start to come in my arm that i have never see before . obviously it look a little strange but if you have not try it already then i recommend you do !
