index	Domain	Label	Rating	Review
905	Headphone	POS	5	i just get these and have test they out enough to say that you be get good value for you money with these headphone . one of the first product that i be quite content with enough to post a review . they be not the best headphone ever , but at $ 20ish , you can not go wrong .
448	Headphone	POS	4	the noise cancellation be not as good as bose . but it cost so much less and get you most of the way there . the audio quality be passable , as people have note it be much quieter with nc turn off but nothing that the volume control on you media device will not solve . i also do not have problem with noise leakage , in a office setting with workstation whir on desk , you can not make out sound at 1 foot from the headphone . you mileage may vary with ambient sound and volume of music .
568	Headphone	POS	4	this be a very good headset , small , good sound & very good price , i can not believe who pay hundred of $ $ $ for headset , because all speaker lose sound quality overtime .
458	Headphone	POS	5	this be my second set of headphones\/charger . this one be superior to my sony . range be better . sound quality be better . headphone set on charger more conveniently .
722	Headphone	POS	5	i be look for headphone that would stay put while i be run and after a lot of research i find these . i love they as soon as i put they in -- i have smaller ear so the various size be ideal . they absolutely stay put when i go run , no matter how much i sweat . i put they in and do not have to think about my headphone again until i take they out .
688	Headphone	POS	5	i already own a pair of wire sennheiser and decide the only brand that could possibly do wireless justice be this one . i can happily say that i be not disappointed , and these have go beyond my expectation . i have be talk about buy a set of wireless headphone for year . when we routine at night solidify into i watch x-file on dvd and my partner want to settle down with a book , it become essential . the quality of the sound be outstanding and i really can not tell much difference between a wireless set . one note though : i initially have the base set atop my tv get a lot of interference . i mount it on the wall a couple foot up and now they be crystal clear . i be also amaze at how long the battery charge last . i consistently watch about a hour of tv each night , and i probably have to charge they only once every 2 week . they fit very comfortably also . one thing i be concern about since they be not close be sound escape . this be not a problem . my partner can sleep beside i and not hear a thing . if you be look for a staple pair of wireless headphone , for the quality and price , these be what you be look for .
472	Headphone	POS	4	we get these for several multi-user workstation . they be adequate for the price . we want something with plastic\/leather ear pad that can be wipe down between user , and these provide that for we . these be best for industrial , public , multi-user situation where the listener will not be need they for very long . as other have mention , they be not very comfortable , so you do not want to wear they for more than 30 minute at time -lrb- or less , for those who have large head -rrb- . the sound be also adequate for the above state purpose . these be by no means mean to be use to pick out the 3rd chair violin during a very quiet movement of bach .
928	Headphone	POS	5	bought for myself ... i love them . . they muffle all outer sound give you that one on one feel ...
417	Headphone	POS	5	i have several brand of headphone include the excellent denon ah-1001 , $ 130 . but for every day use on all you radio , computer and other device for about $ 5.00 . the panasonic rp-ht21 headphone be a excellent choice with excellent sound . you cant go wrong when order these from amizon , i have several of these and will probably order more in the future .
955	Headphone	POS	4	sound : great range and pretty flat signature , but not the most precision nor the biggest soundstage . look : lay non you desk or hang around you neck , these look phenomenally retro . on you head , they can be pretty bulbous -lrb- i would have prefer the flatter design of the old sr-60 -rrb- . comfort : not as comfortable as around-ear phone nor smaller on-ears , and the hard vinyl band will irritate a thinly-haired head , but nothing major to complain about . they be somewhat adjustable by bend the headband . durability : i cant imagine these will ever break or wear out . grado be also well-known for they repair service , so you be cover not exactly design to be portable , it have a huge cable -lrb- in all dimension -rrb- and similarly large jack that do not want to work with ipod case -lrb- it can be drive by portable player , though -rrb- . it work great for sedentary use , though , and be comfortable enough to be worn for hour on end .
565	Headphone	POS	5	no question this product be full on , 5 star material . i receive a pair of these phone in 1991 -lrb- maybe 1990 , not sure -rrb- , as a birthday present from my aunt and uncle . since receive they , i have take they with i all over the world . i have sleep with they on my head on 15 hour flight , i have sleep with they in my bed , they have be abused and trounce in all kind of luggage . not only do these thing sound incredible , they obviously hold up very well consider the abuse i have heap upon mine and they be still work and sound perfectly after these eighteen -lrb- 18 -rrb- year . i be in awe of they ... awesomeness . i have replace the ear pad once , with these beyer dynamic velour pad -lrb- highly recommend btw -rrb- : -lrb- ... -rrb- i be 36 year old , and wonder if i will be willing these thing to one of my child ?! : -rrb-
149	Headphone	POS	5	i do not care for the sound quality of compress mp3 or aac music file , so i want a pair of headphone that would allow i to hear all the nuance of my apple lossless rip music collection on my ipod classic . so after read the headphone review on the goodcans and amazon web site , i decide to buy both the grado sr80i 's and the koss portapros . my thinking be this , i would listen to both headphone , choose the best sound pair and return the other . both headphone be highly rate and both be fairly inexpensive , but since i would be use the headphone at work , i want to make sure the sound leakage from the very open style of the grados would not be a problem . after test both headphone , i determine the sound leakage of the grados be a problem , but the sound quality be so good , i decide to keep the grado sr80i 's for home use and use the koss portapros at work . since this review be suppose to be about the grado sr80i 's , let i just add these final comment . the grado sr80i 's be the first pair of open style headphone i have never own , and i can say without any doubt they be the best sound headphone i have ever listen to . i be hear detail in my music that i never new be there , which be simply amazing for a pair of headphone that sell for under $ 100 . you will not be disappoint in this purchase .
648	Headphone	POS	5	have have this product about a month . have work flawlessly . self-adjusting headband have work fine . you have option of use rechargeable battery that come with unit , or if it run down -lrb- which have not be a issue yet -rrb- , use alkaline aa . sound have be excellent with tv , though if the tv signal be very marginal , there can be noise . have not try with music . appreciate the power switch on the phone , so i do not have to put it back in charge unit every night . also have volume control on phone , though you 'll get cleaner sound use volume control on tv . ear pad comfortable and i appreciate they not be type that wrap around ear , so i can here my cat get into trouble , etc. . good product , especially for price .
608	Headphone	POS	4	i want something to control my iphone in the car without have to continuously unlock the screen and press on-screen button while drive . this thing do exactly that for i . i can skip song and pause the music whenever i want without have to take my eye off the road . i agree with other reviewer that it would be nice to have the headphone plug directly into the remote , but it be a very minor complaint . this be a purchase i would gladly recommend to a friend .
513	Headphone	POS	5	buy this headphone for my 14 yr old son . and for those of we with teenager , well you no how picky they can be . but low and behold , he love they ! he attach the headphone to he cell phone -lrb- droid -rrb- and it really sound great . i have no complaint .
152	Headphone	POS	5	i wash they twice by accident they still work . you wont be disappoint . love they so much the only downfall to they be that they sound just too loud sometimes but they be the best headphone i ever own
295	Headphone	POS	5	theese headphone be so sick !! they have great sound , look amazing , and be well worth the money ... the sound leakage be not as bad as people say unless you have it on full volume . the battery last a really really long time ! the only thing i would like improve be the noise cancellation ... i own a pair of solo hd 's too and they block out almost as much as the studio even though they do not have noise cancellation . i would defiantly recommend this to someone who like quality sound !!!
890	Headphone	POS	5	i love music and have buy really expensive head phone that be not as good as the px 100 . they be the best head phone for the price . so much so i buy a second pair to work out in . yes i be a audiophile geek and i be very critical about my sound . no 128 bit rate for i i need 320. : - -rrb-
