index	Domain	Label	Rating	Review
465	CableModem	POS	5	i be use this modem with comcast service . the setup be very easy , although in typical isp fashion the guy on the phone have no idea be be go on . i be able to set up the router with just a phone call , although they make i purchase they ` self-installation kit ' for $ 10 -lrb- i never recieve the kit in the mail -rrb- . but enough rant about comcast , the modem itself seem to be work very well . i have not experience any drop in service and my speed appear very consistent . i have not do any investigation into my actual speed yet , but everything feel as quick as i would expect from a docsis 3.0 modem . all in all , i be very satisfied with my purchase , provide it last a few year .
247	CableModem	POS	5	i have broadband from comcast and i have zero issue set the modem up with they . it connect right away and the comcast technician over the phone be able to activate my internet almost instantly . i live in san francisco and with this modem and comcast i be basically get the full 20mb connection , streaming be almost always perfectly smooth from netflix . do not have any issue set this up with my apple time capsule either . 5 star !
245	CableModem	POS	4	this product be easy to install and i be able to use it straight away . small and compact . 6mon now and it be still do a great job . it be compatible w \/ the netgear wi-fi router .
523	CableModem	POS	5	be run the sb6121 for a few week with a old e1000 router . i feel a little warm spot on top of the case , the rest of the box be cool , a little chunkier than the sb5100 , and full of perforation . have to call comcast before the new modem start work : -lrb- occupy comcast after repower the sb6121 , it take longer to reconnect than the 5100 , then it work fine . the modem 's web-interface show that instead of one download frequency , now i have four , thanks to the docsis 3 , although my download speed have not increase . url for the web interface be slightly different than the sb5100 , but if you start at the traditional 192.168.100.1 , you 'll get in . the web-interface webpage be very similar to the 5100 . slightly different light on the front panel . one day , i 'll look they up and see what they mean . -lrb- update -- on my modem , the downstream light be blue , which mean the connection be use multiple downstream channel bond together , else the light would be green to indicate use a single downstream channel . the upstream light be green since my connection use only one upstream channel , but it would turn blue if the upstream bond multiple channel . whether you connection use single channel or multiple channel be determine automatically when the modem connect to the cable system . -rrb- i replace my 5100 because it be start to have trouble communicate ; long wait to connect , have to use process of elimination to determine the problem be the 5100 . my connection be stable again , but it be the same speed as before . take the router out of the system -- go straight from the sb6121 to a computer , i see a powerboost of 30 mbits\/sec for the first 15 seconds of download , and then 13 mbits\/sec for the duration . i think that be about what i get on the old modem , too . -lrb- with the e1000 router in line , the download speed be only 12 mbits\/sec and there be not any boost -- bottleneck be the router . -rrb-
357	CableModem	POS	5	this unit take care of a lot of my comcast issue . i have six television in the house along with the xfinity internet . when comcast decide to `` improve my service '' by go all digital , half of the television in the house pick up very little along with the improvement by comcast , they infome i i need a newer modem to take advantage of the higher speed . purchase this modem and find out i do not have enough signal to provision it . purchase and install this signal booster on half of the service in my home that include the new modem and all my issue go away . if you be experience these same issue i highly recommend this booster as a crutch to improve you cable experience . very easy to install . the best price i could find be right here on amazon .
174	CableModem	POS	5	the seller package this item very carefully and ship it post haste . the product be excellent and do what it be advertise to do . the price be excellent and i recommend they highly . i have a long run of coax from the cable provider to the last tv set on the line and this device fix the problem of all tv in the house not receive the identical channel . it be easy to overlook the lose of signal in the wire . this device compensate very well . i highly recommend it .
692	CableModem	POS	5	i be expect to be able to enter my comcast account number and phone number to activate this new modem on line . sadly , in my area , -lrb- ma -rrb- , this do not work . i end up call comcast and they want they old lease modem return before they would activate the new one . after return the old modem to the comcast service center , they enter the new mac address into they system and tell i the new modem be activate . when i return home and start my pc , my home page be the comcast activation page where i then need to enter my account number and phone number to complete the activation process . as i enter this datum and hit the `` next '' screen button , the process freeze and i end up on a comcast chat line . the on line tech be able to finish up the activation and i be now back on line . the new motorola appear to work fine and i will save the leasing fee of $ 7 each month . just be ready to return the old lease unit first and spend some more phone and on-line chat time with the friendly comcast tech before this unit be up & run .
41	CableModem	POS	5	i recently move into a new home and sign up for comcast but really do not want to lease a modem so i decide to buy my own . i check ebay but it end up be cheaper she on amazon . gotta love prime . comcast come and set everything up and it have not skip a beat since i plug it in . i would definitely recommend this modem ...
908	CableModem	POS	5	i have a cable come in to a internet router , and i want to split it to a television . this be easy to set up and work great ! it be a little freaky hook up the power cable -lrb- use coax cable -rrb- -lrb- not supply -rrb- , but the signal strength to the hd tv be strong , and i have not notice any adverse issue with the internet .
138	CableModem	POS	5	plug it in to the local cable company line - suprise - it be still connect from the previouse home owner after sign up with the cable co they come out - even tho i say i didnt need they - and say test they run show it be do a good job ... too bad i sign up so soon hahaha have basic cable tv for a while - this check out cancel it - wouldnt sign up with they anyway - basic level have nothing leave in it these day worth watch cept the news .
