index	Domain	Label	Rating	Review
864	CableModem	POS	5	works perfectly well with my modem -lrb- the cable to which my cat have successfully chew ! -rrb- and get to i with no prob ! price be the best !
624	CableModem	POS	4	i buy a refurbish linksys cm100 because my isp decide to go up on the rental even for modem already install , which make no sense whatsoever as they have already purchase the modem and there be no associated monthly expense other than a occasional replacement , just pure profit for they . for six month ' rental i could buy this refurb , so i do . i hope everyone do the same thing and `` stick it to the man '' as young people say these day . my only real complaint about the modem be the same as with other similar modem : no power switch so you have to unplug it to turn it off and the led be very bright at night and i find that annoy . as far as minor issue , the enclosed disc be not for osx , only windows -lrb- not that it be need -rrb- and the mac address be print so small that i have to use a magnifying glass and a bright light to read it . if you do not get the mac address right when you call you isp , it will not work at all . as a tip , the letter be slightly taller than the number so it be easy to tell a 0 from a o -- with the magnifying glass . the packing be secure with the component in a pulpboard tray inside two cardboard box . it actually look new and if it have not say on the package it be a refurb , i would not have know . the cable provide be new , not sure about the power supply , look new but who know . aesthetically , it have a small footprint and no extraneous design feature , which i appreciate . my isp 's tech support have some difficulty get i online with the new modem but it be all they fault and have nothing to do with the modem itself . at first he say the problem must be with the modem but i insist that he double check and he `` run diagnostic '' and keep i on hold for fifteen minute and then all be well after a restart of the modem and the computer . i do not make he explain what the problem be since i be just glad the problem be resolve and i have waste enough time . the entire call last exactly sixty minute ! a speed test show i be get the full speed subscribe to so no complaint on that -- it work just fine . before purchase this modem i do talk with my isp tech support to confirm it be compatible . they be switch over to docsis 3.0 for higher speed but he say for anything under 10 mbp , docsis 2.0 would continue to work fine indefinitely . still , check with you isp to be sure . my provider be rcn and they do not list this modem but he say any docsis 2.0 modem would be fine . i be careful to purchase from a dealer who offer a seven day return as many seller force you to deal with linksys for warranty issue even if it be doa . i do suspect that many people who complain on the internet that these refurb do not work just have a problem on the isp end like what i go through . in the end , though , for the price of a new one you could easily buy two refurb so what do you have to lose ?
950	CableModem	POS	5	fantastic product . everything as advertised and then some . very happy with purchase . easy installation - no problem at all . careful - you will need to call comcast to register the modem . bandwidth more than enough for all my video application and many device use the wireless router simultaneously . do not need reboot occasionally as some other router require under heavy loading .
478	CableModem	POS	5	my previous linksys cable modem start have issue -lrb- so i think -rrb- and i need a replacement . after read all the review i decide on the cm100 and i be very happy with it so far . it turn out what need to be replace be the cable company 's cable modem which they do just before the new one arrive . it would ahve be nice if they have own up to it before i buy a new modem , but there be a huge benefit to ditch my old one . once the new one arrive , i decide to use it anyway and be reward with a increase in speed . i be get about 2.5 mb\/384mb down\/up and with the new one i be now get 6.5 mb\/1 .0 mb down\/up . its well worth the investment . also the status page at -lrb- ... -rrb- have more detail than the older model i be use and include the log .
91	CableModem	POS	5	i recommend replace you comcast or other provider supply cable modem , with this linkys cm100 . works perfect !! very happy and worth the money .
955	CableModem	POS	5	this router be one of the two recommend by my cable provider . after my initial review , it be the best of the two . ship be fast and it correct the problem i have with my previous router . very happy with this router so far .
823	CableModem	POS	5	plug it in , look at the instruction disk on how to get in to setup . set up 2 wireless network , log on to the network and check my speed . i be hit 30mbp on a 31mbps network . no problem . i would like the ability to set a bandwidth limit on the second network , i do not see that i can do that on this product , but it be a good deal .
94	CableModem	POS	5	like the tittle say ; i think this modem be great ! its a great deal since i have see older model sell at walmart for about the same price . i do not want to rent a modem from comcast and i be a bit worried at first that the tech be go to tell i he could not use this one , but it all work perfectly ! i have the modem connect directly to my router for wifus and i have fast internet on all my device at home -lrb- a blue-ray player w \/ wifus , two smartphone and two laptop -rrb- . it be super fast and have not give i any issue since i buy it back in novermber 2011 .
871	CableModem	POS	5	the product itself be very reliable . unless this have change recently , you need a windows pc to setup the modem with comcast , which take no more than 10 minute to setup . i be able to return the lease modem and save money !!!
511	CableModem	POS	4	i purchase the motorola sb6121 surfboard docsis 30 cable modem in december 2011 . it be deliver promptly and be reasonably package . it appear that all of the equipment be present . the installation be reasonably easy and connected to all of my device without problem . seem to be a speedy little unit to surf the web and have not have any problem to speak of yet .
159	CableModem	POS	5	easy to set it up , and work well right out of the box . previously , with a different cable company at a former address , we use the cable company 's equipment . this time we buy we own with a switch to comcast , and this be one of the cable modem comcast recommend as compatible ... which it definitely be .
121	CableModem	POS	5	install be simple . hook up cable and power . charter instantly recognize i be use a different modem . type in my charter account number and the mac number off my old modem , in the provide space . do . be use it for two week now with no problem .
949	CableModem	POS	5	this product provide a strong signal throughout the whole house . easy setup with comcast internet . i have two computer , one printer , and several mobile device that feed off the modem\/router . i would say that my router be subpar , so the modem must be do a good job .
701	CableModem	POS	5	i order 2 on thursday 4\/22\/2010 , receive today -lrb- 4\/27\/2010 -rrb- . hook the first one up at 3pm , but could not get online so i call charter cable at about 5:30 . do not waste you time with the automated service , just ask for a agent . i waste 10-15 minute with the auto service . you 'll need to give the mac address to the agent -lrb- this be the second line on the bottom of the unit -rrb- . the first modem , that have be hook up since 3pm , work right away , but the second one do not . the reason be , i give the agent the mac address without have the unit hook up to the system first . i tell he this might be the problem , so i hook it up and sure enough , he re-enter the mac number and it appear on he screen . now i have 2 modem for less than the price of one at best buy . also , they have a 90 day warranty from cisco-linksys -lrb- almost all refurb i have ever see do -rrb- . the bottom of my invoice state `` linksys offer a 90 day warranty on all they refurbish product . you may contact linksy with any warranty issue . in the event that linksys can not help you , we will honor the term of the warrranty ! '' . linksys sell this same item on they website -lrb- find it through bizrate -rrb- . i have already buy it here for around the same price . if it die before 90 day be out , i 'll repost it .
80	CableModem	POS	4	this device work right out of the box . . grant i have to work with the cable service provider ; have to provide mac address . have be work w \/ out failure since put on-line over a month ago . i would highly recommend this product for any cable internet customer . i have it in a open-air arrangement and have no trouble with overheating .
