index	Domain	Label	Rating	Review
657	HomeTheaterSystem	POS	5	this unit be not only well design for stylish -lrb- i like the blue light in the night -rrb- but also deliver very solid sound , especially when you play dvd-audio . the name `` compo '' mean it can do virtually all the current format on the planet , and yes it do -lrb- except the minidisc -rrb- . and unlike the other lesser model , the 3-way speak be magnetically-shielded , which mean put along the tv set be not a issue at all . the lesser model -lrb- pm19 -rrb- have a 5-line big screen to show you track\/disc information . this one not . but when i connect it to the tv , it have more power to show all relavant information . unbelievable . the japanese model -lrb- sc-pm900dvd -rrb- have a extra which i would like to have , md , and it be world-fastest 6x speed cd to md recording system . it just locate below the mirror screen . however , the price tag in japan be somewhere between 45000 to 50000 yen -lrb- about $ 450 to 500 -rrb- . consider that , $ 250 msrp in us be a steal ! . the only thing i do not like be the remote control : just way to complicate . i do not know how to operate the 90 % of the command without consult the manual . maybe this be also a good indication that this baby can do a lot , i just do not know how to tell it to do .
984	HomeTheaterSystem	POS	5	when i first hook it up and test it , it sound a little weak , but i go through the menu and everything be turn down , like the volume for the speaker and subwoofer , once i put it up the sound be amazing , the bass come from the woofer seem like a 100 watt system rather than a 70 . i reccommend this for any room small or large , you will not be dissapointed especially at this price .
200	HomeTheaterSystem	POS	4	the unit have good base sound and be convenient because the subwoofer be located in the unit itself . this make for a compact sound system with good sound . however , while the sound be good , the simulated surround sound be not a plus for i . i also be disapoint that there be no input for my ipod and no connection to the internet in order to play xm radio or pandora . i do get the unit for a great price .
81	HomeTheaterSystem	POS	5	for a not very techie family we like the sound that come out of this system . much easier to hook up than other brand we buy and then return because it would not sync with we tv . we do not watch a lot of dvd , but like the sound that come out when watch tv , sport , movie and news .
109	HomeTheaterSystem	POS	5	i get so tired of the ever-spiralling theater ticket ! for the price of a couple ticket , couple pepsis and a tub of buttered popcorn , you can buy two or three dvd !  no more someone talk over the movie plot ; no someone kick the back of you seat the whole time no matter how many time you ask they to stop ; no stick floor from drop drink ; no eegit scream `` do not go in there , man ! '' or `` what till you see where he kill here '' thus reveal the whole plot because that be the 12th time the saw the movie today !!! no traffic jam or parking on the far 40 !  now you can sit in the comfort of you own home and watch what you want , and if someone talk over a crucial point in the plot ... hey , rewind !! the power of the speaker be amazing , once you experience the range of sound rock you house with dobey sensurround you will wonder how you ever do without this system before . be easy to install , love the multiple dvd changer ... you will be able to put all three ring movie in at once and sit back and satisfy you addiction !  couple this set up with a big screen hdtv ... and you will be in movie heaven . frodo and aragon will never be the same !!
125	HomeTheaterSystem	POS	5	... cause i do not believe it either . quincy jones + studio level speaker mfgr = quality i do not expect at a value i could never get through normal channel . i be not a audiophile , but these create a better sound space than my local movie theater . i do not plan to add surround sound to my flat-screen till i find these , but now i actually look forward to sit down to the sound as much as the picture with my new flat screen . for the first few week , we turn around on several occassion think someone might be in the house , when we hear a particularly clear back noise . it be eerie . on the older silver line set that i own , lab analysis show a nice , even sound across all bandwidth except for a narrow drop off just below the voice range . when i first buy these i think i could hear that difference play the same song back and forth with my home audio system . now i do not hear it , but i think i have just get use to it . of course my home audio system can not touch the clean simplicity of the high on ribbon technology speaker . as a point of comparison , when i sit in the comfy leather chair at best-buy to watch they top of the line set up , the sound be a little bit richer and beefier than this set up will deliver . still , these be not toy themselves . at 110 pound there be a lot of mass in speaker magnet . when i come home to this i be very satisfied with this sound . it be way beyond the cheese-factor of a typical home theater in a box , convey movie sound track and football game well enough to entrance -lrb- too well - i have gain 20 pound -rrb- and the sense of thing move in space be believable and real . for i it be clear enough that i have save hundred on movie i now watch at home instead of in the theater . i think the way they can do this so cheaply be by not chase the most recent audio format\/standard on the receiver . you 'll notice dolby do not say `` dolby-hd . '' note too that there be no build disc player , etc. . just sound stuff : a tuner and a amplifier . to my ear the quality of these speaker contribute a lot more than anything in the latest dt or dolby standard and , with good speaker , i can not tell the difference . if you ear can tell the difference deliver by the most recent standard you may want to upgrade the receiver at some point and keep the speaker , or you may be able to hear thing i can not and need to be shop in the 3-5k range . i love mine just as it be . they clearly have find a affordable way to harness ribbon technology too . i remember in the 80 's giant ribbon tech speaker be ultra high-end . note too that there be no hdmus pass-through connection on the back . that may be a deal breaker for some , it work fine for i . i just connect the optical port out of my tv to the optical in on this receiver . so , for blu-ray disc my bd player connect directly to the tv with hdmus and the tv connect to this receiver via optical . works for i . the lack of hdmus pass through be probably another way they manage to keep the cost this low . i have trouble believe you could get sound this good at this cost . if i have not find the audio response datum , i would have assume the positive reviewer just do not know sound . i take a risk and be well reward . i be no audiophile myself but my sense be i could get this quality , more connection , and maybe a little more volume if i be willing to spend about $ 2k on something else . hope that help .
889	HomeTheaterSystem	POS	4	i have no complaint with the quality of this system . it sound great and the disc-changer be extremely quiet and fast compare to other . one word of caution : the satellite speaker be a bit larger than i expect . you can not tell it from the pic on this site , but without the stand each one be approximately the same height as the subwoofer . and do not assume that the elongate design make they any less bulky . they be still just as wide and deep as other satellite , only twice as tall . i start out with all four speaker on the stand provide and feel that they look ridiculous in my average size living room . the stand be silver plastic , have a large plastic base , and be not very thin . i end up wall-mounting the two rear speaker and buy skinnier metal stand for the front satellite . i could not be happier with the outcome .
161	HomeTheaterSystem	POS	5	i purchase this system in aug 2004 and i be very pleased with its performance . recording be very easy and i especially like the time-slip feature this allow you to watch a show from the beginning and continue to record the program . so long vh tape forever ! the system deliver a terrific picture and the sound make every show , movie , and sport event a new experience . i also enjoy the am-fm radio that be build into the unit . i be sure that the high-end system blow this unit away but for the money and the size this be a great buy !
544	HomeTheaterSystem	POS	4	this be a excellent buy for a home theater system . kenwood have always be on top of the game when it come to sterio . my only real complaint about this system be the speaker -lrb- not the way they sound -rrb- , the way they look . they be kinda ugly without the cover on they . besides that the system be wonderful , powerfull , and it give you plenty of control over the sound to suit you need .  if you be look for a home theater and can not afford a system like bose , than this be a great buy .  `` consumer reports '' also rate this system very high , 3rd or 4th on they list . not bad at all !
265	HomeTheaterSystem	POS	5	no hassle to set up . . great sound for a small 2 bed apartment live room ... perfect . . one can enjoy surround system without complaint from neighbor ... i recommend for a small house\/room ... it be ok to have just the dvd as i already have a ps3 ... look for blu ray aswell go for other stuff
923	HomeTheaterSystem	POS	4	i have be want a home theater system for a long time and this one be a great first choice . the instruction take a little longer to digest through than i think they would , but within 2 hour everything be set up , adjust and i be watch a dvd . great for someone who already have a dvd player they like and only need the basic system . i live in a apartment and the sound be fantastic .
735	HomeTheaterSystem	POS	5	this item be so much more than i think it would be . for the money to get a stereo \/ dvd player and radio it be unbelievable . it look great and sound better . my family love it .
861	HomeTheaterSystem	POS	4	just purchase it yesterday , this be we first ht experience . we be thrill by the surround sound so far , i be in the process of test all option , will update the review as well as star rating as i see more . so far , the pro be : 1 -rrb- excellent surround sound 2 -rrb- special hbass for additional bass be awesome 3 -rrb- play dvd , cd , mp3 very well 4 -rrb- interfaced quickly to my philips tv , so can use the same remote for tv too . now can watch tv shows\/movies on home theater ! 5 -rrb- set-up with manual be quick and easy 6 -rrb- aesthetically my wife love the tower-front speaker 7 -rrb- 5-disc changer be such that you can put cds\/dvds in the unoccupied tray without interruption current cd\/dvd play . so far , the con be : 1 -rrb- do not play mpeg 2 -rrb- do not play vcd burn with divx 3 -rrb- remote have a gazillion option , will take time to master it ! 4 -rrb- speaker wire which come with the ht be not great , will definitely need replacement down the line . new addition : pro 1 -rrb- plays jpeg very well , it scan through you datum disc and display all jpeg file as a slideshow . file not recognize be skip . use `` playlist '' on the remote , be like use window explorer on the tv screen for select specific file .
