index	Domain	Label	Rating	Review
962	Bag	POS	5	a fantastic camera at a unbelievable price . i have take picture throughtout europe , australia and new zealand in all kind of weather and light condition with always the same excellent result . a great camera to take take on a hurry up and keep move tour . it take wonderful landscape , animal and people picture . even do well from a move boat or car . the auto focus be incredible . just point and shoot , the camera will lock on focus . we be now off to south america .
449	Bag	POS	5	excellent bag , lot of pocket , quality construction . great for almost anything you can think of .
971	Bag	POS	5	sanded lot of beam with this and work like a champ . quiet and smooth running . recommend !
622	Bag	POS	5	i really like this bag but be very worried about how my camera would fit -lrb- canon s110 -rrb- in the bag . i be do a lot of comparison shopping on-line and even use the lowepro matrix -lrb- a list of all lowepro bag and which camera fit best in they -rrb- and they recommend the d-res 10 aw . i find that place my camera in vertically give it too much space to jostle around . place it in the other way give a snugger fit , but now there be a gap between the top of the camera and the bag . the `` gap '' will accommodate 2 cf card with case and the pouch , a battery , give that configuration .  those with compact camera such as mine should consider look at the d-re 8 model . it be more compact , cheaper , although it do not have the all weatherproof cover to pull over the case like the d-re 10 .  i also recommend store the desiccant in the case to avoid moisture ruin you camera . you can just pop they in the oven when they have absorb too much moisture to redry they so that they can be reuse .  overall , i think the bag be a fine product . just make sure you visit a store to find the best fit with you equipment and accessory .
488	Bag	POS	5	this bag be smartly design ... many compartment to put you camera stuff . in my bag , i have just enough room to put my digital camera and a point and shoot film camera in the main compartment -lrb- which be separate by a divider -rrb- . the inside be plush so there will never be damage to you lcd display .  there be also a area in front of the main compartment with two plastic pocket . in one , i have a smartmedium card and extra battery ... in the other , i have jam in a lens cleaning kit .  i really like the two strap -lrb- one shoulder and one for be hand hold -rrb- and the weather hood that be hide in the bag for rainy day . the only complaint i have be that the bag take a dip in the front where the zipper come down -lrb- for style probably ... look at the gray area on the photo -rrb- . if it just come straight across instead of dip down , there would be more vertical room in the front area .  overall though , great bag which can hold lot !
62	Bag	POS	4	i be a hobby woodworker and just start to add to my tool collection . this be my fist belt sander and i while i do not have experience with any other sander -lrb- other than a dewault that a friend lend i to scribe a counter top in my laundry room - and it seem to work well -rrb- , i believe the makita live up to its stellar reputation . everything just seem to work flawlessly . once you have belt adjust , it track perfectly . i understand this be the one issue that most user concern themselves with and i can not speak any more highly about it . track straight and true for sure . i be delighted with my purchase but only give it four star because for $ 200 i think it should come with a bag or case . other than that , this be a very high quality tool .
373	Bag	POS	4	let i first say , i be a fan of bucket boss . i have have the smaller bucket boss bag for year , and have be very happy with it . i do not want to go up in size , because i end up carry my tool bag all over the place when i be work , and a bigger bag mean i 'll end up put in more tool which will weigh more ... i digress . so i buy the long boy , and it have work great . i will say that it do not have much individual storage for smaller tool . i use a tool roll for thing like screwdriver , scissors , etc. . then i put expendable like wire in the outside pocket , where i 'll be able to find they quickly . power tool like my drill and charger go on one side of the movable divider inside , and larger hand tool go on the other side with the tool roll . it be not a perfect system , because i have to take the tool roll out to get to smaller tool . but the bag have hold up well , it be comfortable to carry with the strap , and the shape work for my need .
717	Bag	POS	5	this be a very solid and sturdy sander . i use it to sand a butcher block counter that i have cut in half -lrb- thickness -rrb- from a huge butcher block . start with 24grit and end with 150grit , it really do a number . very powerful ... you have to really hold on . i even rig the dust catcher to my shop vac . . very nice .
600	Bag	POS	5	this camera bag be exactly what i be look for . it have plenty of room for the camera and lens as well as plenty of storage space .
632	Bag	POS	4	i purchase this bag for a sony trv30 camcorder and overall be happy with it .  pro : - small - light - weatherproof -lrb- havent actually test it yet , but the retractable hood be a nice touch -rrb-  con : - small - not enough pocket - when wear a t-shirt , the hair on my hand get catch up in the strap attachment -lrb- painful and annoying and i be not even that hairy ! -rrb-  overall , if the constraint dont scare you away , i think its a pretty nice bag .
