index	Domain	Label	Rating	Review
754	RiceCooker	POS	5	i purchase the sanyo basically because this model -lrb- which include the slow cook function -rrb- be $ 100 less than the comparable zojirushi model . make excellent rice - no discernible difference from my neighbor zojirushi - and the slow cook function be a great addition and perform well .
467	RiceCooker	POS	5	i receive it but have not get a chance to use it yet . but it look very nice and the quality be very good . i love it .
978	RiceCooker	POS	4	i just get this cooker today , so durability be not something i can rate yet . these be the thing i like ; 1 . no plastic . this be important for i . both the bottom rice cooker and the steamer tray be metal . the lid be glass . 2 . nice and compact . i cook for my wife and myself , so i do not something huge , and of course storage space be always limit . the steamer tray be small ; on the other hand , the manual claim that this can cook up to 5 cup of rice . 3 . easy cleanup . yes some of the rice make a gooey mess in the bottom , but a little soak take it all right out . 4 . inexpensive . 5 . multi-purpose . i have use it once so far , and here 's what i do . i put some brown rice in the bottom rice cooker , and some salmon , broccoli and cauliflower in the steamer tray . the manual say nothing about steam anything other than veggy , but i think i would try it . the result : excellent . the salmon be cook to perfection , and so be the vegetable . so i have a complete , tasty , and healthy meal , all in one cooker , and so long as i be prepare to let the bowl and the tray soak for a bit , cleanup be a breeze . oh and you can make soup , stew , etc. instead of cooking rice . it be not a large-capacity cooker but it would make plenty of stew for two people . thing i do not like : 1 . no timer . it apparently sens when the steam be go , and then switch to `` warmer '' mode automatically . the only control be a switch that go from `` cook '' to `` warmer . '' this also mean that you have to unplug it to turn it off , though that do not bother i . that be about the only thing i have to carp about so far . it do not bubble or spit at all . if i can get at least three or four year of regular -lrb- and by regular i mean nearly daily -rrb- use out of this thing , i 'll consider it a extremely good value . update june 2010 : ok sometimes it do bubble and spit a bit . nothing terrible . i have use it probably 25 time altogether without any problem . consider the low purchase price , i would call this thing a good value . i would buy it again .
242	RiceCooker	POS	5	this rice cooker be the greatest contraption i have ever own . the many feature , especially the timer setting , make it convenient and easy for i to put the ingredient in before i leave for work and have they ready when i walk in the door . the cooking pot be non-stick , so it be extremely easy to clean . the rice cooker be easy to use , which be great , because we use it about 3 time a week !
203	RiceCooker	POS	5	i get this this rice cooker a month ago . it be be work very well . i like its not sticky at all and all the functionality . however , the clock may slow down once in a while . overall , it be really worth the money !
501	RiceCooker	POS	5	i pay $ 27.96 . now it be only $ 23.70 . what a deal for a great little rice cooker . if you do not like the frilly flower , you could always pay $ 10-15 more for the exact same machine without they . as for i , i like save money .
333	RiceCooker	POS	5	i purchase this rice cooker over a year ago , and it have work perfectly everytime . i have even leave it too long on the `` warm '' feature , and it do not burn the rice . i would recomend it without reservation to anyone want a convenient , small rice cooker .
729	RiceCooker	POS	5	i love this rice cooker ! my old one give up the ghost after something like 18 year of service . i have be very happy with it and debate with myself about `` how much better '' one of the newer electronic cooker could possibly be . i think the old one do a good job with whatever i put in it - white rice , brown rice , kashi pilaf , and steel-cut oats - but decide to give this one a shot . well , this have be a revelation . it produce the most lovely , fluffy rice i have ever cook and make steel-cut oats exactly to my taste . i like the nice , heavy bowl and the carry handle be very handy when tuck it away in my lower cupboard . i have get a very small kitchen and the compact size be perfect . it be simple to use and the quality feel very nice . i think this be go to be a workhorse in my kitchen for a long time .
793	RiceCooker	POS	5	have a rice cooker for year but it be get as wear out as i so i try this one and if i could replace i for what i do my rice cooker for what i do and have a good one as this i would .
489	RiceCooker	POS	4	it be a great rice maker - make good rice without effort . my only cause not to give it 5 star be that it take a long time to make the rice - approximately 2-3 time longer than my old cheapo rice cooker . but the rice it do make be way better . i especially enjoy the timer function so i can wake up to freshly make rice or oatmeal in the morning . i would say that it be definately worth the money so far .
626	RiceCooker	POS	5	i have use this rice cooker 3 time since i have have it . once only 2 cup , next time 3 and the last time 8 cup . i have cook rice for sushi , medium grain . it come out perfect when i cook it . i have a little bit of harder rice at the bottom but i read a tip to stir the rice up when its halfway through cooking . that work great the last time i cook the rice .
551	RiceCooker	POS	4	easy to use and work well and can steam veggy as well also come with accessory with good overall quality .
685	RiceCooker	POS	5	all i could say for the first week after purchase this rice cooker be , `` why do i wait so long ? '' it be everything you could want in a rice cooker , and produce some of the best rice i have taste . it be amazingly easy to use . you put rice in , fill water accord to the guide that be imprint on the inner bowl , place the lid down , push the menu button to whichever type of rice you be make , and push the cooking button . i do not think it could be any easier than that . after the rice have cook for a certain time , a timer show up to inform you have how long be leave , and afterwards , a tune\/beep will sound and it automatically shift to a `` keep warm '' function . the rice can be keep in that function for up to 12 hour . the nonstick bowl prevent rice from sticking and i have never find a stuck or burnt piece of rice , unlike many other rice cooker i have see . the footprint be fairly small which make it ideal for a apartment or small family . even though the cup use be smaller than most american cup-measure , the 3-cup maximum capacity seem like enough after cook to feed 3-4 people as a side dish or 2 people as a full dish . the instruction tell you to only use a maximum of 2 cup of white rice , and for porridge , the maximum be only 1 cup , but again , it come out to be plenty to feed a small family . you can make white rice , brown rice , sushi , porridge , or even mix in other ingredient . the fuzzy logic algorithm adjust the temperature constantly , allow the rice to come out perfect each time . it may seem like a lot to spend on a rice cooker , but honestly , this be some of the best money i have spend in a long time . there be no regret here .
127	RiceCooker	POS	4	great machine but wish i would have get the 5.5 cup unit . the owner manual be useless . have to buy another book to learn how to operate it . this be high quality and the flavor be outstanding . rice be much better than top the stove rice . we rv a lot so the 3 cup unit will work fine for 2 people but the 5.5 would have be more adaptable .
