index	Domain	Label	Rating	Review
81	Bag	POS	5	i spend the last few day buy sander and take they back -lrb- 2 actually -rrb- . one be a porter and cable 3x21 . this seem to be a well build sander except the dust collection system be very flaw . i have more dust fly than go into the bag . then i get the heavy duty dewalt . this be a heavy brute . i find the top front wheel create a vibration every so often that the sander seem to hop and create tiger stripe on the work . it also require a lot of energy bto hold it down . even tghough the dust collector seem to be one of the best , i find a lot of dust all over the bag . i do not know if the bag fabric 's hole be allow the dust to escape or create static electricity to attract dust . even though the bag collect the dust , it seem the sander blow a whole heap of dust around . when in a tight corner and i tip the front to extend the reach , it seem to bite the work . it seem to go through a lot of sand belt with little to show for it . then i buy this baby . . very light and require very little effort to hold it on the work -lrb- always fight with the dewalt -rrb- . the way this be design , there seem to be very little dust outside the bag and even then , there be no vent hole to blow it all around . the collection system work great and there be even a little attachment so i can hook up a shop-vap with a small hose . the sand belt seem to last twice as long as the dewalt -lrb- do not know why this be so -rrb- . the sand seem to be far more efficient than the other sander i try and return . the icing on the cake be a accessory to hold the sander like a table sander .
514	Bag	POS	4	the dust bag on my sander be not the same as the one depict in the image on the site . the one that come in the box be cheesier in design , and lack the bracket\/strut show . also , the suggest accessory be limit to sandpaper roll . no dust collection attachment , no upgrade for the bag . the sander itself be powerful , easy to use , and do the job i want it to do .
468	Bag	POS	4	this bag do exactly what i expect . it be skinnier than i have imagine , but collect most of the saw dust . specifically , it negate all the dust fly around my garage . it definitely do not catch all the dust , but i think that be more a function of the table saw than the bag . premium dust collector have some sort of vaccuum suction to pull the dust . this bag rely on the blow out from the saw . the miss dust fall directly under the saw . i think most people will be happy with the bag . those that will not be happy be the hardcore craftsman and someone expect zero dust .
114	Bag	POS	5	this tool replace a belt sander by black and decker that be buy in 1975 . when it totally die recently , i go to my favorite tool maker , makita . the specification on this sander be good , the price be better than most other , and the review be excellent . my only misgiving be that it be heavy . i have a wood carve and sculpture business and most of the work could be do with something smaller .
223	Bag	POS	5	i buy two bag - one for myself and the other for my 17-year-old son -lrb- who now have he first vehicle -rrb- . the bag be very sturdy , large and attractive , which be more than i expect . we pack they with jumper cable and other auto necessity , and they easily fit in my car and he small truck . perfect gift for a new driver .
906	Bag	POS	5	i buy 2 of these , for 2 set of cable , a normal pair and a large pair . after have to stuff the small set in one bag i look at the other set and say no way . -lrb- i be go to write a snarky review -rrb- after read other review , i decide to give it a try with the large set of cable - they fit , only just , but they fit . so ok fine . but this bag really should be a little bigger . as for my heavy extension cord , no way they be not fittin !
299	Bag	POS	5	the bag hold all we camera equipment plus film and many other extra . i recomm this camera bag for those people who need a small camera bag but with a lot of space .
340	Bag	POS	5	this be a well construct cable bag . it have enough room for jumper cable - plus . i would recommend it for anyone want to buy a jumper cable bag .
122	Bag	POS	5	nice leather ! really soft ! even so you use dslr , you can place it easyly . i love it !!
540	Bag	POS	5	i find a couple of bad review of this product but can only assume the reviewer be compare it to a full dust extraction system because for a simple fabric bag this work perfectly . catches 80-90 % of the sawdust -lrb- which from a bosch saw be considerable -rrb- , just a small amount below the saw . without it you 'll be sweep for age - or worse you wife will leave you ! money well spend , simple , effective , not a vacuum system - but a fraction of the cost .
218	Bag	POS	4	on current price , it be value for money . it can hold my camera -lrb- k100d -rrb- and other accesory -lrb- wire + rechargeable kit + book -rrb- . if you need to carry a extra lens i woud recommend you to buy slr bag instead of holster bag . however if you wish to carry just one lens along with you camera , like i then you can go for it .
293	Bag	POS	5	bucket boss have always use quality material and craftsmanship in they product . this jumper cable bag be no exception . this be a quality bag at a very reasonable price , and it do a great job of organize those pesky jumper cable , that usually sit in a big mess , in the trunk of the car . this bag even contain my extra long , 25 foot jumper cable . go with bucket boss and you will not be disappoint .
342	Bag	POS	4	i buy this case as a accessory to my hp 315 photosmart digital camera . i like the camera very much so it may be bias my view of the bag , but here go :  i like the bag . it be attractive to look at . it be a bit big for the camera i buy , but too big be better than too small !  it be get one main pouch that be very large and i use it to hold my camera and all my cord .  it have a shoulder strap that i do not like -lrb- because it make i look like a tourist -rrb- .  overall it be a very good bag , if a little large with a ugly shoulder strap .
470	Bag	POS	5	great product . hold those tangly and well use cable all in one place . convenient to order from amazon . great product .
825	Bag	POS	5	you will love this bag - great contemporary look , roomy , nicely pad for laptop , i find it very comfortable-it be the best bag of this sort i have ever own - buy it , you will not be disappoint .
131	Bag	POS	5	this be a excellent bag when you want to carry around you small digital camcorder . i have a elura2 mc and i be able to carry the camcorder , a wideangle lens , a spare 2 hr battery , and extra multimedia card . base on my experience it should be able to carry some of the smallest sony 's and jvc camcorder too . excellent quality and the weatherproof cover be a bonus .
630	Bag	POS	5	i be pretty skeptical before buy this , but the review be all great , so i try .  and this be a very good stuff : i can put my dell notebook there and some book , plus a few shirt to tavel overnight . i even use to to go to office .  this be just the good bag i need . very highly recommend .
322	Bag	POS	5	no regret buy this . works as expect and track stay very true . happy to have another makita tool in my shop
268	Bag	POS	5	i give my dad one of these a year ago , and he have give it a workout . i think the company must have read the earlier review , and improve the strength of the bag . dad have overload he with drill , etc. , and carry it everyplace , and it be show no sign of wear . he be so hard to buy for , it be great to see he thoroughly enjoy it . i be look for something similar but smaller to give he this year for he smaller item .
607	Bag	POS	5	while i take pleasure in owning and use quality tool , i be not one to gush or even normally write a review . that say , i love this sander . here 's why : well-balanced , low center of gravity . feel right when hold , do not have to make conscious effort to hold true . variable speed . note : variable , not multiple speed . speed vary infinitely depend on trigger pressure , just like any variable-speed drill . speed dial on trigger act as speed limiter , a not-to-exceed setting . otherwise pull fully for max set speed and back off trigger to slow in those must-be-careful spot , then pull fully again for max speed . truly intuitive , fluid . light weight enough to use without effort , yet heavy enough to do its intended job . certainly not for massive stock removal day in and day out , but perfect for frequent use my small shop and occasional light construction duty . if you need a brute , buy a brute . if you do not , do not beat yourself up with one . treat yourself with this bosch . a dust collector that work . very , very little on my mask at the end of a session of sand . only a light powder on the surface of the work and a coating on the sander attract by static . no dust laden air , no immediate sweep-up . empty the bag , blow off the sander , wipe the sanded piece . do . flat top and fence attachment extend its functionality , provide a small bench top sander . quality swiss-made . okay , so i gush a bit . great tool be such a pleasure to use and all too rare a treat .
696	Bag	POS	5	this be the best camera bag i have purchase , especially since it have the quality of any other case logic product , superb !  i own a old toshiba pdrm1 digital camera , and in this neat little bag , there be a protected pouch for the camera , two storage area for digital media , and a storage for 4-aa -lrb- or aaa -rrb- battery .  i think this bag be super convenient , since i can carry my extra smartmedia card and spare 4-aa battery . the size of the bag be small enough to fit in my travel bag , but yet , have a lot of storage space for all the necessity of a digital camera .  i highly recommend for a small digital camera like my toshiba pdrm1 . dimension of my camera : 4-3\/4 '' long by 3-1\/4 '' high by 1-1\/2 '' deep . this camera be a perfect fit for this particular bag .
111	Bag	POS	5	i get my sander this past monday ... i can not keep my hand off it ! it be already set up with 80 grit ... all i have to do be place the collection bag on top and plug it it . she run so quietly yet be so strong . the dust collection be wonderful , there be virtually no dust in the air ... or on the wood . i have be reclaim some 4x10 pine beam that be totally destroy by sun and moisture and have be wait for something like this sander to come along for the past 10 year . i change from the 80 to 60 grit ... and could not be happier ! i be use to my craftsman 21x3 which be so loud you need ear muff and be so difficult to change belt that you avoid it like the plague . this makita be just the opposite , quiet and belt change be as easy as pie . i just wish i buy this a long time ago !
392	Bag	POS	4	if you want a basic camera that can zoom and have multiple auto-everything feature , this little film camera may be good for you . it be easy for i to carry around when i do not have room for a slr -lrb- single lens reflex -rrb- camera . take decent picture with 400 iso film , but light need to be pretty darn good daylight lighting for the pix to look swell . since purchase this little baby , minolta go out of the camera business in the mid 2000s . the freedom zoom 160 come out , i believe , in 2002 , one of the last film point & shoot camera . now i have a digital point & shoot with video capability and a pentax k-x dslr that i use for serious photography . but for a back-up camera , the minolta can not be beat .
210	Bag	POS	4	now this be a bag . the main compartment be roomy enough to hold most camcorder -lrb- or camera with a extra lens + flash -rrb- . there be a padded divider which you can move around to fit exactly the cam you have .  the front accessory pocket be great for keep tissue , spare film , booklet , pen , etc. -lrb- you \* know \* some gum will end up in there . lol -rrb-  the detachable pack be the best part in my opinion . i currently have it off on my bag , but there be time when i need to pack extra supplies and it be great for quickly attach to the bag . this be a must have option\/feature that you should always look for !
416	Bag	POS	5	since 2 '' dust exhaust port be standard on many tool and the wire loop on the bag easily clip on any round duct , i put one on my rigid portable table saw and another on my 20 year old craftsman band see . both work great ! especially since no equivalent be avialable from either manufacturer . much better than a $ 100 + bottom catcher and easy to empty .
966	Bag	POS	5	i buy this bag and use it for my commute back and forth to work . i can not believe how much this bag hold and i like the storage pocket and zippered area . it allow i to bring the necessity that i truly need to and from work .
277	Bag	POS	4	this camera case be awesome , by far one of the finest case i have ever see . if you do not purchase this bag you be miss out on a experience of a lifetime . not only be the bag small but it can amazingly fit more pennies in it than it would cost to purchase it .
311	Bag	POS	5	this bag really do hold everything ! i do not have a laptop but that be not a problem because i use that section as a place to put thing i need quickly or to put away safely like contact lense case and stuff like that . with the very handy clip for the key , i be not stand out in the rain hunting for key that have fall to the bottom of the bag . i would seriously recommend this bag to anyone who need a little more versatility but want a bag that would not look out of place at work either . one particularly fine day , i manage to fit in book , a mini picnic and my jacket and not once do my shoulder feel like it be about to break . no mean feat . buy it , buy it now !
228	Bag	POS	5	after search for various belt sander on the webb , i choose the makita 9903 . use it be relatively easy , on hand and knee , but with 3m belt , the job -lrb- 900 ft2 -rrb- be not difficult . the sander work very well , have good weight , and do not hardly slow up at all with lot of pressure over knot and irregularity in the wood . long cord be overrated , ext. chord need anyway . but the sand bag be well design , large enough , and easy to empty and reinstall . i do not think there be a better belt sander available at this time . .7 \/ 15\/10 it would be nice if there be a case for it include though .
418	Bag	POS	5	my husband be in the middle of a large project when he sander go out ... no switch be available in store or on line . once again the internet come through and he be very excite to find the sander just like he have available . thank you amazon and bosch .
258	Bag	POS	5	most of you probably do not need a review for this , but i be go to write one just incase . the bag work great and have be very durable . i will probably buy more and would recommend it to anybody .
644	Bag	POS	4	i never try a tamrac camera bag before , and i must say that i really like this model . nice durable construction with a padded interior to protect you camera -lrb- s -rrb- and equipment . that be say , i be a little dubious about the claim that it will fit two slr with lens attach . certainly if you lens be fix then it should not be a problem , but if both be equip with zoom then you may run out of room . i have a nikon d70s , and with the 18-70mm dx kit lens attach it reach just about to the center of the bag or slightly past it . either way , two camera like that would result in the lens touch tightly at the cap . as my other camera be a coolpix 5400 room be not a issue , but it do factor into i give the pro 4 star instead of 5 . so basically , if you have one slr and want a roomy bag with adjustable divider and pocket space then this may be what you be look for , otherwise you may want to look for a larger model .
35	Bag	POS	4	i need a bag for my olympus e-300 with the lens kit . and this bag do its job quite good ... they be protective and it be get few pocket around which be quite useful . i just wish if the height be lil more . with this bag i can only have both the wideangle & telephoto lens if the wideangle be fit on to the camera -lrb- not the telephoto lens -rrb- .
185	Bag	POS	4	easy to install and lightweight . zipper on bottm of bag for empty . might not be heavy enough for everyday use . if the bag be heavier i would of give the fifth star .
731	Bag	POS	5	i have a nikon d70 slr . normally i have a 28 to 200 lens on the camera . i want a bag that would protect the camera and let i carry a few extra item such as memory card , spare battery and a my eye glass . this bag be perfect . my camera have to be on its side to fit but that be not a problem . if you have to carry all of you lens with you everywhere you go then this bag be not for you but if you want simple light weight protection for you camera while out have fun , then this be the bag for you .
629	Bag	POS	4	this bag be great , but make sure you do not have more accessory than can fit in ! usually , a average digital camera -lrb- olympus c-3000 size -rrb- and extra memory card , plus another accesory or two will fit . don ; t leave home without it !
134	Bag	POS	5	we buy several of these bag and fill they with booster cable , various tool , glove , lead flashlight , map , etc. and give they as gift . everyone love they . we have receive many compliment on this idea as a gift . the bag be very well make and the storage compartment for tool and additional item be perfect . the design be well think out and the quality be impressive . thank you to the designer .
496	Bag	POS	4	i be really hope this bag would help collect some of my sawdust . after a week of use it about two inch of dust have accumulate in the bag . actually most of the dust blow out of every other opening in my bosch saw . the bag seem to catch bigger shaving . i have not be saw any mdf or fine dust produce material so it may help more with those . the problem seem that all the shaving keep clog up in my dust port . on the plus side the bag have a squeeze clamp on it so it will work on just about anything .
716	Bag	POS	4	this be a simple bag that be about 12 '' by 30 '' inch or so with a wire clip that go around the dust port . it work pretty well in that everything expel from the dust port go into the bag , which be empty by just shake the sawdust out through the same opening .  all together it catch about 80 percent of the sawdust - about what one would expect . the cloth be a thin synthetic and there be no zipper or velcro to make it easier to empty .
