index	Domain	Label	Rating	Review
786	Flashlight	POS	4	product seem to work just fine . it ship in a decent time .
862	Flashlight	POS	5	for its size , its the best thing out there in term of light , with a great slim outer shell . the include holster be a great plus . long battery life due to the led !
864	Flashlight	POS	5	i have several of these mini maglites . they be solid , well-made , great little flashlight , with extra feature : beam focus -lrb- just twist the head -rrb- , spare bulb holder -lrb- inside the rear cap -rrb- , and a candle mode -lrb- take the head off and it become a base for the barrel -rrb- . i have only have one fail , and that be my fault -lrb- i do not check the battery in one that be keep in a drawer and a expire battery leak -rrb- . why do i own several of these ? well , you have get to have one in each color , right ? seriously ... i keep one in the center console of my car . it be great for old eye look at a map or direction at night , when the dome light just be not quite enough . it be also a help for a quick look under the hood , in the trunk , or under the seat . of course , i keep a regular mag-lite in the trunk , too . i keep one in my office desk in case of a power outage , or when the time light go off in the evening , or for digging around in the computer or copier . i keep one by my home computer for those time when you have to go poke around inside . i keep one in the headboard of my bed , again in case of a power outage . i learn my lesson in the 1994 northridge earthquake ; it be still dark and the power be out , and various and sundry thing have fall on the floor -- it be no fun walk around in the dark with bare foot when there be lot of stuff scatter about . there be a couple of other -lrb- kitchen and garage -rrb- , just to have around . just remember to check the battery every few month , and when the bulb burn out and you use the spare in the rear cap , replace it before you forget -lrb-  mag instrument lm2a001 replacement lamp for aa mini maglite , 2-pack
324	Flashlight	POS	5	this be a bright light at a great price very happy over all good buy !!
766	Flashlight	POS	5	i be a maglite repeat customer , so i guess i have already know i would like this aaa version . i buy one to try , but i will be buy more to keep at various place around the house so that whenever i need to look behind or under something i have a light handy . they be tough , durable , bright and , because of they size , incredible convenient . mag have another win flashlight model here . i especially like the candle function .
485	Flashlight	POS	5	i buy this light to replace my battery hungry surefire light in my edc -lrb- every day carry -rrb- kit . prior to buy i do some research and my choice come down to this light for the follow reason . 1 -rrb- battery life : this technology allow the mini-mag light to run for 96 hour on the low setting , which be bright enough for regular task at night . 2 -rrb- lead : not only do this extend the useable time of you aa battery , it be bulb life be tremendous , usually into thousand of hour -lrb- although mag light do not state the life expectancy of this particular bulb -rrb- . 3 -rrb- feature : with a twist of the head , this light go from high beam to low beam to flash to s.o.s mode . this be a awesome feature . if you be ever in a situation where you need a third party rescue , just flip on the s.o.s mode and you that much closer to salvation ! and as with most modern utility light , the mini-mag led be water and shock resistant . 4 -rrb- size : although it be slightly longer than my surefire m2 centurion , it be a lot thinner and easily fit inside my edc kit which you can take a closer look at on my blog at theseniorscout.com
872	Flashlight	POS	4	so everyone love mini maglights , or even maglites in general , even though everyone know they be not that bright and you can buy brighter light out there , but everyone also know that they maglite be go to last a long time and for a cheap price , you can purchase a led drop in that will surely surprise alot of people !! these flashlight be great ! by themselves maybe not all that bright , but purchase a drop in led and be surprise at how good these can actually be !! so 4 stars because of the light brightness by itself , but spend another $ 10 - $ 15 and you will have a awesome led light that will last basically forever and will probably extend you battery time while be a million time brighter !! you can not beat $ 8 for a mini maglite
905	Flashlight	POS	5	the construction and quality be what you would expect from a maglite with a solid and durable aluminum body and rubber gasket inside to keep out dirt and water . the grip be also nicely texture to keep the flashlight from slip out of you hand . light output be excellent with a bright , white beam and good throw distance . the reflector have be redesign from the 2aa incandescent model and eliminate the infamous maglite `` hole '' -lrb- a dark spot in the middle of the beam -rrb- when the flashlight be on full flood . adjust to spot be not a dramatic difference , but it definitely put more light in the center of the beam which can be useful in certain situation . battery last a long , long time , and unlike the older incandescent model , the light output do not decrease to unusable level long before the battery be dead but rather stay clear and bright until the battery be exhaust . the led be also considerably more durable than a incandescent bulb , and my led maglite have survive knock and drop that would have require a bulb replacement in my old incan model . and while the lead version be about a inch longer than the old model , the flashlight be still small and light enough to carry everywhere -lrb- i always keep mine on my belt so it be always handy when i need it , which be more often than you would expect ! -rrb- . i have only one caveat : the flashlight do not have reverse polarity protection meaning that if you accidentally install the battery backwards , you 'll smoke the led and you 'll have to buy a new flashlight . just be careful when install the battery and you 'll be fine . it might seem a little pricey , but it be worth every penny . ---------- edit : a year later and this little flashlight be still go strong . it never leave my side .
649	Flashlight	POS	5	okay , the `` battery '' be cheeper but there be that $ 8 shipping you need to consider . amazon have the free shipping option . oh yeah , great battery . super great flaslight system !
790	Flashlight	POS	4	i sure do like this light . light be bright , and last a pretty good long time . the only thing that i do not like about it be that if you set it down on the battery , and raise the lamp up and point it down , it become unbalanced . but ... that do not hinder my use it ... love the light .
