index	Domain	Label	Rating	Review
650	Keyboard	POS	5	i love this keyboard . it be a very basic keyboard . not too fancy or anything , but it look great . i also love the blue light under the key . it make typing a lot easier in the dark . i also like how only the letter and stuff be only light up and not the whole key .
736	Keyboard	POS	4	like the other kind of condom you feel smart use it but the other feeling be not as nice . unlike like the other kind of condom it can not be discern that it be be worn visually .
30	Keyboard	POS	5	this be my third mk320 wireless 2.4 ghz keyboard\/mouse combo system -lrb- on ' 2 ' separate ` desktop ' computer system and ' 1 ' laptop computer -rrb- and i remain very impressed with its performance . please take note : i have have no difficulty use the mk320 on ` desktop ' system but keep this in mind -- on ` desktop ' system and especially if you have other usb device already present , it can take -lrb- at least initially -rrb- up to a full minute for windows to set the thing up because windows will internally search for a pathway for the usb ` receiver ' that you plug into a available usb port so as not to conflict with other usb device . once windows do that , it become almost instantaneous . i mention this because some folk have report -lrb- on amazon and other forum -rrb- that the mk320 will not work on desktop system but it most decidedly ` do ' work on desktop system but that first connection may , as i say , and you happen to have various usb plug-in , or quite possibly even if you do not , take up to a minute as windows set it up internally and after that it be smooth sailing , as they say . i also like the idea that the mk320 system go into a sort of sleep mode if you forget to shut the device off and this handy electronic circuit within the keyboard and mouse save the battery ! in fact , i do not even bother to shut the device off and that ` sleep ' mode with any protracted non-use keep the battery -lrb- \*\* 2 aaa 's for the keyboard and 1 aa for the mouse -rrb- fresh . in effect , it sens system non usage and essentially shut itself down . it be quick too in term of the mouse when use same , no lag time like older ` wireless ' system use to do and here i credit the 2.4 ghz technology for the better no-lag response speed . and best of all , it require no pesky driver ! the only requirement be that you have windows xp or higher -lrb- vista or windows 7 -rrb- . so too , that chart describe the mk320 as compare to the higher price logitech system be in error as the mk320 system ` do ' have a on\/off switch on both the mouse and the keyboard and , on the mouse , a battery life indicator although the keyboard do not have a battery life indicator . the keyboard have those two user set plastic tab for keyboard ` slant ' adjustment and i find this most helpful or , conversely , you can keep the two ` slant ' tab flat and hence have the keyboard lay perfectly flat . you call . i especially like the fact that the small usb plug-in receiver control ` both ' device -lrb- mouse and keyboard -rrb- and set the thing up be quite simple . one tip and to avoid a windows message that it can not find a keyboard or mouse , start you system as you normally do with the old wire keyboard and wire mouse as usual , then , when windows start , plug in the usb receiver for the mk320 , ` wait ' until windows find the non conflicting pathway -lrb- which could take up to a minute depend on you system and what it have in its ` innards ' ! -rrb- , and when both mk320 device start to function , simply pull the cord of the wire original mouse and keyboard and the mk320 ` combo ' will take over . battery be include with the mk320 but make sure that those shipment `` pull here '' paper tab -lrb- to activate the already in place battery -rrb- be ` fully ' remove because if only part of it come out in you hand , a small piece of the paper tab may be block the battery contact but that you can not see under the battery cover . check that ! finally this , if you have more than one of these wireless system of the same manufacture , viz. , the logitech mk320 , if other system which use the identical mk320 be too close then obviously mouse or keyboard usage can ` extend ' to the other system because , hey , it be a wireless system ! check the distance between machine if you use the identical wireless system for more than one computer system to avoid wireless overlap . doc tony
576	Keyboard	POS	5	purchase this keyboard to replace another ergonomic keyboard that be not work . seem well make and the key action feel solid and consistent . extra key be useful now that i have figure out what they all do . wrist pad be comfortable . works with the match logitech mouse on a single wireless usb port which save port . can not tell yet how durable it will be ; but it feel solid . well satisfy with this purchase .
922	Keyboard	POS	5	this be ship from hongkong . free shipping with less than 1 dollar . it be very nice . just protect the key bord from food . mine protector have a dot that i try to get rid of , but i break it . it be fine . the switch button of air be mark as other sign , but no harm . cheap and fit well !
943	Keyboard	POS	4	still love the layout of this keyboard . i can not stand typing on a standard keyboard for over a few hour , and this one seem to fit i best ergonomically . it be a little pricey for be so loud -lrb- clickity click click -rrb- , but still my favorite solution .
881	Keyboard	POS	5	this be better then i expect it to be , i love it and would buy other product under the same brand . im always typing in the dark to not wake my kid with the light . perfect .
0	Keyboard	POS	4	it be a very good keyboard , very full of feature , just be sure to buy the bluetooth version ... and try to use some other bluetooth adapter to the computer ... it be not really a big deal , but when the keyboard crash -lrb- which be kinda part of the regular use -rrb- you just have to turn it off and then turn it on again ... be that simple -lrb- : you must have large hand if you want to use this keyboard as you smartphone keyboard , but it be still ok for i . the reason why i give only 4 star be because the lack of cell in the battery , do not last enough i might say ... the light in this keyboard be truly awesome !!!! you will be able to see all the key perfectly , no matter what ... -lrb- : overall i strongly recomend the keyboard .
847	Keyboard	POS	5	first , i agree completely with all the positive review , especially the two extensive , detailed review on the main page -- bravo to the writer . i have be use logitech product almost exclusively since the company make its first mouse . at present , i have five mouse , three keyboard and a webcam . the only real dud be a scanner , but no one 's perfect . in general , logitech product be superior to they competitor , especially microsoft 's . my new k350 replace a less-than-two year old m keyboard which be prone to key not work when they feel like it and have the keyboard handle equivalent of a mack truck . the k350 be a delight right out of the box , for all the reason give by the other reviewer . i do have two cavil : 1-i like a keyboard with a scroll-wheel on the left side of the deck so i can use both mouse and keyboard interchangeably . grant , no one make they anymore -- i have two make by m and one by logitech . i buy the k350 because the user 's quide be vague about reprogram the zoom key - it even fool the salesman , who also check the logitech website . it take e-mail and call to logitech to find out it be not possible . -lrb- at least , logitech do provide extensive customer support , without charge . try to get help from the `` other big guy . '' -rrb- the keyboard would be enhance by make the zoom key programmable like all those other key and the users guide more information-oriented and less-pr . 2-i have have recent durability issue with some of the mouse -- my mx revolution fail and be replace three time , all under logitech 's excellent warranty . logitech need to look at the reliability of they chinese fabricator to make a product that be as excellent in durability as it be in design concept . i would like to believe that this keyboard be not go to need replace in the near-future . all that say , i still prefer logitech product and would recommend they with almost no hesitation . alas , ten month after purchase , the keyboard start throw off anomalous key-stroke and refusal to register key-stroke . it take several call to logitech , where i be tell to remove the battery and punch some key several time . this be a temporary fix -- and how many time should a person have to stop productive work to play with he keyboard ? finally , logitech recognize -- whatever it be they recognize -- and replace the keyboard under warranty .
596	Keyboard	POS	5	third cordless i buy ... 3 time a charm , this keyboard rock !!! the only thing miss be voice recognition ! mouse be very comfortable and have several setup option . if you be look for a great cordless interface , this be the one to get ! great reception from any room and access to my music at the touch of a button , can not ask for more then this product give you !!!
988	Keyboard	POS	4	the fit and function be great . the f-key special function icon be miss or a mismatch from the oem keyboard , but if you remember what the key do it be no big deal . the keyboard be build on a aluminium plate and be actually a little bent . not a big deal because it straighten out when you install it . i would buy it again .
374	Keyboard	POS	4	ho can you lose here ? it add a bit of clunk to typing and if you type for a living at 90 word a minute . . well save you $ 2.78 . . if , like i , you sneeze , and accidently spill thing once in a while . . its great insurance . try it . . -lrb- update -rrb- a few time i have look down at my keyboard cover and find `` dry foreign stain material '' . thank goodness i have the cover ! clean up with dish soap . it do kill the back-lighting for the keyboard . i just pull it off when work in the dark . if you want to use it in a professional situation involve a darkened room , forget about it . well . . again we be talk $ 3 here ...
616	Keyboard	POS	5	as a student , eat and be by my computer can be pretty dangerous , but the keyboard skin have already save my computer from minor drink spill . love it . especially with nail , it be easier to type .
