index	Domain	Label	Rating	Review
83	GraphicsCard	POS	4	buy two card to crossfire . nice graphic , very clean and clear . not to bad on fan noise , but the heat come off these card be blast i out of my office . very hot at about 226f , during moderate graphic usage . i be not sure that these card be suppose to work that hot ??? in any case , i like the price for the performance . just can not beat that , but they could have include the bridge connector . now , if i can just manage that heat .
389	GraphicsCard	POS	5	i get this vid card because it be the best my motherboard will support , and power supply i have be dinky . i get it for diablo 3 it run very s mooth in a single person game with all set on low . my computer kinda suck as well . i still p ; ull 40 - 50 fp solo except when i run into large pack of mob . if comp be better i bet card would perfome alot nicer .
570	GraphicsCard	POS	5	the gtx 680 be here faster than the date it say it would be by 5 day and i could not be more pleased with it . once the price go down by $ 100 - $ 200 i plan to buy another because this thing be work great , and i will be put it in slus format . this gaming card be amazing i move up from a gt 460 and can not be happier with my purchase !!!
699	GraphicsCard	POS	5	in a nutshell , this card be awesome ! easy to install , although as other poster have say , it be a huge card and will not fit in slim case . run slightly warm -lrb- 62 celsius , after 1 hour in black op with ultra setting -rrb- on my pc -lrb- hp p7-1010 -rrb- since they design the board to have the cpu under the video card which sit directly under the psu . get over 140fp in 3dmark06 with setting maxx and a 15,346 score . have not be able to get this card to skip or stutter on any game i throw at it . run all game at native 1080p -lrb- 1920x1080 -rrb- @ 60hz with max\/ultra\/da bomb setting alice : madness returns battlefield 3 battleforge call of duty : black ops dead island deus ex : human evolution gattle gears hard reset starcraft ii and many more , although they be pretty old so say they run great at max setting be not really say much for this card and blu-ray movie look amazing , almost 3d without the glass . note : this card can not be unlock . when i try unlock the 6970 shader it give i a gpuid mismatch error . the fix do not seem to work either , it flash the rom , but upon reboot it be still a 6950
459	GraphicsCard	POS	4	while the original list price for this video card be $ 95 , there be rebate and sale ongoing which can drive the price down to nearly $ 50 - that be how i get mine yesterday . the video card itself be attractively design ; the 100mm fan provide some serious cooling -lrb- without have to connect a additional power line -rrb- and the blue pcb match the color of my motherboard -lrb- also by gigabyte -rrb- very nicely . the big fan , however , can cover up the pcix1 slot on some motherboard -lrb- include my gigabyte 78lmt-s2p -rrb- , which be potentially awkward if you be want to use that expansion slot . installation of both hardware and driver be easy , and i obtain the latest ati catalyst driver almost immediately upon installation -lrb- the driver cd include , i believe , version 11.5 ; the latest catalyst suite at the time of write be 12.0 \/ 12.1 -rrb- . the card include a vga -lrb- d-sub -rrb- connector for legacy monitor , though if you have a monitor with dvi capability , such as my hp s2031 , you will certainly want to use the dvi connector on the card . graphics quality in conjunction with my s2031 monitor be excellent so far . i buy this card especially to play the upcome guild war 2 , and while that game -lrb- which be in closed beta at time of write -rrb- be not out yet , my windows experience index have be boost from a original , and somewhat lackluster , score of 4.9 with the integrate video that i be originally use to 6.8 . the card carry a print requirement of a 400w minimum power supply , which be less demand than high-end graphic card . overall , remember that this be essentially a midrange card , but it have ample power and the new price deal make it a very attractive option for those who be look to upgrade they radeon video from one of the lower-range card but can not afford one of the heavy hitter like the 6870 or 6970 . i really would rate it 4.5 star if i could ; i would like to give it 5 star but really have not have the card in my system long enough . edit -lrb- august 18 , 2012 -rrb- : after extensively play through the open-beta phase of guild war 2 -lrb- 3 beta weekend event and 7 stress test -rrb- , i can report that this card handle the game very well . most of the graphic setting be set by default to `` medium '' with this card , so you should not expect - as i advise in february - quality to be as good as a high-end card . `` medium '' graphic quality in gw2 , however , be as good or better than a lot of other game , and certainly better than gw1 . another note i need to add be that the official power-supply rating be too low . while the box say you can use a 400-watt power supply , you really need a 500w ps for extended gaming or other graphics-heavy operation . i find this out the hard way when the 400w ps that come with my custom-built system crap out early on in the third gw2 beta weekend last month ; i have to take it back to the shop -lrb- fortunately under warranty -rrb- and have a more powerful ps install . i end up play the rest of the beta weekend on my laptop -lrb- not a big deal , really , since i would need to see how well my laptop could handle the game - quite well , as it turn out , but that be a different subject -rrb- .
453	GraphicsCard	POS	5	this video card be amazing , so faster and so ship , i recommend 100 % this video card , so go buy one and get own on battlefield 3
977	GraphicsCard	POS	5	yeah its a great card . we all know that . but `` hot dealsforless '' -lrb- amazon seller id -rrb- be as full of sh \* as it name ... you have to be a sc \* mbag to buy up all of newegg 's product and sell it for over $ 300.00 more ... unbelievable . and , they dont have 1 leave . they have none . they just want to be sure to whack up you credit card and then tell you they 'll have it asap -lrb- several month ago ... -rrb- hotdealsmya \*\* . better off wait folk . trust i . i know . other website price : $ 749.00 amazon price : $ 749.00 `` not `` dealsforless price : $ 1,083.99 -lrb- wow ... even if they raise it by 300 theyd make a killing ... no they still gotta tack on another 34 dollar and hit you with the '' .99 '' again : sc \* b \* g . hope you find this `` helpful . '' ~ honestj \* if i could strangle a site to death , this would be my vic ...
949	GraphicsCard	POS	5	the most powerful single gpu on the market buy one you will not be disappointed - extremely fast gameplay and with turbo boost if need .
129	GraphicsCard	POS	5	i upgrade to this card from a gtx 280 . i be very happy with the performance of this card out of the box . run every game at 1920x1200 with ultra setting and this thing take it without hesitation . for the people hesitate buy this due to review about driver issue . i do have driver issue where none would recognize the install gpu . the cd that come with the card do have driver 285.66 on it , and that work fine . however when download driver from nvidium 's website , i would get the `` no gpu detect '' that everyone do talk about . simple fix : go to the manufacturer website and download the newest bio update . i do this , and now , every driver on nvidium 's site work like a champ . it be not a gpu issue , just reflash you bio and you good to go .
648	GraphicsCard	POS	4	pc be a ancient dell dimension 3000 with a 2.4 celeron run xp sp2 , 32 bit - slow , i know , a dinosaur in 2012 . but you know what ? it be extremely stable , run my app - in fact -lrb- knock on wood -rrb- , this be one of the most stable system i have ever own ... it just a reliable workhorse for the year i have own it , and there be something to be say for that . i be the opposite of the early adapter . not a gamer , but i do use a older version of adobe premier for video editing , along with a old version of photoshop and some other `` not the latest and greatest '' but still powerful and stable graphic\/media app . thought a new graphic card would help improve video playback esp . preview in premier , which be choppy -lrb- but i learn to live with it -rrb- at higher re . bottom line if you be consider this card : 1 . it work on my pc with 250 stock power supply , no problem -lrb- thus far -rrb- although the card spec specify a minimum of 300w . ymmv . 2 . my dell be incapable of play any 3d game at all . it be capable now with full hardware acceleration . 3 . there be a definite improvement with video playback . 4 . install be a snap , however , you must disable the on-board graphic in windows system\/hardware before power down prior to card installation . and you must select pci card in the display graphic selection in you bio when you reboot -lrb- hit f2 repeatedly as windows be boot to access bio -rrb- if you bio version do not have autodetect . the dell dimension do have autodetect so this step be not necessary for i . 5 . although tech support be fast , excellent , courteous , and us-based , they be unable to fix a issue i have -lrb- see below -rrb- . no point off ... among the best customer service for a inexpensive consumer-level component . after install everything seem to work . there be a definitely a improvement in video playback as i would hope . however , when i boot up adobe premier there be horizontal dash all over the interface to the degree that the app would have be unusable . -lrb- this also occur with a old game i install on the system -rrb- . all other app be fine . searching the net , i do read a couple other post where this be occur with this card with premier . tech support at pny try everything and spend considerable time with i - to no avail . i be about to uninstall the card and return it ... and be disappointed because my old betsy of a pc be perform markedly better with this new graphic card . in a last ditch effort to correct these vertical dash i go into control panel - -rrb- setting - -rrb- advance - -rrb- troubleshoot . there i find a slider for hardware acceleration and move it to the middle which disable all directdraw and 3d hardware acceleration . that do the trick for premier -lrb- and that old video game -rrb- . fix . so if you be have this issue run premier -lrb- and i imagine after effect would also have this issue ... -rrb- there be you solution . unfortunately , on the dell dimension , this set disable the ability to play 3d game completely . so , i create a desktop icon to get i to the windows display setting . i leave full hardware acceleration enable by default , and i turn off hardware acceleration when work in premier . the only other caveat be that the horizontal dash rear they ugly head `` a little '' during some sequence when i be test a old 3d space shooter , freespace , which need full 3d acceleration as it be a 3d game . but it be not too bad and only happen during more intensive scene - a minor quibble . -lrb- system would not run this - or any 3d game before install this card ... -rrb- this be a lot of card for the money , and i be glad i purchase it . do what i want it to do . glad i be able to find a work around for the horizontal dash problem use adobe premier .
608	GraphicsCard	POS	5	do exactly what i want which be to run 2 of they crossfire . great product good on amd . extra word for fun
134	GraphicsCard	POS	5	of the 6 pcus graphic card i have experience with , this one perform the best . would prefer to use a different type , but on occasion i need to improve graphic performance on a pc that only have a pci slot . give the pci datum path limitation i would have to say this card be outstanding ; again , in relation to other pcus card i have use .
203	GraphicsCard	POS	5	i just switch out my old hot , loud and crappy ati 5770 that come with my xp 8100 . best upgrade ever . it be hard to get use to how quiet the gpu be . -lrb- i be use to the loud fan on the other gpu -rrb- . run everything on high\/ultra high . i get 60fp use frap on skyrim . very satisfied . would sli if my motherboard support it . i use the cooler master gx 650w for the psu upgrade as well .
205	GraphicsCard	POS	5	good video card , especially for a half height card but it will not run the new very high tech game that be out today . for most of the older game or general picture use it be great just will not keep up with the new high demand of the very new game .
307	GraphicsCard	POS	4	i buy this card to replace the onboard graphic in my 2 yr . old dell desktop . after see that some gaming rig come with this same card i think i would give it a try . work well with the 300 watt power supply . work fine with window 8 release preview have all the connector , hdmus , dvi can do vga with a adapter . if you be on a budget go ahead buy this card .
658	GraphicsCard	POS	5	receive product in good time and work great . packaging be great no damage to product . no complaint on this end .
692	GraphicsCard	POS	5	card be perform excellent at this time . graphic be great to look at . should give a year or two of life to this older rig . make sure you have a power supply greater than 450 watts if you do decide to get this card .
266	GraphicsCard	POS	5	i recently build my computer from the ground up . i run my game -lrb- company of hero , skyrim , mw3 -rrb- on maxed-out graphic , the card will overheat unless you have additional fan -lrb- i use cheap coolmaster blue led 's -rrb- and manually set the fan to around 70 % . -lrb- 100 % if you do not have additional fan -rrb- . the only time i have notice this vidio card can not keep up -lrb- run max out -rrb- be in the tunnel in skyrim , the screen tear . i will eventually run sli , that be the main reason why i purcase this 2gb version . evga have very nice tool for overclocking , change fan speed , and testing . these tool come with the card . i be very happy with this card i7 2600k corsair 750w psu dual dvi monitor
899	GraphicsCard	POS	5	i install this video card in my 2001 sony vaio pcv-rx850 apg slot . i power up the computer and voi la. . i open google earth and the difference be phenomenal . work with daz studio 4 and poser 8 , my system -lrb- xp , sp3 -rrb- do not crash nearly as often as it use to ` out of memory , program must close ' . these program work much faster with the new video card , presumably because of the additional ram on the card itself . for example , render time in poser 8 take half as long as it use to with the onboard sis 650_651_740 chip type : sis 651 rev 00 . i be very happy with this card .
892	GraphicsCard	POS	4	worked very easily attach a monitor to a netbook with no vga port available ... software install and run from sytem tray and not from the display property as most video card do ... that do throw i for a loop at first but otherwise a good product ... would buy it again if i need to
115	GraphicsCard	POS	4	this card be easy to install and setup have very good quality video . i have a old dell p4 computer and windows 7 do not support the on board graphi , this video card allow i to install windows 7 and run windows 7 on this old computer that only have a pcus card slot .
246	GraphicsCard	POS	5	buy this for $ 70 after rebate -lrb- get the rebate already -rrb- . this can be flash to use in hackintosh system . it be basically rename from 5770 version .
260	GraphicsCard	POS	5	installation of the card be fairly easy . hint : read and use the instruction which be a breeze to follow . there be many youtube `` how to '' video out there which may or may not work . we find the write instruction very accurate . the only problem encounter -lrb- specific to gateway sx2800-01 computer -rrb- be that we have plan on use the vga output to we monitor . unfortunately the vga connection cord on the card be not long enough to fit in the lower computer slot . however , we solve this by purchase a dvi to vga converter and just remove the vga connection from the card before install . one other issue to note be that that the short form bracket do not come with the card so if you expect to use this card in a short form computer you will need to purchase separately . overall the card have perform as expect . the windows 7 graphics score increase from 4.5 to 4.7 and gaming graphic from 3.6 to 6.1 . not a huge increase but this be a very low end graphic card so we be satisfy with the improvement . the main reason for the purchase my son want to be able to play guild war 2 which he be now able to at mostly low and medium setting .
793	GraphicsCard	POS	5	i would recommend this to anyone especially those with a low power supply pc . i have a warm time find a card that be compatible with my dell 530 inspiron with a 300 watt power supply . i be tell to upgrade my power supply but i plan on buy a new pc so it wouldnt make sense , i just want to use my dell for a while cause its only 4 yr old . i try nvidium card with dell which be say compatible and have to return they all even though nvidium be the card of my choice but this fanless amd be truly amazing . no fan noise except the one in the pc play game although it be not mean for game but im not a heavy gamer just exception so i try supreme commander and universe at war atlest 20hr gameplay a day just to see what would happen all on high setting run like a charm with no problem . the only weird thing be when i try to update the catalyst 11.6 to 11.7 it do but still show i 11.6 but all in all very great card well recommend easy installation low power consumption dell 530 inspiron compatible and low price and quick delivery by amazon before expect thanks much amazon .
17	GraphicsCard	POS	4	i have a xfx hd 5670 and it be a really good card for the money -lrb- 90 buck -rrb- and it run every game i can throw at it . but i be get sick of turn the graphic down to play game like battlefield 3 and it still struggle with 30fp . so i buy this card . this be the bast upgrade i have do yet !!! it be really fast , powerful , quiet , and stay cool . but u do need a lot of air flow from the side of the case to keep it cool . if you want to know it score a 7.8 weus . it run at ultra graphic with v-sync off on bf3 at 1600x900 at around 60-70fp which be phenomenal !! but be get sharp lag every few seconds ... that why i knock it down to 4\/5 star . i fix it by turn the game quality to high instead of ultra . but really ... double the fp make the game sooo much easier and the first night i have it i play a few hour on bf3 and go from lvl 26 to lvl 31 !!!! it be so much easier to hold the crosshair on the target now and be just so boss . temp idle -- 37c load -- 60c -lrb- with msus afterburner profile -rrb- i highly recommend msi afterburner for any graphic card . it keep you card cooler only when u need it and can oc and make it very quiet on idle this graphic card pull a steady 60fp in bf3 on high graphic at 1600x900 with v-sync off -lrb- v-sync lower you fp to the hertz of you screen ex . 60hertz screen = 60fp max -rrb-
