index	Domain	Label	Rating	Review
261	RiceCooker	POS	5	this rice cooker be so good . i cook white and brown rice almost every day , sometimes i use it as a slow cooker . it be the first time i own a rice cooker with 2 inner pot , one for rice cooking and the other one be for slow cooking . it sound fun and be really worth the money . do not pay more than $ 200 for a rice cooker !
431	RiceCooker	POS	5	after use the rice cooker for a couple of week , it have work perfectly for make enough rice for a meal for 1-2 people . i would definitely buy again , especially for the price .
532	RiceCooker	POS	4	my parent have this aroma rice cooker , whereas i have a cheaper black and decker at my own apartment . so i have experience with rice cooker and i must say that this aroma one be pretty good . for one thing , i like the lock lid , as oppose to a removable glass lid -lrb- like on my black and decker -rrb- with a hole in it . this mean less clean-up . however , it also mean that the cooking vessel can not serve as its own pot that you could just put directly into the fridge with leftovers ; cheaper rice cooker with glass lid effectively increase you storage capacity , in a way . but it be a minor quibble . best of all , this aroma unit consistently make good rice without ever burn the bottom or produce a sticky starchy layer at the bottom . my black and decker , as good as it be , always produce a slightly toast starchy layer at the bottom . the unit be not super-fast , but not slow either . i can make two cup of dry brown rice in about 40 minute . this unit be not huge , though , and i do not think it can make more than three dry cup of brown rice . if you be cook for more than two people , you might want to get larger unit . lastly , the steam vent do occasionally produce some excess water which drip out of the unit onto the surround area . it be only do this once so far , but make sure to keep a eye out if you have papers or other electronics nearby .
955	RiceCooker	POS	5	we area really enjoy make rice and oatmeat in we new sanyo cooker . excellent product - great result .
78	RiceCooker	POS	4	i do not realize how small this be . if you be solo or use it in college , it should be fine . if you be cook for more than 2 people , you need something bigger . but i cook for 1 or 2 people usually so it work out ok for now . i be cooking rice on a stove previously and ti be fine but i get tire of watch the pot so it would not boil over . this cook the rice evenly and quickly . it even cook brown rice well .
10	RiceCooker	POS	5	excellent . cook 3-1\/2 cup very well . sleek design look great permanently on the counter . bread-baking function be easy to use and decent . do not get it as it will not kill two bird with one stone . it make rice for 3 and bread adequately , you need a larger cooker for more than three and just about any bread maker -lrb- only bread -rrb- will blow its door off . it have a really heavy bowl that be easy to clean . price be a little high , $ 60 feel right .
966	RiceCooker	POS	5	this rice cooker be well worth the price . it slow cook the rice , but it taste fantastic . i have own this cooker for two year with moderate use and have have no problem with it at all . it be the best kitchen accessory i have ever buy .
854	RiceCooker	POS	4	great little rice cooker . get water go very quickly and be very easy to clean . i do not like the rice cooker with the lid that you can not remove and wash -- we cook mostly brown rice and there be lot of bran-like stuff that the foam carry to the lid , so what be the point if you can not wash the lid ? paper towel just do not cut it . sure it sputter a bit but a quick spritz of olive oil and salt cut that down a lot . have to stir the rice once be not a hassle , and actually probably it would not be a big deal if you skip that . note the supply measure cup be a little smaller than my 1 cup measure cup . the only thing i would recommend to oster be that they follow through on they focus of a compact rice cooker -- what other feature would be useful to someone who need a small rice cooker ? how about design the lid and handle with slot or cut out so the spoon and measure cup can be store or rest on the cooker ?
852	RiceCooker	POS	5	want to make some great sushi -- and this pot turn out fabulous rice , could not have be better for the task ! also , since get this aroma , i have do several one-dish dinner in it , steam meat & veggy right with the rice . its do a dynamite job -- almost like have a cook in the house , finish off dish for i . easy to clean , quick to store , and absolutely as represent -- a inexpensive yet faithful piece of equipment with nice range of skill . plus -- you can cook -- and transport -- hot food in it to a potluck dinner , easily -- and without get burn . how 's that for the price ?!!!
294	RiceCooker	POS	4	the cooker seem completely top notch . the only problem , and i consider it a significant problem , be the translate owner 's manual for we who speak english . i do not know , but translation into whatever other language use the symbol\/script character in write -lrb- japanese ? korean ? -rrb- may have a somewhat fractured translation as well . i can see no excuse for the translate owner 's manual to not have be revise into a more clear translation , because the email customer relation promotional thing i receive from zojirushi seem to have be write by someone who speak clear english as they native tongue . do not get i wrong . i have nothing at all against asian people , really , not a thing , but the owner 's manual for any product should be immediately clear to someone who have never own or operate the product at this quality bracket .
562	RiceCooker	POS	5	this rice maker prepare the best rice ever ! the timer option it have to be be able to start cooking at a certain time , or have it prepare for you by a certain time be a definite bonus ! the rice always come out fluffy and moist but not drench or super sticky , it be just perfect ! i get this as a gift for my boyfriend for christmas and he be very picky about he rice and he rave about it and even change we meal plan sometimes just so we can cook rice in it ! i love it too though . definitely recommend this product !
609	RiceCooker	POS	5	i buy this rice cooker , and once i see it in person , i be surprise with the cute size . it be so adorable . it be good for 2-3 people and work very well , there be option for brown rice , white rice and sushi rice etc. . so it be easy to deal with cooking rice . i usually cook brown rice , usually 1 cup be enough for 2 people . sometimes i do 2 cup , but it be easy to cook so i do not care i cook rice often so we can have fresh rice .
722	RiceCooker	POS	5	i be a single person , so this be just perfect for i . make perfect rice , brown or white .
725	RiceCooker	POS	5	i be the mother of 4 and always look for way to trim the budget and still eat well . we be a `` from scratch '' family and rarely , if ever , buy convenience food . rice be a natural go to food item when you be try to eat well and save money at the same time . i never seem to be able to get it right , however ! we never have rice just because i could never cook it right . it would either be too hard still or too mushy or i would burn it on the bottom of the pan . really , it be rice , it should not be that hard ! fast forward to a week ago when the aroma rice cooker enter we life . we now have a new love affair with this frugal grain ! rinse the rice , toss it in and forget about it ! it be perfect every time ! this be a busy mom 's dream . we love we rice cooker and i can not imagine a more expensive brand do a better job at all . should something horrible happen and we rice cooker fail in the future , we will most definitely be try to replace it with this exact model again , very quickly ! edit to add : use this rice cooker to boil potato for mashed potato tonight . do a fantastic job . just put in the diced potato , water to cover and hit the white rice setting . once i hear the water start boil , i let it go for 10 minute and then drain . just be careful get the pot out due to steam . this be great and we be excite about be able to do this in the hot summer month when we need to boil something without heat up the entire house !
381	RiceCooker	POS	4	even after 24 hour , the color of rice in the cooker do not turn to yellow .
915	RiceCooker	POS	5	this be a very nice rice cooker . the 1st one i receive - work once , and then start burn the rice after that . contact aroma customer support . they representative be very cordial and helpful and instruct i to return the cooker since it be malfunction -lrb- the cooker screen display a `` c1 '' and the cooker would not turn off -rrb- . i return to amazon for replacement with no problem . the 2nd unit work great , and cook brown rice excellently ! it do take longer than my previous rice cooker . brown rice take from 100 to 105 minute to cook . it also require less water than my previous cooker which be a surprise to i . i hope to cook many a cup of rice with this cooker -lrb- if it continue to function well -rrb- .
523	RiceCooker	POS	5	i love this rice cooker , it be so easy to use and steam vegetable be great ! very happy with this product and highly recommend it . actually , i send one to a friend of mine for she birthday and she love it too !
578	RiceCooker	POS	5	the rice cooker have turn out good cook rice twice . it be easy to clean , store , and use . it be cute .
240	RiceCooker	POS	5	i get this rice cooker a few month ago and be so far quite pleased . i use to cook rice only very rarely because it be a pain in the butt to do so on a stovetop -lrb- at least in my opinion it be -rrb- . now i cook rice and quinoa regularly and the result be always excellent . for white rice , this cooker do a amazing job with no thought whatsoever . for brown rice the result be a little trickier and seem to rely very heavily on the quality of the rice you use . the amount of water you use , to a very fine and surprising degree , also make a huge difference on the brown rice . water level be key with this , i have find . the instruction do state that one should vary the water level depend on the environment you live in and the moisture level of the rice you be cooking . i have find i actually have to consistently put less water than the measurement line call for , and it take i a little while to realize this . if you pay close attention , you 'll have no problem . i have find , like other reviewer have state , that -lrb- especially with brown rice -rrb- let the rice soak for awhile before cooking make a huge difference . if you have a regular schedule and can use the timer feature , that be a great idea . otherwise , if you be plan ahead -lrb- not my strong suit -rrb- then you can plan properly to build in soak time . once learn the in and out of this cooker -lrb- and it be really pretty straightforward -rrb- , it be easy to end up with amazing rice every time . this be my first rice cooker and i buy it on the recommendation of friend ... i now recommend it to you !
712	RiceCooker	POS	5	buy the rice cooker from amazon nov ,06 base on the excellent review . expensive rice cooker but it be nice look and it cook beautiful and tasty rice better than most of the restaurant !!! i be so happy that i go with the right choice !
