index	Domain	Label	Rating	Review
365	Flashlight	POS	5	hus i be impress with the service they give . kept i update the whole way would buy off they again
878	Flashlight	POS	5	i purchase this flashlight for my car . it be very small and easy to store and be very bright . it will come in handy when i be on the road .
459	Flashlight	POS	5	the best article if you need a powerfull flashlight . excelent bulb , adjustable beam and strong material . i have two !
420	Flashlight	POS	5	i get one of the mag charger lite bout 7 year ago from a friend and its be the best lite ever ive use it coon huntin and on the job as a security guard in a very active junk yard finally the switch go out and i just reorder i a new one anyway if u work in a bad place night shift the magcharger what u want .
198	Flashlight	POS	4	i have always use maglite -lrb- still do -rrb- but even they be not perfect . i have have small one die rather quickly & even this one die due to poor contact with the charger . i would jiggle it until the red charge light come on but how long it last be random so when i need it , it rarely work . i think they quality control can use a swift kick .
987	Flashlight	POS	5	high quality construction . bright for its size and reasonable battery usage for type of flashlight . what more can you ask for , consider the price ?
826	Flashlight	POS	4	after receive one of these and a larger mag as a gift i be not sure where i would use this flashlight . as it turn out , i be use it more than the larger light . it be small size make it incredibly useful for small maintenance task such as work on a computer , poke around a car or even find thing you drop behind furniture . it be brightness be surprising . i have find it to be almost as bright as the mag 2d light .  i have some contact problem when i put the first set of battery in , but after play with the spring in the back and make sure the end cap be tight it work fine and have fail since .
294	Flashlight	POS	5	i just get this aa mini maglite package with a 3d lead mag at home depot . i be look for the 3d when i find this 2 pac . man be i glad i do . this aa minus mag be fantastic for a small light . i compare it side by side with a terralux lightstar 220 , rate at , you guess it , 220 lumen . unbelievable ! i aim each light at the top of a 30 ft. tree , about 100 ft. away . both light illuminate the tree top , but the mini mag really define the branch clearly . the terralux just kind of light up the area at the top of the tree . this mini mag have a cree xpe # 106 bulb in it and be far superior to the upgrade lead bulb available at amazon for under $ 9.00 . if you have a old mini mag , that be a good upgrade to extend battery life . do yourself a favor and buy the latest version aa mini mag as well . you will not be sorry ! the only thing that i do not care for be the extra mode . besides the 2 brightness level , there be 2 blinky mode . one just blink on and off , the other emit a mores code sos . i would rather just have 2 light level mode that i could switch back and forth . i also would like a tail switch so i do not have to fool with the focus every time i turn it on . maybe i 'll look for the tail switch replacement that someone else mention . i still rate it 5 star because it be a fantastic light . the only reason that i do not buy this light on amazon be because i be not really look for a new mini mag . i could not find the the 3d with the 131 luman rating that i be look for on amazon . like i say , the add bonus of this aa mini be a unexpected surprise ! bluwolf
834	Flashlight	POS	5	i use this flashlight every night on the job inspect large passenger aircraft , powerful adjustable beam be great .
27	Flashlight	POS	4	even though we have to wait a short time due to quantity , the item be ship in a timely manner .
