index	Domain	Label	Rating	Review
318	Gloves	POS	4	these glove be great for general use as well as move box and equipment at outdoor event . overall , the glove be very durable and provide superior protection while allow the dexterity to use the key on a blackberry . after be soak in rain and mud at a outdoor event , glove hold up well after be wash . after about one month of use , bottom velcro on strap come loose , but otherwise no complaint .
428	Gloves	POS	5	buy the 16oz for training . these glove fit great with wrap on , they be just perfectly tight !! the material be pretty good , not as great as leather , but you just can not go wrong with the price !!
461	Gloves	POS	5	product work great , all the review be true ; inexpensive and perfect for basic protection and comfort . fit and stay on great .
156	Gloves	POS	5	these standard workout glove fit the bill . low price , lightweight , breathable , and protect you hand from get pinched etc. . i use these for freeweight mostly . they run more or less true to size , slightly on the snug size , but they loosen up with you hand as you workout . they have hold up for 2-3 month so far pretty well -lrb- no noticeable wear -rrb- . do not retain any bad gym smell , though if they do you could simply soak they in soap water , rinse they and let they dry . the lack of padding be nice for i as i can use these for active workout -lrb- running , plyo , freeweight , machine , etc -rrb- . of course if you be do heavy weight lifting that more static , i would get something with padding and wrist support .
512	Gloves	POS	5	i live the the hot and humid southeast us and get these as a outdoor wood glove for which they seem to work nice . hopefully they will hold up over time . i be glad that i choose the xl over the large since they come a little tighter than expect but i be confident they will stretch with use . overall a nice glove with good hand protection that i feel will handle anything i throw at they .
548	Gloves	POS	4	i recenly buy the glove to make my winter work easier . so far i have not be disappoint . i pour concrete with they and they prove to be waterproof on the clean up . they protect against the cold better than i expect . combine the warmth of a good winter glove and the toughness ironclad be famo for .
666	Gloves	POS	5	i be skeptical of these glove when i first buy they . but after use they for 3 month in demolition and frame i can say you not waste you money on these glove . they have yet to show any wear . i have even wash they and there better than new .
432	Gloves	POS	4	i have be use it for a month now , it seem pretty good , never buy another glove before . one thing though , buy one size up . i have small hand -lrb- not really small but just small -rrb- and i get the medium , it fit perfectly .
684	Gloves	POS	5	i wear these glove for work , where i be constantly digging with a shovel , pick , or bar and they be outstanding . they endure as long as any good pair of work glove should . i also use they to operate heavy equipment which require dexterity from a glove and they perform well there as well . more interestingly however be that i wear they skydive . while skydive it be necessary to use a glove that allow you to feel so that you can find you hacky use to deploy you main parachute ... and if necessary so that you may feel you emergency handle . it be also desire to have somewhat of a sticky texture for the very same reason , as well as to maintain a good grip on other skydiver when do `` relative work '' . despite the fact that these be `` fast fit '' they do not come off in the air , though they do allow i to remove they quickly if necessary . i have recently be jump in cold weather as well . i add silk liner when jump in cold weather but they be the only glove i can use with the liner and still maintain very good dexterity and feel , and be plenty warm when combine with the liner .
420	Gloves	POS	5	i order the g & f glove for my husband . they be leather and really sturdy , yet comfortable . additionally , they fit he hand ; many other glove do not . my husband and i recommend they .
417	Gloves	POS	4	in water aerobic , wear water glove with webbed finger amplify you effort . the speedo glove hold up well in chlorine . i like the velcro fastener at the wrist .
332	Gloves	POS	4	boy have i have a hard time find a pair of weight lifting glove ! my previous one be simple leather saranac glove , not much padding but they last for several year . the leather eventually rot out form huge hole . but i can definitely say that the saranac glove be awesome . now onto the replacement . i try four different type of glove . harbinger 143 harbinger 1260 harbinger 1215 big grip ii gofit diamond-trac the harbinger 143 glove be ok . they do not have too much padding , but fit very snug and be difficult to get off . also , the finger be short . the harbinger 1260 and 1215 be both unusable due to have too much padding in the palm and knuckle area . the padding be comfortable for press exercise -lrb- e.g. bench press -rrb- , but make it all but impossible to do pull exercise -lrb- e.g. pull up , curl , deadlift , row , etc. -rrb- . you can try they yourselve , but save some money and take my word for it . the gofit diamond-trac glove be the best of the bunch for my need . they have a little padding in the palm , but not enough to interfere with you grip . they be lightweight , so i be not sure how long they 'll last , but i 'll reserve judgment on that . they do make my hand sweat , because the neoprene on the back do not seem to breathe well . they run a little larger in size than the other glove . also , i like that they have a finger tab to help you pull off the glove . please be kind enough to indicate if review be helpful .
132	Gloves	POS	5	got these for my 7-year old son to have fun with in the pool . they be very cool and they be help he learn to swim better . not sure about the workout piece ... i 'll report back if my son sprout some muscle !
349	Gloves	POS	4	good product . do what it be suppose to do . only problem be that i purchase a `` medium '' since i wear a 7 glove . the glove run large and i should have choose a small . it would have be good to have size info
600	Gloves	POS	5	velcro closure tab make for easy on & off , last much longer than other brand and give good water resistance when exercise . best i have ever find .
