index	Domain	Label	Rating	Review
821	HomeTheaterSystem	POS	5	this unit be very easy to set up and so far have work great . the quality be much better than i expect . i live in a apartment and it sound great in my living room . i even have to keep the woofer at half power . i suspect it be make by the same people that make oritron dvd player , as that be what my parent have and they remote be almost exactly the same , and the onscreen menu feature exactly the same graphic . it be definitly not manufacture by koss , they must outsource or license they name for it . but it still be a excellent system . i use it for the radio as well as cd playback . however every once in a while it will skip excessively with cd 's , all i do be eject it , then re-insert it and it work perfectly . my friend pioneer do exactly the same thing . no , it do not have digital input , and it may not impress you audiophile friend , but it definitely do the trick especially for the price . i look at several other dvd players\/surround sound system for around the same price and the quality be definitely not up to the level of this unit . i would recommend this to anyone not want to shell out xxx$ for a `` name-brand '' system .
757	HomeTheaterSystem	POS	4	the sound be crisp and clear . love pandora and online feature . everyone that see and listen to my suround sound love it . good enough for a rm no bigger than 15x15 so you can truely enjoy the sound quality : but the sound carry much further than that . it be a xmas gift from my boyfriend and i love it !!
961	HomeTheaterSystem	POS	5	i could not use it to the fullest potential as i live in a apartment . i like it till now , i have flat screen tv never face any problem as they describe in other review for plasma tv 's . i like the look of it too , the tall boy speaker look great . i pay 410 $ and i be expect 50 $ back -lrb- 360 $ -rrb- . i feel it be worth the money . i rate it 5 star from experience .
881	HomeTheaterSystem	POS	5	this be a great little system for the price . i have to return the first one because i have problem with the tv cut out while the sound continue . i replace the hdmi cable think it could be they , but it only happen when watch tv , not while play the xbox etc. . after completely replace the system , i find it be actually the motorola cable box & this system comflicting . the problem be the motorola cable box drop signal every now and than , or the signal change . this cause the hdmi repeater on this unit to thing the system be turn off briefly and it try search the other hdmus connection for a signal . any hdmus repeater would probably have this same issue -lrb- unless it be a manual switch -rrb- the solution until motorola can get they act together be to run a hdmus cable directly to the tv from the cable box . then run the optical out from the cable box to this unit . it be not a ideal solution but it fix the issue . you can find out more about this problem by search news group . i be not sure if sony can fix this with a update or if it be a motorola issue . other than the video issue , this be a great product for the price . do not let the above issue scare you off , because this unit have enough port to handle alot of different connection .
233	HomeTheaterSystem	POS	5	this be the perfect solution for a mediumish room and if you do not want to run a bunch of wire . the integrate sub in the receiver be genius level . we use it in we upstairs live room just to give we a little extra umph for we movie while the kid watch they stuff downstairs on the big system .
602	HomeTheaterSystem	POS	5	this be how a movie experience should be , and for such a small price . easy to install , easy to operate , and the sound be magnificant . try watch gladiator on this thing , and you 'll think you be in the middle of the fight ... or sink with the titanic .  all this in a very sexy box . one thing to watch for , the speaker have 5mm thread , so you 'll need to make sure to buy the correct size bracket if you want to hang the speaker .
222	HomeTheaterSystem	POS	5	exactly what i be look for . great price , delivery and support .
325	HomeTheaterSystem	POS	5	i like dvd\/vcr combo for simplicity -lrb- one less remote to worry about -rrb- and want a upgrade w\/decent sound quality . the panasonic scht820v certainly deliver impressive sound quality ! physical setup be easy , the only snag be the discovery that you \* must \* use the include video cable to connect the main unit to you tv as the antenna\/catv cable hookup -lrb- unlike other system -rrb- only pass you antenna\/cable signal to you tv , \* not \* the dvd\/vhs signal . include speaker wire be refreshingly long -lrb- 33 ' for the 2 l\/r ss speaker -rrb- . picture quality be excellent on a std 36 '' tv -lrb- especially w\/the s-video hookup i use -rrb- and individual speaker delay\/volume be adjustable for personal preference . lot of feature list in the spec so no need to rehash they here but the 5 cd\/dvd changer be nice allow you to store a couple of music cd in the system while still loading\/watching dvd as you want . my only complaint be that the remote be a little complicated\/cumbersome to use -lrb- the manual answer all question -rrb- . i would have give this system 4.5 star because of this but to be honest this be nothing that a little practice will not take care of . i would buy this system again .
998	HomeTheaterSystem	POS	5	this be a great purchase to complete my home entertainment center . i have this hook up to a 37 '' vizio hdtv , my xbox 360 , samsung bluray player , and my comcast hd cable box . installation be very simple , plug and play . the set up take less than 5 minute to calibrate each speaker . i find this for 180 $ with free amazon prime shipping on amazon so i jump on it . one flaw , be i just wish it have more input . not too much of a hassle to change around a few wire before enjoy a few hour or more of entertainment . this system can get pretty loud if you want it to . you can manually increase the db of each speaker if you want . i increase the sub-woofer a few decibel higher than each other speaker because i tend to like more bass with my listening . i have not use it much for dvd playback because i own other item that do this . ipod playback via usb be integrate nicely . well build , feel well make . each speaker be fairly light , which make wall mount more appealing . this be the best system for the most bang for you buck , as a entry level system it be worth take a look at .
166	HomeTheaterSystem	POS	4	i use it in my bedroom and the sound quaility be much better than the tv speaker , the output be not too lound as use in a bedroom , the only draw back be it have no hdmus input , so you can not connect any hdmus device to it .
680	HomeTheaterSystem	POS	4	the product be awesome , no complaint about how it work and sound but be careful , this be not a 100 % wireless system . i think it be from what i read but ... surprise !! you will still have run cable behind you couch !
137	HomeTheaterSystem	POS	4	fairly easy to set up to play music , but when it come to hook it up to you tv or gaming system , that be where it can get a bit confusing . nothing i could not figure out though . this system be set up in my bedroom -lrb- 20x20ft -rrb- , it get very loud ; any louder and i would be deaf . the only complaint i have be that i can not get my center speaker to play . i have my ipod hook up and all the other speaker be play except for that one . that be the sole reason for the 4 star review , else it would be 5 star . overall , great sound system .
892	HomeTheaterSystem	POS	4	pro : easy set up . this be a great sound system . blu-ray playback work great . netflix work great . pandora work great . con : youtube be horrible . video quality be unacceptable and sound be delay at least a second as compare to video ; this make all youtube content unwatchable on this system . also since there be no keyboard it take forever to enter you search phrase in the youtube app . it will take you less time to hook up you laptop to a tv , and do a search on it with regular keyboard , than try to search for a particular video on this system .
