index	Domain	Label	Rating	Review
754	Dumbbell	POS	5	i love the sportblock . it be just the right size to do a variety of exercise and be relatively compact due to the square shape . these dumbbell be easy to manuever and the padded grip be comfortable . in my opinion , they be also the safest design of all the adjustable dumbbell and it be very easy to change weight . the only issue with these block be that you have to be sure to insert the pin level and the pin assembly right side up . if you do not , while it be unlikely something will go wrong , it can . however , there be also a elastic safety mechanism just in case . this would not help you in a overhead triceps press , but it be a very good design and a brief safety check before you do anything over you head will give you about as good a guarantee as you would get with any dumbbell use over the head . also , these thing be rugged and the weight range be good for most people , especially if you use they along with a stability ball . a book that cover some workout that be relatively inexpensive and well do be  weight on the ball workbook : step-by-step guide with over 350 photos  if you handle heavier weight than this , then you may not want to work on a ball . also , eventually if you be serious about bodybuilding or put on significant mass , you may want to upgrade to  powerblock personal dumbbell set  many people also like  bowflex selecttech 552 dumbbell
482	Dumbbell	POS	5	i love these weight ! - the price be right - they be comfortable to use - the stand be a great addition ! a little wobbly , but it get the job do . it be a wonderful storage for the weight . i definitely recommend these .
979	Dumbbell	POS	5	i use these in my indoor gym and the rubber coating protect my hardwood floor from scratch . i have the cap barbell weight on my barbell 46 lb . bar and they resist scratch on my floor as well .
241	Dumbbell	POS	5	i have search all over the place to find 4 pound dumbbell 's with no luck . the only drawback to this be that it be not sell in a `` set '' , you be pay for one dumbbell alone . i purchase two of they and also purchase something else so i could qualify for the free shipping . i be very pleased with my purchase !
205	Dumbbell	POS	5	i like the convenience and effectiveness of this simple work-out . i can pick it up and use it anywhere and feel great . the best feature be that it have improve my posture like nothing else have - after four spinal injure and other back problem , i have work physical therapy and other machine and have strengthe my back , yet this be the best ever for improve posture . i usually use it longer that the 6 minute , although it be good to start out that length of time . thank you shake weight !
511	Dumbbell	POS	5	like a lot of people here , i see this darn thing on tv and have to check it out . i think two main thing potential buyer want to know be a -rrb- be it junk , and b -rrb- do the darn thing work ? first , `` be it junk ? '' no , it be not a cheapo piece of exercise equipment that will fall apart the first time you drop it . it be actually make of a hard plastic , with metal end . so no , it be not a piece of junk , but rather a pretty sturdy dumbbell . will it last for year ? probably . also of note : the dumbbell do not have a motor , run on battery , or shake by itself - that be you job and how you get exercise use it . next up , `` do it work ? '' well , first you have to define `` work '' , which will depend on you fitness goal . if you be look to bulk up you arm , and really pack on the muscle , do not expect one five-pound dumbbell to make you look like the incredible hulk , or the guy in the commercial . it simply will not `` work '' for that purpose . -lrb- suggest  smokin ' hot gun !! : how a average guy can get big , muscular arm in one workout a week  instead , what it will most definitely do be provide exercise for you arm -lrb- and other muscle -rrb- , maybe add a little muscle if you be really out of shape , and tone they up . for these purpose , i would have to say that it do indeed `` work '' . i think most anyone who pick this thing up and shake it non-stop for 6 minute would have to admit they feel like they arm have get a little exercise in . sooo , if you be not look to get huge arm , but rather some decent exercise and arm toning - check it out , i do not think you 'll be disappoint .
347	Dumbbell	POS	4	first the stand be necessary addition to the selectech weight . it be attractive and useful . the direction be poorly write but the picture will guide you properly . the bolt be very difficult to screw in use the tool so have a socket set -lrb- socket must be deep -rrb- and good hex wrench available and you should have no problem .
733	Dumbbell	POS	5	i have be lift weight since my high school football year . these weight be by far one of the best i have use and be of great quality and reasonable pricing ! i would highly recommend this product to anyone !!
792	Dumbbell	POS	5	if space and simplicity be top priority , this be the set . i have gym equipment in the garage that be bigger and more ` manly ' . this set set in my closet and get i to do a few quick shoulder exercise ever few day . i find they to be plenty solid . in fact they be much better than the ` dial a weight ' set that i have try at hotel . and , if i can get sufficiently motivate while lift these , i will actually go to the garage and do a more serious workout .
500	Dumbbell	POS	5	this stand be the perfect height for average person to `` lift off '' the dumbbell . not only that but the unique design let you stand comfortably close to the weight so you can lift they off the stand with you leg ... not you back !
