index	Domain	Label	Rating	Review
567	Vacuum	POS	5	my daughter recieve this in a timely manor and she really like the sweeper itself ... i love that i could have it ship right to she house ... just make both of we life easier because she live like 32 mile away ...
542	Vacuum	POS	5	i love this little vacuum ! i work in a nursing home and we have a couple of they and we maintenance and housekeeping staff use they to clean in the little crack in doorway and such . for such a little vacuum , i think the price be a little high , but be a commercial hoover product and because the one at my work be definitely older model and still work great , i expect to get year of good use out of this little vacuum . the only problem i have encounter thus far be that i can not attach my miniature detail attachment to the hose , but i be go to rig up a adapter with some pvc pipe to fix that . other than that , i be highly satisfied and highly recommend !
441	Vacuum	POS	4	hoover portable vac be light weight and ideal for small cleaning job like carpeted step and clean out the car .
518	Vacuum	POS	4	we have have one for year , we need another one for the second floor as repeat haul up and down the stair have hurt the old one . i have purchase a huge stock of filter and bag for this model so decide to go with it - not to mention that it be still a consumer digest best buy . no issue whatsoever , it be probably a little noisy but we be use to it - have not owner another vacuum model in over 6 year . the additional accessory that have a roller attach to the hose be great for carpeted stair . you can not go wrong with this solid piece of machinery .
718	Vacuum	POS	4	this vacuum , because it be cordless , only run for a few minute before the battery be out . not much of a problem for i , as my family mainly use this to vacuum the car once in a while , but could definitely be a problem for people who think this would be a compact solution to clean they home . i have yet to be disappoint with the suction power of this vacuum , and can get it into most of the nook and cranny in my car . i be guilty of snack as i drive , especially when stick in traffic , and i be also a bit of a messy eater so there be almost always crumb and rogue cracker in my car . i love use this to vacuum the floor of my car because of its compact size , and i can easily move it from the front seat to back .
487	Vacuum	POS	5	i receive my vacuum within a week , but be not expect it until about two-three week , thanks ship service ! i love my bissel cleanview helix upright vacuum cleaner . i refuse to get a bag vacuum cleaner , it get pricy buy the bag over and over . it be so simple to just snap out the filter to this vacuum , dump it in the trash and rinse the filter . i highly recommend this vacuum . it have a long cord , and the power tool be great . great buy for the price you pay !
446	Vacuum	POS	5	i own a oreck for many year and love it . three month ago i purchase a shark navigator . i dislike it so much that i just purchase another oreck ... i love it . light weight , great suction , great on hard wood and easy to vacumn under furniture .
333	Vacuum	POS	5	i be search for a replacement for my kenmore cannister that lose its ooomph . after research consumer report i be just about set to buy the eureka 8340 series which be one of the top rate . after further research i find waay too many negative review in term of reliability and quality . make i wonder how this unit be top rate in the first place . one of the review mention the carpet pro series . it be supposedly make by the same folk as simplicity and ricarr . i have access to the simplicity upright and love it . after search the internet i find the best deal at allbrand direct . for $ 250 no shipping chg , they include 3 belt , 2 filter ,7 pc accesory set-15ft hose - bare floor , upholstery , ceiling , crevice tool and 2 extension . this be a great deal especially since i have stair to do . as for the unit itself = i buy the cpu-2t - 40ft heavy duty cord and 3 attachment - since i get sloppy and tend to run over the cord once in a while i think it be best to get this model - the 1t model have a light ,30 ft 2prong cord and no attachment . i have several pet - 3 cat and 2 dog and hair hair hair . i purposely leave one of my carpet alone until i get this unit . dont let the 10amp motor turn you off - as soon as i plug this in and turn it on , it practically drag i across the room - its not self propel but the brush be so good it literally will feel like its pull you . basically in 1-2 pass the room be clean in 3 minute app 10x12 . no effort be need to push and pull it . it be 18 lb and i have no problem carry it up the stair where it quickly dispose on loose kitty litter . it also have its own build in resettable fuse if the unit overheat due to clog or full bag . although there be no bad full indicator , from past experience you ; ll know the bag be full when you look at the carpet . i be totally please with this unit . its not overly loud in my opinion . forget all those bargain deal and buy this unit . this might be you last vacuum purchase , even though other unit be 15 inch , you 'll make it up with speed .
125	Vacuum	POS	5	i buy this vac last week . i charge it up a couple of time and use it to pick up cat litter , cat hair off a rug\/furniture , people hair , etc. . it work great . it make vacuum fun . i like how the caddy be attach to the vacuum and carry the tool with it .
20	Vacuum	POS	5	very flexible design allow you to get into very tight space . the suction create be outstanding for a 12v . compare to 120v hand held .
