index	Domain	Label	Rating	Review
442	Keyboard	POS	5	first off , i want to say that razer do a amazing job with this keyboard . everything with the keyboard be almost flawless . the only thing that i \* sort of \* dislike be the gloss finish around the body . it attract dust and finger print but i do not really mind they that much as i usually play in the dark . pro : on the fly macro recording . its simply amazing . fn + g. hit a key to record it to . type what you want to record . fn + g. and its save . you can also use the software from razer 's website to record macro 's and set the delay between keystroke . one really great thing be that the computer recognize the macro as individual action instead of a program interfere with you game ; this mean that you macro be undetectable in game and can be use in secure server such as vac and gamehack . cherry mx blue key switch . feel like sex when you finger hit one of these bad boy . there nothing else to say . simply amazing to type on . adjustable back-lighting : you can adjust the brightness of the key to whatever you want . you can even turn they off or set they to glow -lrb- although really annoying -rrb- . no more sore eye from you glaring keyboard . back-lit key : i can play in the dark ... sweet ! laser-etched key : unlike the regular version , this keyboard have laser etch key mean that they do not wear out . well they do , but unlike other key , they will wear out at the same rate as you overall key . this mean that you will never lose sight of the character on you key until it snap in half . mechanical : this keyboard may be the last keyboard you ever have . just like any other mechanical keyboard with cherry key on it , its rate for over 50 million key-stroke . compare 50 million to a conventional rubber or membrane base keyboard that usually have a maximum of 10 million -lrb- on a really good day . its usually around 5 million -rrb- . typing : you will enjoy typing , just as i be enjoy typing this review . some may claim that it will raise you word per minute but i think its largely situational . many people , like i , will simply enjoy typing on this keyboard . as we log more hour on it -lrb- because we enjoy it -rrb- , we 'll become faster at typing . aside from that , i do think that right off the bat this keyboard do increase you typing speed a bit . i switch from a membrane keyboard and use to type at about 80 wpm . when i switch to the blackwidow ultimate i start typing at around 90 wpm . now i be up around 100 wpm . media keys : great for when you be gaming because you do not need to tab out of the game . quick note though . the media key will not work for itunes . the way you can fix that be by search in google : `` razer blackwidow itune support '' . click on the first link which should take you to razer support . from there they will direct you to a website which will show you how to slightly modify you itunes so that it will work with you keyboard . this problem do not only occur with the blackwidow . the procedure take about 2 minute , 5 minute if you be retard . all it require be you to download a small file , create a folder , and drop the file in . construction : key be mount on a metal plate . all the wire be glue twice , then tie to the inside for maximum security . come out the keyboard be a 1\/4th inch braid cable contain the usb pass through , keyboard usb , audio pass through , and microphone pass through . the cable be plenty long so do not be worry about reach the back of you computer unless its in a different room . the keyboard be pretty heavy and have good traction . even on my slippery desk the keyboard refuse to budge without considerable effort . overall : i love this keyboard . there not much else i can say .
331	Keyboard	POS	4	when i find out my friend spill a drink on she laptop and ruin it , i purchase one of these . very light and it fit the key so well i do not even notice it anymore . only problem be it do not cover the speaker portion on my macbook on the right and leave side of the keyboard . other than that , it fit and cover the keyboard completely and the price be great !
781	Keyboard	POS	4	this keyboard work well at chairside in my orthodontic practice . it be compact and the trackball be convienient -lrb- no mouse -rrb- . i have 18 of they . some be 2 year old ; of they , about 4 have die . for they convienience and at the price , i consider they disposable . i keep some on hand should one go down . battery life be ok , not great .
882	Keyboard	POS	4	the delivery be within 7 day with free shipping . keyboard sync 's up ok , sometimes it take awhile . it have only have one position for the ipad2 to sit . when the ipad2 sit face down it go into sleep mode but no-way to lock it in close position so be careful not to drop ipad2 . keyboard structure seem sturdy and key take time to get familiar with . for less than $ 30 , it be a good buy . just get it so i will find out how long it will last .
812	Keyboard	POS	4	i purchase one of these after have the g19 for about 2 year before a few of the g key start stick and not work . they be both very close in design with a few exception . this g510 have a slight more `` rough '' feel of plastic on both the wrist guard and the key . the g19 have a smooth wrist guard and smoother plastic key . the key on the g510 however have more a `` solid '' feeling to they . the g19 feel like the key would `` wiggle '' in place a little bit , while the g510 feel more sturdy with the key . of course the g510 do not have the usb port which be not that bad since i never use they and all they do on the g19 would heat up the part where the usb port be when it be on . only complaint with the key be the space bar , it have to be press all the way down or or wont read the keystroke . if you just lightly tap the space bar with you thumb , you will be find yourself miss a lot of space typing on this keyboard unless you correct you typing . the headphone and mic jack work , however i do have a few complaint about they . with no headset plug in , the volume wheel control system volume . however if you plug in a headset to the port , the keyboard basically `` load '' the driver for it in windows and it basically become like a second sound card . however if you unplug the headset , it `` unload '' the sound card from the system . this would not be a complaint except the volume wheel control the headset only if it be plug in . so because i leave my headset plug in all the time , the wheel become only useful for the headset 's volume , not external speaker . as for the lighting , this be where it have lose 1 star . the lighting be much dimmer compare to the g19 and also the g13 game-pad . i still use the g13 game pad and the screen and key on the g13 be about 1\/3 brighter then the g510 . because of this , the key compare to the g19 can sometimes be hard to read in the light . it still can be see well in the dark but it should not be dimmer then a previous model , if anything they should have make it brighter . the layout and extra g key be nicer , much better then the 2x2 design that be on the g19 . the g19 the key go 1,2,3 . . in a vertical fashion which i do not like . the g510 correct it by make they horizontal , which be easier for the brain to remember in the heat of a battle in a game . i do not feel like put $ 160 for another g19 , and i do not much use the color lcd screen much , a monochrome one show the same basic information . the only downfall be the dimmer key compare to the g19 . let we just hope that this keyboard will not start get sticky key like the g19 do .
150	Keyboard	POS	4	i like the action of the key and button . the mouse and keyboard have battery install . the kit work right out of the box , with no configuration issue . plug and play . i give four star instead of five because the mouse , while very good , have only two button and scroll wheel . more button for other function would be nice , but for price , it work just fine for my need . the mouse glide smoothly on my laminated desk surface with no mouse pad under it . keyboard action be quiet . the extra function button be a good addition . keyboard be very light . this combo unit replace another logitech wireless combo that finally `` retire '' long after the warranty expire . : -rrb-
375	Keyboard	POS	5	if you miss key or yours just plain be not work this be right up you alley get this product asap .
855	Keyboard	POS	5	keyboard be a funny thing . you pretty much get use to what you have , and change be difficult . my current keyboard have key hat be stick and not work , so i need a new one . i love the idea of a backlit keyboard , as i work a lot of night and my desk be in a dark corner . i order this keyboard and have to say that i love it . it be very comfortable to use . the key be very quiet and easy to type with . i love the backlit keyboard . overall i be very impressed with this item and would definitely recommend it .
886	Keyboard	POS	5	i be send this keyboard via the vine program and love it . i replace a older logitech mac keyboard with this one and will not go back . the kicker for i on this keyboard be that i do not have to worry about replace battery ... the solar aspect of this keyboard allow it to recharge via light from the window + normal room light . great keyboard .
694	Keyboard	POS	4	i really like my keyboard skin cover for my macbook pro 13 late 2011 design . it fit perfectly ! unfortunately the letter on the key do not light up , but it the light that shine through the clear silicone be sufficient for i to work in the dark . only problem i have be that my order be lose in the mail , but the seller be there to help i out in a jiffy . thanks a bunch , it be greatly appreciate !
300	Keyboard	POS	5	amazing keystroke ... super solid high quality aluminium construction . i buy two of these . best keyboard i have ever have . well worth the money !
387	Keyboard	POS	5	i get this a replacement for another keyboard that die on we . we have only have it a few week , but no complaint here . it work well and do not feel cheap .
680	Keyboard	POS	5	i order this product for a resident in a nursing home who do not have any finger . he love this product i wish i could afford to purchase thing for other resident who have no family but sometimes they just love have the company of other to talk with try vist someone in you area it will not only make they day but you will feel better about yourself also . : -rrb-
