index	Domain	Label	Rating	Review
262	Sandal	POS	4	this be my second pair of rainbow -lrb- the first pair be premium leather , and i do not know that if they get wet , you have to dry they immediately - so they start to get pretty gnarled -rrb- . these be great , durable sandal - great for school , since they dont require you to take they off if you have to walk through water . they do hurt you foot for the first few day , so i break they in via many short trip in they , not one whole day , which i do in my leather , which make my foot feel like s \*\*\* ! the one i buy be black , so they dont show dirt as easily . i do miss the different color rubber on the side , but that minor . plus , theyre cheaper and more `` eco-friendly '' than the leather !
696	Sandal	POS	5	big fan of the flop . give they a little wear and they form to you foot perfectly . very glad about this purchase .
717	Sandal	POS	5	this be absolutely the best casual shoe i ever buy . the genuine light brown leather with saddle-type stitching be extremely stylish and the comfort be second to none . timberland hit a home run with this shoe -lrb- i only wish they make the same exact style in black -rrb- . we local macy 's department store have one pair leave and price at $ 100.00 , so this purchase at $ 79.30 be right from the begginning !
462	Sandal	POS	5	this be a great pair of reef flip flop . 2nd pair of reef i have own after wear sperry 's for year . love the reefs . the fine leather on the sole feel good on you foot and they do not make you foot sweat . all the report of comfort be right on . live in florida and wear shorts and summer clothes 9 month of the year , i wear flip flop a lot , to the beach , on boat , out and about , i love they . i would highly recommend they .
137	Sandal	POS	5	got these for my boyfriend & he absolutely love they ! comfortable , sturdy , and great for hike around red rocks .
78	Sandal	POS	5	i be a camper , bike rider and kayakar . most of my weekend i spend in various national park across nsw , australia . originally i buy a pair of hus tech and then a pair of salomon for my january break . the intention be to carry just one pair of footwear that will be versatile enough to tackle mountain , bushland , marsh , sand and salt water . the hus tech one be light but not tough enoguht and no toe cover . the salomon -lrb- techamphibian 3 -rrb- be a little too harsh i.e. not cushiony enough in the inside cause i a little blistery . then this keen newport one arrive out of the blue , 10 day earlier than the expect delivery -lrb- thanks amazon !! faster than most aussie online store -rrb- . excite i put the pair on and literally i have not take they off over last three week . the pair hug my foot through a 150km rugged mtb trail between ulladulla and jarvis bay -lrb- nsw south coast -rrb- multiple surfing and suping trip to the beach and lake , shopping centre , really wet tent setup and pack up . this pair literaly hug my foot . neoprene interior be nice and comfy and i could wear it despite 3\/4 cut -lrb- from snorkele in shell infested bay -rrb- on my toe -lrb- with bandaid of course -rrb- . the sole be tough and structure like my shimano bike sandal and the grip\/traction be excellent !! i do wear it at work -lrb- legal due to toe cover -rrb- in very hot australian summer day -lrb- mercury hit 47 last week -rrb- . my female camper colleague be so overwhelm by my constant eulogy of keen newport that she order a pair from amazon last week . i strongly recommend this pair for all-terain multi-outdoor activity .
965	Sandal	POS	4	these be my favorite shoe . comfortable and they grip well . they seem to last a season be use regularly in the sun and water . for the price i would like to see they last a little longer but i like they enough to keep get they . i also notice -lrb- as everyone else do who be close to i -rrb- that they can smell pretty bad . when i be in and out of the water a lot it do not happy but wear they on land only for a few day they start to smell .
165	Sandal	POS	5	the keen h2 newport be probably the most comfortable sandal i have ever worn . the fit be perfect -lrb- note : keen site say this model run about a half-size smaller than list . -rrb- since i want the sandal for beach and wet-wear , i get my regular size and the fit be snug but perfect for water wear . look forward to get they wet in the caribbean soon .
877	Sandal	POS	5	the inside sole of this shoe feel like suede and be very soothing to the foot , along with the support contour that i need . i prefer the birkibuc to the suede strap because bircubuc hold its shape when the shoe be off so you can slip you foot right in where suede collapse and you have to wriggle in . i be not crazy about the color -- it be kind of a stone cold gray and i would have prefer some warmer brown tone -- but i have already exchange the shoe two time and do not want to do it again . but for comfort i be completely satisfy .
174	Sandal	POS	5	i be a repeat purchaser of birkenstock footwear and find they to be extremely comfortable throughout the year . the company i order from be extremely efficient , the product be as advertise and the shipping arrive two day earlier than project . i would buy again from this company without hesitation .
