index	Domain	Label	Rating	Review
624	Sandal	POS	4	i like 'em . i love 'em . i want more of 'em . just really hard find the right size when a 10 or 10.5 should be common . carl
442	Sandal	POS	5	i order the sprerry , santa cruz for my husband because its the only flip flop he like . they be durable and look nice with any causal clothing . he take a size 15 but the 14 fit he fine which mean they probably run big and you should size down . when these wear down probably in around 5 year i will buy he the same pair .
980	Sandal	POS	5	i have just order my 3rd pair in 5 year all of which be still in great shape . i have 1 pair for rough usage , water etc. , 1 pair for go out to the mall etc. and have just order a pair to enjoy indoors . they be durable , look great , and super comfortable and wear well . hope sperry keep these in production ... best sandal i have ever own !!! fit be great and they be tough as nail but always look great .
1	Sandal	POS	5	i have be wear these sandal for at least 30 year - i be so happy when they come out with a soft footbed !
260	Sandal	POS	5	love these sandal . my son be grow up in these , and adore they . so do i ! the medium arch support be perfect . the material do soften with use .
241	Sandal	POS	5	sell go well fast delivery . i would order again . rainbow sandal be the best ! i have buy a few other but always come back to the rainbow
306	Sandal	POS	5	product be as advertise in every way ! 14-d be what i order and that be what i receive . well construct , very light , fit great . i have receive several very positive comment from friend . i do not usually write review on anything but i have to about these . you can not go wrong . g. s. grand rapids , mi .
225	Sandal	POS	4	i love the comfort of birkenstock shoe . these have not disappointed i . i get they in timely fashion and i expect they to last as long as my last pair ... which i still use .
122	Sandal	POS	5	these be my `` go to '' sandal . always by the door for outing or just a quick trip to the bank . comfortable as always and cute .
439	Sandal	POS	4	these be nice shoe , good birkey quality . but they really do run big . i wear a us size 6 and even the size that be suppose to fit size 5 be still too big for i . order down !
337	Sandal	POS	4	we have to exchange another pair as the 10 do not fit properly . these be a great option for the new pair .
729	Sandal	POS	5	these be very comfortable sandal after break in . you need some time to make they fit , so do not buy a pair for tomorrow 's beach party . strap be very tight in the beginning . you may think they be impossible to wear tight . i recommend to get a pair in advance and wear they around house 'til they fit . i would say it 'll take about a week to make they comfortable to wear . but after they become yours , you feel like they be tailor make for you .
93	Sandal	POS	5	these sandle be for my daughter . she love they . last year she have the regular one . she love the soft bed on she new one . we definitely recommend they .
641	Sandal	POS	5	i recently purchase some of the `` keen newport h2 sandal '' , and i think they be the greatest ! i wear they almost every day . they truly be extremely comfortable and so versatile i can wear they to work , to the park and in wetland . i recommend they .
550	Sandal	POS	5	this shoe be good support and very orthopedically correct . i buy a new pair every year . i wear these sandal year around .
230	Sandal	POS	5	the amazon.com birkenstock arizona soft footbed sandal be exactly what i expect . the black color be deep and rich . the shoe fit like my other soft footbed birkenstock . the fit be perfect , price be good , and shipping be fast . no problem , great decision .
478	Sandal	POS	5	i buy my first pair of birkenstock sandal about 4 year ago on sale at the mall . they be the gizeh model , very cute . they eventually mold to the shape of my foot and become my default shoe ever since . eventually i wear out the sole , and now i be even wear out part of the cork , so i decide to buy a new pair . -lrb- i know i can get the old one repair , but i really want a pair of arizonas as well -- plus if i repair the old shoe without have a new backup pair , whatever would i wear ? -rrb- when i buy my first pair on amazon i have no idea about the different width -lrb- narrow vs. regular -rrb- . i do not even pay attention to what my old sandal have say , whether the little foot icon be fill in -lrb- indicate narrow width -rrb- or just a outline -lrb- regular -rrb- . and now all the writing be wear out in they , so i can not tell either way . i figure since i be a regular width in everything else , i 'll buy my usual size -lrb- woman 's 7.5 equal 38 in birkenstock -rrb- . so i buy a 38m at first , but that be a mistake . they be so wide on i ! and i do not buy narrow size in any other shoe . so i instead go for a 38n -lrb- which if i have read , be suitable for a-b width , and most woman 's shoe be b width -rrb- . they be perfect ! as soon as i try they on i love they . the synthetic birkibuc material be comfortable and stylish , and the stone color go with anything . my coworker even think they be leather ! and now i can totally rock that `` hippie sock with sandal '' look . so fashionable .
771	Sandal	POS	4	i have not have my keen newport h2 sandal very long , but so far i be really impressed with the comfort . they fit my wide , size 13 foot very well . yes , you can wear they hike . i test they out on a trail that include asphalt , boardwalk , fine gravel and rock . the keens do great and stay comfortable . i realize later that i be get a small heel blister , but i have not adjust the fit on that foot quite right - and i run a asphalt section of trail just to give they a good workout and they never feel uncomfortable . i can confirm what other reviewer have say - that when something get stick in they you pretty much have to take they off to get the debris out , and they be slippery on wet rock -lrb- the main reason i give they four star instead of five -rrb- , but overall they do great . i walk through a wet spring and they dry out quickly . i have not have they long enough to tell if there will be odor or durability issue , but so far i really like they and would consider other keen product .
415	Sandal	POS	5	rainbow sandal be by far and away the best sandal in the world . this be my third pair to own in the last 5 year and the only reason i ever have to buy new one be cause i finally wear through the sole . i wear these sandal all day , every single day during the summer , and for we texans , we summer be about 7 month long so i wear they a ton . in the past , i have have to `` break in '' the sandal because they be make from such sturdy leather , but with these premier leather one they be comfortable from day 1 . i will not ever buy another pair of sandal .
124	Sandal	POS	5	i be first introduce to sanuk through my daughter who surf and if familiar with all of the `` fashion '' . she want a pair of the donna 's for christmas and i start try on some of the man 's sidewalk surfer while she be out try on other clothes . i like the suv due to the thicker tread that i think would last i longer , but , after go to all of the surf shop in and around dana point , san clemente , laguna beach , i could not find the suv in size 12 . i be a little nervous at first to purchase something online that i have not try on first , but this amazon company have a good return policy . try on other sidewalk surfer , size 12 seem to fit the best so i purchase they . they come as advertise , new and in perfect condition . well package , so i be very pleased with the low price , low shipping cost , return policy and a quick delivery . once i try they on , they fit like a glove . these be the most comfortable `` shoe '' that i now own !!! i wear they everywhere now . i actually do wear they to work so i need to get some thin nylon style black dress sock . the sock be hide under the levi 's , and i do recommend sock for work . there be no `` break-in '' period as with regular shoe , so they be good-to-go right out of the box . i have a pair of ocean minded -lrb- rainbow-type -rrb- sandal that have the same sole material that have last 3 year now and be just now start to wear thru to the foam underneath , so i suspect the sanuk suv 's will last double that due to twice the material in the sole . if sanuk really want i to do a thorough product review , i be more than happy to receive a `` comp ` ed '' pair . : - -rrb- anyway , i be very happy with the purchase of these . they fit great and i be look forward to they last a long time !!!
935	Sandal	POS	5	this my second pair of birkenstock sandal in the last 6 month . these sandal be so comfortable that i buy another pair so i would have a spare pair . i be over 65 year old and i hate that i be just experience the comfort of birkenstock . i wear a narrow in shoe and the birkenstock narrow be great ! love the comfort of the soft footbed . highly recommend !
987	Sandal	POS	5	i have purchase a total of five pair of this sandal over the year , and i have two still new in the box . i live in annual fear that sperry will discontinue they . the cushy , just-right footb as well as the overall comfort and durability make these sandal a great value . they can be worn every wake minute even while walk great distance in total comfort . i always order my actual shoe size and get a perfect fit . hooray for sperry in keep old fashion , make to last value in a product that be a great performer .
949	Sandal	POS	5	the sandal be exactly as describe . i have be want to try the soft footbed since it first come out . i be happy to report they be more comfortable than the regular footbed . my local shoe store do not carry this style so i go to the internet . they arrive quickly . while they fit , i think i would go with a 41 next time as that be a true us sz 10 . i order base on another pair of arizona sandal i own .
140	Sandal	POS	4	great sandal ! there be a breakin period but once you get over that they be great .
287	Sandal	POS	5	i purchase a pair of these in 2004 -lrb- it be now 2012 -rrb- and the strap between the toe finally break . i would wear these for about 6-8 month out of the year . the only reason they break today be because i be out in some really sticky and deep mud and the suction from i pull my foot out finish they off . they be very durable as i have be hike with they , and have wear they as rigorously as any shoe . i just purchase a new pair . i remember the break-in period to be about 2 day -lrb- form the leather in between the toe -rrb- and they will float in water and water do not ruin the leather in any way that i can think . best of all these do not leave any black stuff on you foot !!
504	Sandal	POS	5	this be my first pair of sandal from keen . i have a wide foot and be skeptical i would get a good fit . they be the best sandal i have ever own . thank you keen and amazon .
928	Sandal	POS	5	these be some of the most comfortable shoe i have ever own . great for walk , hike , etc. . . highly recommend .
787	Sandal	POS	5	over 30 year he have be wear this style of birdenstock 's and just like the first year , he say they be instantly meld to he foot . so not only be the comfort level begin the first time he wear they , but we know with certainty that the quality of this product will have they last a very long time . cm
163	Sandal	POS	5	i have worn birkenstock for year now and of course my foot love they . i have issue with plantar fa . if i do not regular use my birkenstock . once i be back in they , after a few day my arch do not ache .
216	Sandal	POS	5	durable , good look and extremely comfortable -lrb- after a one to two day break in period that any good leather shoe will have -rrb- . these be simply the only flip flop that i will wear . the cushioning be good , you probably do not need the one with extra heel cushion unless you just want a slightly elevated heel .
821	Sandal	POS	5	i have be wear this sandal in another color for a couple of year and love it . i be happy to find this color to add to my collection at a great price . keen be seldom find at a discount .
136	Sandal	POS	5	this lovely , high quality sandalwood soap by caswell-massey be make of natural , vegetable base product . the soap be triple-milled which mean that the soap be very hard and will last a long time . the lather be mild and creamy , leave the skin lightly scented with this special sandalwood blend . this be the larger size which be refer to as the bath soap . it be darker and have a wood grain appearance . the bath bar be larger and weigh 5.8 oz . they also carry a smaller size hand soap . it be light tan and come in the 3.25 oz -lrb- 92 g -rrb- size . i have use the hand soap as bath soap and can not tell the difference -- the scent and soap quality be the same . caswell-massey 's line of sandalwood product have be a favorite of mine for many year . the scent be so wonderful i use bar of this soap in my clothing drawer to infuse my clothing . while this blend may use other ingredient to create the blend the primary scent be the characteristic sweet woodsy fragrance of sandalwood . sandalwood be the name for a variety of tree -lrb- 19 -rrb- in the genus santalum . true sandalwood come from hawaii , australia and india . the essential oil be very expensive and the quality vary accord to the age of the tree and the species . it be naturally antibacterial which can assist in keep skin clear of blemish . the sweet woodsy aroma be calming and be use in ayurvedic medicine to treat anxiety . caswell-massey be america 's oldest apothecary establish in 1752 . they be well know for provide luxury personal care product . george washington and john adams figure among they early clientele .
430	Sandal	POS	5	this shoe fit and perform well . i highly recommend this for all around wear . excellent casual appearance . appear to wear well .
396	Sandal	POS	5	i have be a loyal birkenstock owner for year . as a kid grow up in portland , ore. , birkenstocks be the only way to go ! this be my third pair of arizona soft-footbed sandal ... it be not so much that they wear out as that , live in warm , humid florida , i find they get funky and grimy over time , and need to be resurface or retire . for the soft-footbed pair , resurfacing be almost as expensive as a new pair , so i just buy new . if you have never own a pair of birkenstocks : they feel great as soon as you put they on and the cork begin to conform to you foot within a matter of day . within a week or two , you will not want to wear anything else . the toe bar help keep you toe in position , and the cup for you arch be comfortable even for someone almost completely flat-footed like i . they 'll slip around on you foot a hair while you be walk , but if you find that it be more than a little bit , you may want to get a narrower pair . if you be wonder about the soft footbed vs. the regular footbed : i find that the soft-footbed be , obviously , more comfortable . they be better suit to wear barefoot , where the classic footbed may be for oregonian and german who like to wear they with sock . : - -rrb- on the other hand , the soft footbed get funky and need to be clean a lot sooner . my only complaint about the arizonas be that the strap over my right foot be a little too loose , and can not be make any tighter . i take they to the cobbler and have he punch a new , higher hole in the leather . these be wonderful sandal . i would not buy anything else .
781	Sandal	POS	5	this be the fifth pair of these sandal that i have own in the past ten year and i find they to be outstanding . they be comfortable , easy to walk in and keep my foot cool . i wear these sandal almost exclusively on we trip to europe every year and they be outstanding travel footwear . a slight problem be that the velcro fastener tend to wear out and they become a little hardus to fasten , but by the time this become a real issue , i have usually wear they out . i keep hear that this model have be discontinue , but i can always find they somewhere ; the last two pair be purchase from amazon , with free prime shipping .
639	Sandal	POS	4	cinch tight and my husband get a blister . once he keep they loose he do not have a problem with they .
731	Sandal	POS	5	my first pair of the keen sandal , i love they . they be very comfortable . i purchase they through amazon at a very reasonable price , they usually cost in the hundred dollar range . that be all i have to say about that !
