index	Domain	Label	Rating	Review
260	Magazine_Subscriptions	POS	4	this magazine be and will be invaluable to i and my family for year to come . but , it do lack important and specific information regard international adoption , which be how we become a family , via china . it be very slant to domestic adoption .
380	Magazine_Subscriptions	POS	4	i have be read asimov 's for a number of year . i may not always find all of the story to my taste , however i enjoy the opportunity to read genre that i might not otherwise have read and it have help i discover author that i would have otherwise miss . overall , it be well worthwhile .
707	Magazine_Subscriptions	POS	5	national geographic magazine be the only magazine i like -lrb- i usually read only news and book -rrb- . other scientific\/geography magazine still can not surpass the fabulus article , picture , and map . if you like geography , enviroment , and wildlife article -lrb- and picture -rrb- , than subscribe now ! the article be in depth and accurate . do not just stand there people !! subscribe this magazine for you friend or family -lrb- as gift -rrb- or to yourself . you will not regret it -lrb- unless you do not like geography magazine -rrb-
777	Magazine_Subscriptions	POS	5	i dont care if it be for fourteen year old , this magazine rock . it have all the inside info and have awsome poster , door hanger , fake tattoo and star , star , star . it tell you about everything and its the only magazine that have special article for star . who care if you 12 or 11 this magazine be for everyone . i love the game about you favorite star .
928	Magazine_Subscriptions	POS	5	i order it as a birthday gift for a 11 year old boy , he love it ! it be great for child \/ adult interested in history and geograhy .
886	Magazine_Subscriptions	POS	5	once upon a time in the sf world there be only novel . then come editor john campbell and do he manage a field of great author ! asimov , heinlien , clarke , and many other grow up under he .  in we modern era , science fiction have once again fall prey to 10 novel fantasy series and the -lrb- ... -rrb- empire of star wars and star trek book -lrb- i hesitate to call they novel -rrb- .  asimov 's science fiction be the bright shine light where fabulous sf be be write by writer that have not sell out to the motion picture megabuck . not that these story would not make great movie , many would , but editor gardner dozois demand excellence and get it .  the writer in asf write sf the way it should be , with the science of today extrapolate into the future .  way to go and suscribe to this magazine
579	Magazine_Subscriptions	POS	5	be widow with very limited financial resource , national geographics be one of my little luxury . it be due for renewal , thanks to amazon i could do that at a affordable price and do not have to discontinue it . i truly enjoy this magazine .
75	Magazine_Subscriptions	POS	4	i be one of those people who love spoiler , the more the merrier . if anything , i think it could use more spoiler , and less article about they and they house , or thing like that , lol .
48	Magazine_Subscriptions	POS	5	very good magazine ; keep you up to date . photography and article be outstanding and not fluff !! ~ i recommend it highly
558	Magazine_Subscriptions	POS	5	this be a great magazine to come up with interesting idea to implement in you house . most of the item advertise be a bit expensive , but for the most part it be a great read .
85	Magazine_Subscriptions	POS	5	how can i contact this magazine ? need to know which magazine i m get . that be the only thing bad i find out .
408	Magazine_Subscriptions	POS	4	i love the magazine , but once you subscribe ... you get inundate with all kind of offer . i feel like the magazine be a gimmick to get i on they mailing list ... and all they friend . i finally have to quit take it ... then all the other offer stop .
683	Magazine_Subscriptions	POS	5	no doubt this be one of the best nature magazine . it be the family collection that grow and grow in the basement , and it be always good for give it a look , even those 70 's and 80 's issue . but the best be the map . everytime i grab one issue , the first thing i look for be if it have map in it . they be great , well draw , reliable , etc. 5 star for the map .
160	Magazine_Subscriptions	POS	5	if you be use to copy you look from ethan allen catalog , dwell be not for you . if , on the other hand , you enjoy free range creative design that explore new material and constantly work outside the box , you 'll love this magazine . if i have any reservation at all , it would be that sometimes they skimp on the technical detail and lean towards shorter article . you be still only spend $ 20 . a year for thousand of dollar of inspiration as a alternative to mcmansion design .
592	Magazine_Subscriptions	POS	5	strangely , 2 arrive at the same time - i subscribe in early january and receive , at the end of the month , both the january and february issue . hey , can not complain - gotta love national geographic . it seem like other subscriber through amazon have have some bad experience , but no complaint here . look forward to peruse through the beautiful image and expand my perspective .
12	Magazine_Subscriptions	POS	5	i have read issue of national geographic that date back to the last century . in those early time the article be often more sterile and factual , but still just as interesting . in many case those article be more interesting today , because we see the world of then through the eye of the relatively objective viewer of then .  geography cover more than just land mass and forest . national geographic be not about `` national , '' it be about we entire universe ; national geographic refer to `` the national geographic society , '' rather than the breadth of coverage . in the decade that i have be read national geographic , article have cover everything from the earth 's core , to the deepest ocean , to the people live on the land and the land itself , the mountain and sky above we , and the whole universe . warning : if you be a creationist then i would avoid this magazine .  the breadth of the magazine be well match by its depth . articles in the last decade have cover gene , atomic science , microbial life , how remote sense technology work , laser , frequency , such as those that make up color and the all the invisible spectrum , and so many more that it be impossible to list they in a 1000 word review . virtually every major issue possible to be cover that be related to geography have have at least one article in geographic , and thousand of not-so-major issue . there be even a article on holography !  the core of the magazine be still geography as we grow up believe geography to be . there have be article on lake baikal , a wonderful trek through the still wild and swampy jungle of africa , excellent article on cave and national park of all nation , glorious color picture of undersea life and animal of all shape , size and description , and the ever popular insect and arachnid , to name but a fraction .  national geographic have always be famous for the picture . a recent addition to the magazine have be a brief article describe a picture that do not quite make the cut for a featured article . the brief summary explain why the editor , writer or photographer be enamor of a particular picture , and why the picture be not use in the article . this article provide a wonderful insight into the marriage of photography and prose for each article in every magazine ; a primer for would-be editor .  while national geographic do have a environmental lean in report , it be remarkably balanced . the need of affected population such as fisherman , farmer , and people in general be report alongside commentary on how people have damage a ecosystem or cause the extinction of another species . there always seem to be a note of glee when the need of ecology and the need of people be in balance or when people have benefit from improve or guard a ecosystem .  there be few adult magazine that i feel be sufficiently balance in they reporting that i be comfortable provide unlimited access to child . while there be occasional article that be quite bloody , which be to be expect when deal with human and animal , the blood be real and not stage . while i would not expose a very young child to such imagery , older child need to learn of the reality of the world . i remember when i be first expose to national geographic 40 year ago i find some of the image disturbing , but those same image help prepared i for some of the harsh reality of life outside my home , my city , my country and even my solar system and galaxy .  national geographic have be a important magazine in my life for about 40 year . i be fortunate to go to a high school with magazine that date back more than 70 year , and spend many free hour read those old magazine , with all black and white photograph . what a incredible perspective this magazine give we on the world and how we and we knowledge have change in the course of the last 100 year . what a wonderful way to discover those change . this excellent and educational magazine be for those interested in people , science , geography , the world , and the universe .
503	Magazine_Subscriptions	POS	5	this be the best ever magazine in all field ... though they be get mean nowadays and reduce the number of page per issue !!! it be really a great reading from cover to cover ... everybody must get it !!!
522	Magazine_Subscriptions	POS	5	i remember flip through the page of the national geographic magazine as a young girl . i be always fascinate with the impressive photograph of the magazine . even now , the magazine never fail to enlighten\/shock\/surprise i with its contents & visual .
200	Magazine_Subscriptions	POS	5	this be one of my favorite magazine . if you want to understand what be go on in the country and the world , you should read harper 's every month . gutsy , fearless reporting . if you be look for more than corporate - speak reporting and analysis in a magazine , you should subscribe to harper 's .
69	Magazine_Subscriptions	POS	5	bird watchers digest be in my opinion a must have magazine for anyone that have any interest in bird . from the backyard feeder to the world traveler observer , bwd have enough content in all area to satisfy anyone particular interest , on any level . there be even a regular section in each issue dedicate to back yard birding . it be not a magazine that be at all snobby and consider back yard novice peasant . on the other hand , it be also a very technical and educational periodical for those that be advance enough to actually take advantage of the many world wide travel suggestion and deal that be offer throughout the book . i first pick up some bwd back issue on ebay and enjoy it enough to order a regular subscription . i be particularly impress by its compact size , similar to reader digest . it can be easily carry along in a purse or bag for travel , and of course it make a perfect addition to you bathroom library . the only caution that i would suggest to anyone that decide to buy a subscription be to pass on the offer of the digest newsletter that you can subscribe too for every other month that bwd be not offer . at $ 16 a for 6 issue it be not worth it at all . its a very thin , -lrb- about 10 page -rrb- pamphlet style publication that have as many ad in it as helpful info . its a rip off in all honesty . i let my own subscription to it lapse after the first year . you be much better off subscribe to the bwd email that be send out periodically that be free , and load with article highlight and helpful info . overall i highly recommend bwd for all bird enthusiast on all level . i think you will find yourself look forward to each and every issue ...
727	Magazine_Subscriptions	POS	5	i have be as subscriber to this magazine for year and always appreciate the quality and article contain in this publication . the photography be awesome and the article be always interesting and well present . you can put a cover with tom selleck on it on my coffee table any day !
416	Magazine_Subscriptions	POS	4	this magazine be extremely well design , produce and it be content be intriguing . i would have to admit , this be pretty much gq for home renovator , meaning , most of we will never ever have enough money to buy even a faucet from any of the design . as a graphic designer i have to say this magazine be one of my favorite to just glance at . every picture be amazing , every page be well design and lay out . the content be well write . the material use wreak polish and quality . it be not the magazine fault i be poor , but its image of extreme opulence remind i .
832	Magazine_Subscriptions	POS	5	my kid love get national geographic . my daughter love read about all the different place and look at the picture .
971	Magazine_Subscriptions	POS	5	natl geographic never disappoint . i usually read it all the way through . the only complaint be i wish it have more article !
67	Magazine_Subscriptions	POS	4	after read the heavy , intense work of apologetic like scott hahn and karl keating , not to mention intelligent and theologically strong writer such as patrick madrid , `` catholic digest '' be a nice step to the lighter side . yes , i 'll admit that `` catholic digest '' do not have the hardest hit article nor do it always make the reader think much , but it be nice to read a warm , fuzzy story sometimes . it be very similar to `` reader 's digest '' in its content , humor , and article style . naturally , it do have quite the catholic edge to it that the other `` digest '' lack , but i would not go into a theology fight with it tuck under my arm . it be reserve more for those time when we want to laugh a little bit or read about a young child make a difference in they community . in recent issue , there have be a number of nice article on individual who be catholic and in prominent place in society , lay volunteer , pope benedict 's life , and lourdes , france . none of these article be very thought-provoking but they do supply the reader with some nice general information . however , the magazine have also tackle tougher issue recently such as the existence of evil as secular society and christian view it and the real presence in the eucharist that most non-catholic do not believe . i convert to catholicism in 2000 . in the year before make my final decision , `` catholic digest '' be one of the resource that i pick up . it do not offer too much in the way of solidify my decision to join the church , but it do make some of bump along the way a little bit softer . not all catholic literature have to be tough and academic . every once in awhile we need a good laugh or just a nice story of human compassion . that be what i believe `` catholic digest '' excel in do . i love read the work of hahn , keating , madrid , and other , but every now and then i like to pick my latest copy of `` catholic digest , '' peruse the `` words for quiet moment '' or leaf through a short article about a catholic missionary 's work in some arid little town in the middle of nowhere . in other word , it give you a nice little break from the madness that be a christian life .
364	Magazine_Subscriptions	POS	5	i purchase this as a gift for my husband . he remember go through he grandparent 's stack and stack of national geographic . he be draw in by the outstanding photography and always learn something new about subject he do not know he be interested in . the same be true now . this be a great magazine , i be glad we be subscriber .
882	Magazine_Subscriptions	POS	5	timely information on the happening within the body of christ ; a conservative evangelical perspective without a lot of hellfire and brimstone . a worthwhile read .
290	Magazine_Subscriptions	POS	5	i order my subscription and receive november & december 2012 and january 2013 all on the same day . as i read one , my 22 year old son read another and my 9 year old daughter read the third . then we would a switch out and we even sit down and discuss what we read . this be one magazine i will read from front to back , skip nothing . thanks for this great opportunity for my scientific family to bond .
435	Magazine_Subscriptions	POS	5	perfect magazine to become inspired about entrepreneurship and start you own business . i look forward to receive it in the mail every month !
953	Magazine_Subscriptions	POS	4	scholastic parent & child be a good magazine that strive to educate parent on specific issue regard the raising of they child . this publication aim to offer advice and suggestion on way to teach you child better , deal with crisis , etc. , as you raise you child from birth through the early teenage year . scholastic parent & child help parent with child issue for youngster and its advice cover child from infant through approximately twelve year of age . the material contain within this magazine cover a multitude of topic and one of the nice quality be that the article be very up to date . this publication seek out the latest research , the newest methodology , etc. and apply it to the advice in each issue . scholastic parent and child want concerned parent to have the best information from the most reputable source , in order to make the best decision possible for you family , so its writer work hard to make sure they include the latest finding . another nice quality with scholastic parent and child be that the article be not aim solely at child . often , parent have concern of they own , such as balancing work and home , change career , seek reprieve from the challenge of parenthood , etc. . because of this , the magazine strive to include article aim at adult among its many department and section . yes , there be usually a family theme behind these article , but it be still nice that the magazine realize the importance of have a healthy adult to raise a happy , healthy child . . parenting magazine serve a important purpose and scholastic parent & child be a very good publication about raise kid , educate , deal with crisis , and have fun . this magazine cover a wide range of topic and while i would like it better if it offer more frequent publication and a few more page in each issue , it be still a very good magazine for family with child age twelve and under .
382	Magazine_Subscriptions	POS	5	the only diabetes magazine out there worth the money and the reading time ... lot of good info and advice .
677	Magazine_Subscriptions	POS	5	i really like this magazine . they balance educational article , recipe , and lifestyle article so well . sometimes in read similar article they be often fill with advertisement that swallow the article . this magazine balance everything so well . this magazine often feature educational article about new treatment and new medicine . i like that they be less bias than what you would see in a pharmacutical publication . recipe be simple , and very tasty . i also like that they give many different lifestyle suggestion for deal with diabetes . i feel this publication do well with the treatment of pre-diabetes , type i , and type ii , very well . it offer a balance of article that all patient should be able to walk away with quality information . i would encourage people to try this magazine if they be deal with this disease , or if you family deal with this disease . it simply do a exceptional job of go over treatment and change in lifestyle that you can make . diabetes be a serious disease , and be educate about the condition ensure that you give yourself better care .
274	Magazine_Subscriptions	POS	5	what can i say ... great product . i be happy with how fast i get it . i get the sept. issue . which be there largest . i have not get the oct. issue , which i be a little worried about . i be not sure what be go wrong there . i have already see oct. on the stand . other then that , i do like amazon for order mag ... m.c.
484	Magazine_Subscriptions	POS	4	that be what j-14 stand for . it be for teens pretty much yes . if you like gossip , poster , and info on you favorite celeb , music , and movie . i just start collect they last september and i think they good . i do not care abou the gossip that much but i like the rest of it . i be sick of see those kid off of high school musical though . i wish they would take they out of the magazine . especially zac efron ... blech . they good magazine though .
404	Magazine_Subscriptions	POS	5	this magazine be the architectural record of ` building for people ' , instead of ` building for architect ' . they exemplify how sustainablity be bring back humanity to architecture , through a mind set , not a building style . to the editor of dwell - you keep female architect in the profession with you inspiration for change . thank you .
420	Magazine_Subscriptions	POS	5	i be a interior architect , i appreciate the diversity , breadth and depth of the article . they commitment to high quality , not high budget , residential and product design keep they magazine on the top of my `` must read '' periodical reading pile . although my focus be not residential design this magazine continue to be a source of inspiration . they have truly raise the bar for residential design , bar none !
567	Magazine_Subscriptions	POS	5	i have be subscribe to dwell for a few year now and love this magazine . it always have a few wonderful feature article and great photo . dwell have a good balance between content and ad , but the ad they do have also highlight great design and be interesting in themselves . i be a former architecture student , but i do think that anyone who have a affinity for architecture , interior design , or furniture would thoroughly enjoy this one . i also like that the space they feature have a wide range of style , size , and location . in various issue i have see all type of style include : contemporary , mid-century , coastal , eclectic , loft , pre-fab design , and renovation . but for the most part one thing they all have in common be good design . i would highly recommend this one and do not see myself unsubscribing anytime soon !
36	Magazine_Subscriptions	POS	5	i order natiuonal geographic for both we son and daughter-in-law and for ourselves through amazon . the price be right -lrb- considerably less than through the magazine itself -rrb- and the subscription service be expedient . we start recieve the magazine shortly after subscribe . we be totally satisfy .
810	Magazine_Subscriptions	POS	5	my daughter love the magazine and actually spend more time reading than normal . something be better than nothing .
109	Magazine_Subscriptions	POS	4	now now ! before you get mad at i for my `` liberal slant '' comment in the title of this review , let i remind you that i also say it be `` a fantastic publication . '' : - -rrb- no matter what you political stance on hot button issue such as global warming and oil , you have to admit that national geographic take a liberal stance . be that good or bad ? entirely up to you to decide . but to they credit , they do a very fair job , within the article , of explain and examine all aspect and point of view . i subscribe because like most of we , i have always be a fan of they photograph , but as they begin to arrive in the mail i find myself pore over each and every page , read every issue from cover to cover . i have learn so many wonderful thing about culture and people i will never get a chance to see in real life , and i have educate myself on issue that otherwise would remain a mystery . one of the most enjoyable aspect of have a subscription be the insert that come in almost every issue . my all time favorite thus far have be a composite map of the entire world at night , show natural gas vent , wild fire , and city light across the globe . fascinating ! for the almost embarrassingly low price of $ 49.00 a year i be more educate , inform , and inspire then i be before i subscribe .
836	Magazine_Subscriptions	POS	5	anyone who appreciate great photography , whether it be landscape , people , place , event , artwork , etc. and have any interest in a western lifestyle will love this magazine ! and they interview with topical people be great too . russell crowe be outstanding , and come out right around the oscars !
920	Magazine_Subscriptions	POS	4	i really do not know . this be a gift renewal so it have not begin . blah , blah , blah blah blh blah blah blah ...
918	Magazine_Subscriptions	POS	4	we have have a subscription for several year . each month we enjoy read the various story of how god work in the life of individual . it be non-sectarian , which make it useful for people from a variety of faith tradition .
855	Magazine_Subscriptions	POS	5	i only recently discover this magazine while browse at we local books-a-million . this be a super magazine for serious sale professional . articles be top notch . very informative . a must only if you want to supercharge you sale career .
475	Magazine_Subscriptions	POS	5	i love how the article be informative and have visual aid . great magazine truly worth the price if you want to read interesting and captivating article about science and thing that be happen today . 5\/5
134	Magazine_Subscriptions	POS	5	i love the interview format , which be star interview other star . i particularly like gladys knight and alicia keyes . how cool ! beware , it be not a slick glossy , but be finish with matte , if you care . the spread be still gorgeous in sort of a smoke-filled-room kind of way . aside from get interview with big time star , they seem to spot and interview people who be on they way up and get to they well before the mainstream media do . prepare to be way ahead of the gossip curve . this be a andy warhol pub and it be always far ahead of the time .
289	Magazine_Subscriptions	POS	5	this great magazine show you how awesome it be to live the western life !
292	Magazine_Subscriptions	POS	5	great magazine , with in depth article cover interesting topic around the globe . i pity the fool who do not subscribe to ng
148	Magazine_Subscriptions	POS	4	most article be the perfect length for i and all fill with interesting picture . give a good taste of worldwide interior design .
582	Magazine_Subscriptions	POS	5	national geographic fill a special niche as a professional view especially on nature , wildlife and science . i have miss it for about a year , and so glad now to be subscribe again .
68	Magazine_Subscriptions	POS	5	i read part of the ` weekly standard ' each week online . i do not know if that mean i qualify to review the paper as a whole . i find its article informative and straightforward . there be a certain economy about the publication . it seem to i sometimes as if it be a kind of ` wall street journal ' in color . i suppose one reason i do not take objection to it in any serious way be that i most often agree with its politics . when i read its article i feel i be get the most for my money in the short time it take i .
412	Magazine_Subscriptions	POS	5	it be the go-to for fashion , style , beauty , and everything in between . it be the fashion bible !
472	Magazine_Subscriptions	POS	4	i think j-14 be a really good magazine if u like to hear the latest gossip about all you favorite celebrity 's , or if u like to get nice poster of all the hot celebrity 's , or even if u like to take those quiz to find out lot of neat different thing !! i recomend this magazine to anyone who like either of those thing !
651	Magazine_Subscriptions	POS	5	my grandmother get i a subscription for national geographic when i be about 8 year old and i have have it ever since . my husband and i really enjoy get new one in the mail and we pass they on to my mother-in-law when we be do . the picture be awesome and it be good to know what be go on in the world . there be quite a few ad in it , but not nearly as many as there be in some of the fashion magazine .
