index	Domain	Label	Rating	Review
693	GPS	POS	5	came in time for christmas ! do not include trail software , though . that must be purchase separately .
826	GPS	POS	5	simple , inexpensive but well make thin case . will perfectly fit , protect and help you carry around you 5 inch garmin nuvi . deliver quickly . highly recommend .
151	GPS	POS	5	i have a magellan previously but the screen on this unit be much larger and easier to view when drive .
255	GPS	POS	5	vacation in va beach be great ! my garmin 1350 do not let we down . take we be we want . save time . make it fun to travel without the frustration of try to get diresction . i would recommend this product unit to anyone . 1350 , portable gp be really amazing . good price for what you get .
606	GPS	POS	4	buy this for my son , who be head off to college . work great . any change to trip have it quickly recalculate the new route . i feel better know that he will not get lose and feel helpless while try to become accustomed to he new home away from home . would have give five star , but it do seem to have a harder time locate a satellite in the city . could have be all the tree .
728	GPS	POS	4	we gamin nuvi gps seem like a slightly imperfect but quite wonderful personal angel up in the satelite look out for we . the instruction for set up be easy to understand and follow , e , g , change mile to kilometer , change time from cst to est. . the actual plot of a route be amazing and probably accurate . because of ` local ' knowledge , we ` disobey ' twice to take a short cut , and the instrument very patiently recalibrate its direction . so far its be just fun .
202	GPS	POS	5	this be my second gp . my first be a magellan also , which i be very happy with . now a couple of year later , i decide to upgrade to the larger screen as it be easier to see . upon read other review , i find it be recommend for large car , suv 's , and truck . i have a 1998 toyota camry , which have a small dashboard . i measure ahead of time to make sure it would fit . and it do , snuggly , but that be all that matter ! i also purchase the 3 side bean bag weight to set it on which do not add any bulk . right now it touch my windshield , but it be on the dashboard just far enough back to not fall off . i can not say enough about the size of the display ! yes , it be large , but hey , when you get to be a senior with trifocal , the larger the screen , the better ! and the display switch to night vision which light up in mostly black and white and be easy to read at night . i would highly recommend this gp to anyone consider purchase a larger screen . when i park my car , i just pick it up and set it on the floor so it do not attract attention . absolutely perfect for i !
245	GPS	POS	4	i be really enjoy this magellan gps . it be a large screen . i like that it tell you that you destination be on the right or leave , which we last gp do not . i would purchase it again . if there be one thing i wish be better it would be more pous 's .
500	GPS	POS	5	i order the garmin 350 after do extensive research on amazon , consumer reports and other website that rate the product . i also do a test run at best buy where the sale person be tell a group of people that garmin be the best from a satellite and map perspective . the price of the nuvi 350 be well over $ 100 more than at amazon.com . and , they be out of stock , which tell i that even over $ 100 more it be a good selling item . my motivation to purchase a gp be due to get lose in a very unfavorable\/dangerous section of philadelphia where as a female alone i be afraid to stop and ask for direction . i be use mapquest direction that do not take into account construction detour . i have use the garmin nuvi 350 for several road trip since my purchase . i can not be more pleased . navigation through the unit be extremely user friendly . i simply type a address and hit `` go '' and i be on my way . you can add a additional stop to you route and incorporate it into the bigger trip . you can type in key word to a business you might be look for and it will pull up all listing in the area with that key word . for example , if i be look for direction or the phone # to biltmore winery , which be part of the biltmore estate , i simply type in biltmore and choose from the list it present i . the nuvi will also give you listing by hotel or restaurant type and list they by they distance away from you location . you can chooose chinese , italian , steak house , fast food , etc. . or you can choose all and see what be close to you . the voice be clear and audible on this unit . it be a cynch to snap in and out of its holder , which suction to you window . it have a leather case to keep it in when you be use it on foot to navigate through the city . the color be bright and friendly to the eye . you can store a list of favorite place and there be a button for `` home '' . start up be quick and the route that have be choose so far be efficient . it may not choose the route that you might usually take , but it do choose good route from my experience . it recalculate the route immediately if you take a different turn and get off the original route it provide for you . i travel to portland , or to visit a friend . i program he address into the unit and from there be able to drive my friend to work , go sight see on my own , drive back to he work and pick he up and drive straight back to he home . this be no easy feat with all the turn , interstate and highway that i be not familiar with . however , with the garmin nuvi 350 it be so simple to navigate through traffic without a worry . it be incredible . i would be lose without it ! no pun intend ! one thing i have notice , which would be the same with any gp i imagine , be that when you be park in a totally enclosed parking garage it take a moment for the unit to calculate you route . you must get out of the garage into a area where the satellite can reach the unit in order to calculate the route . overall , i be absolutely thrill with the garmin nuvi 350 . i be not a person that would score this unit less than a `` 5 '' b\/c of lack of reception in a enclose parking garage , which would most likely be the case with any gp unit . the benefit and feature , ease of use , feeling of safety for i and my service from amazon make this product a solid `` 5 '' in my opinion .
397	GPS	POS	4	this nuvus have same `` problem '' as my old one from 5-6 year ago . to the lay person it appear it can not charge and run at the same time -lrb- ie : plug it in for charge-up and it stop mapping -rrb- . turn out it can sense specifically where it be get it be 12 vdc . if it be from a real usb port -lrb- like on a laptop -rrb- , it shut down however if its from another 12 vdc source through the supply usb cable it be ok . i 'll bet my old one have the same issue but garmin only tell i the shutdown be not normal and\/or i must be mistaken !
