index	Domain	Label	Rating	Review
990	AlarmClock	POS	5	finally !!!!!! a clock like this that be totally silent ! no ticking , second hand sweep . yay ! i be very happy with it . works perfectly . alarm sound be not too loud or jarring at first , get progressively louder . if you can not stand the ticking , here 's you clock .
956	AlarmClock	POS	5	i get this alarm clock for my son 's 5th birthday since he will be start kindergarten in the fall . the clock be very user friendly for a young child and it be durable . there be basic button label on the back ... time , hour , minute , and a switch to turn the alarm on . i do not realize when i purchase it that it only beep but that be okay . my son like the idea of have a alarm clock , as it give he a sense of responsibility and be a big boy . you can either stand woody up or sit he down . it be very cute ! i would buy it again .
611	AlarmClock	POS	5	many year ago my husband have a similiar clock that he take to college and it be still in good work order when we marry and i love that clock . wake up to a blinking light minute before the dreadful audio alarm and then sadly it die . i be sooo pleased to find this clock and once again happily wake to the flash light and most morning be up and out of bed before the alarm sound and wake the entire house . the amber glow of the clockface be a lovely nightlight and very visible for these age eye . wish there be more color offer but i be just happy to have find my old friend .
28	AlarmClock	POS	5	my wife have be search for a simple alarm clock that she can carry with she in she suitcase and also use at she bedside , that have a light on that you can easily activate but be not on all the time to bother you . this clock meet all the requirement , and have a very classy antique look . she love it . the price be great and the delivery quick .
345	AlarmClock	POS	4	this be a great clock . the several other i purchase and return before i order this one have a display so bright it be like have a night light sit on the nightstand . this display be light only when you press the button on top and then only for a few seconds - a second or two longer would be good but it be ok the way it be . its feature all work great : the solar power , set itself from the atomic clock , and the date , time and temperature display . i have three complaint : press the button on top to turn on the indiglo night light to view the display make a fairly loud click noise , one can not choose to leave the indiglo light on -lrb- as one could on previous model of timex alarm clock -rrb- , and the switch to turn the alarm on and off be not convenient .
897	AlarmClock	POS	5	my son , who be 5 , have just love this . he can play with it , yet it be functional as well . sturdy and tough as it have be drop a couple of time , with no result issue . the alarm be not too overwhelming . it be a mild tone , which have effecticely wake he up for the last couple of week .
878	AlarmClock	POS	5	almost do not get it due to one review about it be ` too small ' -lrb- its not -rrb- and one say it get knock over easily -lrb- it do not -rrb- and one say it make too much ` noise ' -- say what ? i have it by my ear and do not hear it and i have great hearing . so to each he own ... but i get this clock for the bedside table and a extra alarm . the alarm be great ... start slowly and more quietly and build which be great . and this clock do not topple over ... stand extremely well-just as well as my other clock and it look sooooo rich and be a perfect size . . go to order another one for my bathroom as it look nice in there too ! you 'll be glad you get this one -lrb- re : the backlight -- or side light -- not too bright but i dont use that feature often anyhow -rrb- hope this help !
588	AlarmClock	POS	5	it be small , simple , wake i up , and do not cost much . just what i be look for .
466	AlarmClock	POS	4	the insta-set feature of these clock be a little misleading . they be not atomic clock . they do not recieve a external signal to set the clock automatically like a atomic clock . like any other digital clock these clock gain or lose a few seconds a year . they have to be set occasionally . google `` reset equity insta-set clock '' for instruction . basically , you hold down the dst or alarm set button for five seconds . you can then set the hour , minute , month , day ... like other digital clock . the documentation never say specifically what insta-set mean . apparently be just mean the clock do not have to be reset after a power outage . it have a internal battery that hold the time until the main power come back on . other than this misleading name for the insta-set feature the clock i have work well . it be worth what it cost .
530	AlarmClock	POS	4	i already own one of these , purchase 7 month ago . it break aweek ago , which make i wonder about the quality of the production . however , the functionality of the alarm be great ! all other alarmclock become background noise for i after awhile , allow i tosleep through they -lrb- and through the first few hour of work ! -rrb- . thisone have wake i up every day that i have turn it on .  the napfunction be also fantastic , allow i to powernap for a designatedperiod of time without disrupt the setting of the other two dailyalarm .  even if it break , i have get more than my $ ... worth .
898	AlarmClock	POS	5	this a totally cool product . sound quality on the phone be crystal clear , and the phone be super lightwheight . the led light on the alarm clock be soft and easy on the eye . great buy !!!!!!!!
692	AlarmClock	POS	5	i be redo my apartment and want a old fashion look alarm clock . this fit the bill with its art deco look . i have the pink one and it be a beautiful shade of pink . not bright like some here have say . think pepto bismol ! nor be it the bubble gum pink that little girl love . it be more a medium shade of pink . it have a silver band around the bottom that make it so attractive . now for what be more important , how it work . it be easy as pie , you just set the time and the alarm follow the direction in which to turn the knob in back . switch the alarm to on and you be do . when it go off , first you will get 5 minute of a gentle light that flash to wake you up . if after 5 minute , you do not respond than the alarm go off . it be more of a old fashion alarm clock sound than the buzz of new one . also , if during the night you have a power failure it have a battery operate backup . it just take 2 aa battery . i be surprised how reasonable the price for this one be . i have price other for a lot more . it be a real bargain and i be glad to have it now . i would highly recommend this alarm clock to anyone who be look for one .
98	AlarmClock	POS	5	my brother love he lego darth vader , when you take it out of the package he say it look like ep 3 where anakin become darth vader . `` padme !! ''
32	AlarmClock	POS	5	this little travel alarm be just what i need . small , easy to see and use and the alarm be just right . not too loud , plesant . love it .
514	AlarmClock	POS	5	the clock be purchase for my grandson who be autistic and love clock . the purchase be timely and in good shape as advertise . thanks .
774	AlarmClock	POS	4	i buy this clock because i want a `` set-and-forget '' clock that also have a thermometer . my major complaint about this clock be that in the two week that i have own it , it be never be able to sync with the atomic clock ! it keep try every night and never succeed . since return it be not worth the hassle , i decide to open it up and look inside . -lrb- i be a engineer , with some knowledge of how these circuit work -rrb- i be surprise to find that the the circuit inside look extremely cheap . there be a dry solder where the battery wire connect to the circuit board . the antenna -lrb- for the radio -rrb- have its wire short . everything look very sloppy in general . i then manage to separate the short on the antenna , hope that it would make the radio work . no luck . the radio sync still do not work . which be hardly surprising consider that the antenna itself be not cleanly wind ! it be unevenly wound by hand ! not machine wound . do i mention that the build quality be horrible ? i do not know if the clock 's circuitry have support for manage daylight savings or i have to reset it twice a year . i 'll find out in about 4 month i guess . but for the price , i guess it be a decent enough clock . it serve my purpose : maintain time fairly accurately and have a thermometer . i would really like to have the clock sync with the atomic clock via the radio though . edit -lrb- 17-jan-2010 -rrb- : okay , so the radio feature finally work out , but it be still kind of flaky , work sometimes , do not sometimes . i be willing to now give this product the benefit of the doubt : maybe it be my location or something about the construction of my apartment that be the problem . i have revise the rating to 4 star now . would give it five star if only i have not open up the clock and see the shoddy construction .
