index	Domain	Label	Rating	Review
493	GraphicsCard	POS	5	i originally be go to purchase this on newegg , but they sell out . amazon to the rescue ! i buy this card as a replacement for a burn out 5870 , so i be not see a huge improvement , but the hd 5870 be already a great card so i be not expect too much of a boost . that say , this thing run anything i throw at it . i cheap out and go with amd for a cpu , so i do not ultra max everything like some people be able to with this card , but i can run skyrim at 40-60fp on ultra high quality with 8x aa and 16x af , and crysis at very high at 30-40fp with 4x aa . these be about 5 to 10 frame higher than my 5870 be run they at so , i be happy with it . i do not have battlefield 3 yet , or i would test that as well . arkham city run great if i leave dx11 off , though this be more a issue with the game than the card . for unlocker : the card that i receive doe have a bio switch on it , but i could not get it to unlock the 6970 shader . i have read that some people have have success with it , but after work with it for a few hour , all i get be a card that would crash and produce major artifact with any bio other than the original one . i be still satisfied though , because i 'll be crossfire these by christmas next year , with a i7 cpu hopefully as well . : -rrb- overall , i be quite satisfied , provide this one do not die in a year and a half like my 5870 do . i 'll update this review if it do , or if i have any other issue with it .
840	GraphicsCard	POS	5	can barely contain my excitement while i make this video , i hope you guy enjoy it 1050 stock coreclock 1250 mem clock 1280 stream processors 2gb video ram
317	GraphicsCard	POS	5	and i could not be happier . i have quite a few problem with certain game -lrb- nothing too major , but when you be spend a lot of money you want it to work correctly -rrb- and finally decide to just go back to my root -lrb- my first card be a geforce 5200fx ... ah memory -rrb- . i buy this card wonder if it would solve my woe , and now i run absolutely anything i throw at it -lrb- skyrim , bf3 , witcher 2 , max payne 3 -rrb- at max setting with no chop . i have two atus card that total up to more than i spend on this card . sure it be powerful , but there be so many weird driver\/profile problem that it be not worth the hassle . this card have exceed my expectation , and for anyone who have the money this be absolutely worth it .
302	GraphicsCard	POS	5	wait people this be amazing graphic card for the price ... so hold on and breathe ... breathe ... the game i throw at it just explode with display before you eye ... so anybody who grace there eye on this beauty don ' -lrb- t stick just click . laterz people .
886	GraphicsCard	POS	5	i buy this card to upgrade my older p4 asus mb system to use a hd television as a monitor . it use a standard pci slot and full case size perfectly . it come with the part to modify it to a short case , but i do not use they and can not comment on that besides that they look perfectly well suit to accomplish that task . the driver install without issue on my win xp system and i do not bother to update they since they function fine through the hdmi cable -lrb- include audio -rrb- . not much else to say , work perfectly .
514	GraphicsCard	POS	4	product come in with all part and cable . install be easy . monitor come alive as soon as i turn it on . upgrade from a 128mb card and what a difference . brought new life to my old dell desktop . price be fair . i can now watch show on cbs.com in full screen and no lag when it hit hd broadcast . play facebook game with no problem . only bad thing be that it would not upload new driver from disk that it come with . got latest driver online .
528	GraphicsCard	POS	5	buy this to replace two sapphire 512mb 4870 card . the decrease in noise and temperature be unbelievable . i bump up skyrim from very high setting to ultra high . much smoother . love the performance increase . the only downside that i have find be a intermittent black screen flash . seem random . happen any time , browse , vpn , gaming . do not happen often . happen when the card 's speed toggle be flip to either setting . hope it be a driver issue . go to hold out for the next version to see if it be fix before talk with support .
113	GraphicsCard	POS	4	i be blow away by the performance of the card . it also hit 73c when under heavy load which be good for i and my high ambient temperature -lrb- that be also on latest driver which cause overheating -rrb- . i have purchase evga in the past and will continue to do so until i find a good reason not to . one thing that should be say be that in order to take full advantage of the excellent evga warranty you must register on they website within 30 day of purchase . the website registration can be painful due to e-mail issue and if you have already install you card you have to pull the serial off of it . the free downloadable copy of batman do not come with the game nor be there any coupon or mention of how to redeem it . i be not sure if amazon or evga be responsible for provide that but i will find out . test with : bfbc2 , deus ex 3 , world of warcraft , civilization v.
321	GraphicsCard	POS	5	the card be great , perform almost as good as a gtx 570 -lrb- 5 % - 6 % in performance -rrb- . and perform better than a gtx 570 if you overclock it . battlefield 3 on ultra setting -lrb- everything max -rrb- will run in about 42 - 57 fp . turn aa off and you will get 55 + -lrb- ultra -rrb- on high it will run above 60 + fps always . since i have not use the card that much i will list the con and pro so far . . pro : - clocked at 797mhz instead of 750mhz from msi and 765mhz from zotac . - look great ! - evga logo on card have a white lead so it look 's good if you have a case with a side window . - come with a awesome case badge . con : - big card . -lrb- not to i but it be for a lot of people -rrb- - hard to sli in the future since it may disappear after a while . . conclusion : it be a great card for the price , i would give it a solid 9\/10 .
646	GraphicsCard	POS	5	i replace 2 gt 250 's in slus with this baby . it draw less power , run much quieter , and much much faster . the multitude of video output provide ton of expansion beyond my single 1920x1200 24 incher , and bring single-card triple-head gaming into reach . the nvidia graphic driver rock in both windows and linux . stability have be top notch ; i have have my system run for day -lrb- and the day can get hot ! -rrb- to validate this . highly recommend .
