index	Domain	Label	Rating	Review
550	Projector	POS	5	i be use this projector in a linux -lrb- ubuntu -rrb- system . the quality of the image be perfect ... it be easy to set up -lrb- in fact , there be not necesary to do anything at all , just to plug it on -rrb- . the image size be always the same , it just depend of the projection distance . but the image resolution depend of the connection wire -lrb- if a s-video the max resolution be 800x600 , if vga the resolution grow up to 1920x1200 ... -rrb- and the graphic card . i be project the movie to a white wall , and have a image size about 1.80 m diag with 3m distance between wall and projector . it be not necessary to turn off all the ligth because the high contrast ratio , but it be better if there be not a lot clarity in the room .
320	Projector	POS	5	buy for iraq deployment ... awesome 5 ' + screen on the wall of my chu -lrb- trailer -rrb- . definitely need external speaker\/headphones , but in a darkened room the picture be great .
154	Projector	POS	5	just purchese the epson digital projector for we business . we love it . it be so easy to hook up , virtually nothing to it . buy at comp usa . probably could have save a few penny elsewhere but be quite pleased with we purchase .
600	Projector	POS	5	it be hard to believe that i can carry this little device around with i , which be the same size as a phone , only thicker , and spontaneously show my photo or a movie within 30 seconds . also , i be astounded by both the pricing and quality for such a deep discount off of the new price -lrb- buy it at tiger direct , as a refurb -rrb- . my refurb item be in brand new condition with all covering , bag and accessory that a new one would have . ca not believe all the cable that come with this to go along with all the datum port on this projector ! this be not mention in most review and i have wonder , prior to purchase , whether i would even have a iphone cable , but it come with a dexim connector which take the provide 2.5 mm to 3.5 mm phono plug . i can connect to my iphone , ipad , laptop , desktop pc , and also use a internal micro sd card up to 16gb which will hold roughly a dozen full length mp4 movie . be sure to use the include converter software if you movie be larger than 720x400 . again , the condition of my refurb unit be pristine , just like buy a new one . technically , the brightness for 20 lumen be much better than anticipate . of course , the farther you be from the surface you project on , the dimmer the image , but i be able to regularly project 50 inch diagonal image in a dark room which be fully saturate in color and with great contrast ! get a bit warm , but not hot . the provide padded zipper case allow you to safely carry in you pocket and have it with you all the time . instead of invest in a expensive screen , i buy a large , white , folding project board of foamcore material at a office supply store for around $ 15 . works perfectly and fold up to put in you car or carry around . it be large -lrb- roughly 26x36 '' but very light -rrb- . off the cuff , you can use any light color surface , even window shades , wall , or blind in a pinch .
129	Projector	POS	5	the yamaha ysp-4100bl be everything that it be review claim it be . far superior to the other less expensive competitive sound bar model in construction and performance . in this case , `` you get what you pay for ! '' .
907	Projector	POS	5	this be a very good projector for the price . the image quality be really great and you will have a good time with this projector .
696	Projector	POS	4	i will update this review after 6 month with the product . initial impression : beyond expectation . wow ! silent operation . function well . very happy that i do not settle for 720p ! i use my projector as purely a tv replacement for my living room , display the htpc or xbox360 via hdmi . i project a 97 '' image at 11.5 ' from the ceiling onto a wall paint with behr silverscreen . even with a lot of ambient light , include ambient sunlight -lrb- though uv window film -rrb- , the picture be bright and viewable . of course , as you subtract ambient light , the picture just get phenomenally better as black quickly deepen and color come alive and pop . functionality wise , this unit be very simple . everything be well lay out and it respond well to the remote -lrb- same exact remote as my previous viewsonic pj766d -rrb- . power-on and warm-up to full brightness take between 15-30 seconds , i would guestimate . source change be very fast . hdcp handshake seem to work perfectly . default brightness be set to `` normal '' . `` boost '' be not a whole bunch of extra light , but it be noticeable if you see the mode change . this projector be quiet . it have three big fan that move a bunch of air and a ton of heat , but it be just plain silent at any distance . this unit have really good black level for a entry level 1080p crossover projector . colours be bright , vibrant , and appear to be very correct right out of the box ; i will not be tweaking any color until i repaint my wall with rs-maxxmudd . i be sure there be always something better to be have , but this be great ! minimal\/virtually no rainbow effect , even if you try to force see it , thanks to the new 6 -lrb- or 7 ? -rrb- segment color wheel instead of my old pj766d that have a 4 color wheel . resolution be , as expect , fantastic ! wonderful . out of this world . it take a little bit of back and forth to get the focus \* just \* right -lrb- have a helper be vital ! -rrb- , but once it be there , you can literally see a strand of hair on someone 's head while sit on the couch directly under the projector -lrb- 11 foot -rrb- . you can see that people actually have pore from that distance . dirt and sand be no longer just abstract definition for that muddy-brown or detail-less tan look stuff that people walk on or waft through the air . small , passive ` actor ' in the environment come alive when you step up to 1080p and have native content to display on it . even 720p native content look fantastic . i only suspect sharpness will improve once i sand my wall and have a smooth surface to deal project on to . 2 hdmus and 1 vga be really the only input worth discuss in this day in age . i use both hdmi port via 25 ' bluerigger cable , which work flawlessly -lrb- the cable and port -rrb- for hdcp handshake with blu ray movie from the htpc . i would have like to see the vga port swap out for a dvi-d or another hdmi port , or another digital option for connectivity such as displayport . note : the bluerigger cable i mention be very high quality , have a nice , soft flexible jacket that make it very easy to route thing and you also will not be fight a thick , heavy cable that be try to pull you projector out of alignment while it try to coil back up . and you can not beat the price ; i get 25 ' cable for $ 13 per here on amazon . try find a 3 ' cable in retail store for less than $ 15 or $ 20 and you 'll find out what a great deal cable on amazon be . pro : everything . brightness , contrast , black level , color , resolution , long lamp life , ease of lamp change , hdcp compliance , quiet ! responsive remote . con : a little larger than i have expect , but i just do not do my homework on dimension . so , not really a con . as i note at the start , i 'll follow up after 6 month with the product . by which time it 'll be even more obsolete than it be already , but at least it should be lower in price and more available to people who want one , so maybe my update will help someone .
54	Projector	POS	4	i shop several store and heavily on-line before i purchase this projection unit . i want a projector for outdoors on my covered deck . the problem be could i find one that be go to be bright enough for a outdoor application where a lot of late afternoon sun would be . i must say i have be impress with this unit . yes there be time where the picture become a little wash out but overall it have be great . the biggest problem be when direct light be reflect onto the screen -- then it become wash out . during the most daylight time the picture be clear and bright . at night or in lower light the picture be excellent . when first use this i have a standard definition source and be use rca cable to carry signal to the projector . when i move to a hd satellite box and a 25-foot hdmi cable -lrb-  cmple ultra high speed hdmi cable , 25 foot  the sound from the box itself be very limited . the volume do not raise very high and the quality be rather flat . i hook up a sound bar -lrb-  ilive itp100b two channel bar speaker system with docking and recharge station for iphone and ipod -lrb- black -rrb-  i be project about 25 foot away from the screen and have size the image -lrb- use a zoom setting -rrb- to about a 74-inch screen . i be project onto a piece of white tile board that i purchase at a home store . the quality , detail , color , and clarity be very impressive .
340	Projector	POS	5	the projector cost more than i would normally spend , i be work part time as a youth director , publicly fund , as the economy be in poor shape the amount of donation have severely drop . the projector , although expensive , work exceptionally well , and will view well on less expensive , lower quality screen . i opt to purchase the pyle higher quality projector and a less expensive screen to manage my budget . over all , completely satisfy in this well work projector .
363	Projector	POS	5	bright , clear , quiet , perfect picture . hook up the blu-ray and wii . really enjoy and like we purchase . highly recommend .
212	Projector	POS	5	this projector be great i pay 35 dollar and it be not hd but i like it . i buy it to watch movie and play game and it be worth 35 dollar
331	Projector	POS	5	this past thanksgiving , after much prayer , and beg to my wife i be finally able to complete my home theater . i have have the opportunity to try out many projector through the year , always hope one day i would find the perfect one : good contrast and resolution with multi-capability such as computer , s-video , all the way down to rca plug-in . also it have to have huge `` bang-for-the-buck '' factor . i be not disappointed ! this projector by nec be surprising in many way . they pack it with a cool , very simplify , remote . plus , they throw in a extra computer cable so you can plug it right in . nice . it be very light at 7lb and the brightness of the 1500 ansus lumen soak the screen to display vividly sharp detail . i have try out many film so far to test its quality : fast and the furious , nemo , a bug life plus other . none have any problem . computer animated film sparkle on this machine . there be a fan within the projector to keep down the temp . most people decide on purchase depend on the loudness of the fan alone . gratefully , it be amazingly quiet . once you turn it off it blow in high gear for about ten seconds then its do . here be the catch : you have to want a big picture . the projector do come with a easy zoom function to control picture size , but the kicker be , with it be fifteen foot away from the screen the smallest the image can get be 6ft wide \/ 5ft tall . many may worry about dvd artifacting or pixelization at that size , but again , no worry . at 15 foot the image could easily be 10 foot across if i so choose . nice , once more . if you decide on a projector that have vivid color detail and large picture capability , even with the light on , look no further . like i say , i have test many through the year , some cost five to ten thousand dollar , you will find very little difference between they and this power pack machine . hat off to nec . ~ sao ~
831	Projector	POS	4	the mount be slightly confusing to figure out , but it end up be much better look than anticipate , and it be very secure . it also allow proper leveling of the projector , and then angle in 3 axis . no problem with it , i would recommend it for any epson projector .
130	Projector	POS	4	this product work great and be easy to set up . the carry case be thin and do not really seem to have enough protection for a $ 400 + piece of equipment . we also purchase the 2 or 3 year warranty . hopefully we will not need it .
948	Projector	POS	4	i recently purchase the epson 76c . i use it for watch dvd 's and television . i havent ' t use it with a computer . the dvd player be connect with a s-video cable and the television -lrb- cable box -rrb- be connect with rca cable . i can not give the unit 5 star because i do not really have any way to compare it with other projector . the store around here that sell projector do not have they on display like the big screen tv 's . the advantage of a projector be obvious ; small size , large picture , cost -lrb- $ 1,000 vs. $ 2,000 or more for big screen tv -rrb- . the projector bulb do need to be replace every 2000 to 3000 hour at cost of around $ 300 . i have the projector down the basement where it be fairly dark . i originally project the image on a wall . i experiment with different type of paint and find that flat white be about the best . do not use gloss white paint ! later i purchase a inexpensive screen that be slightly better than a white wall . the control on the 76c be very easy to use . several feature that i like on the unit include the two different light setting ; the low setting be for dark room -lrb- like my basement -rrb- and the high setting be for well light room . also , the low setting will extend bulb life . there be two ring on the projector , one for focus and one for image size . if you go with a projector , make sure you get one with xga resolution -lrb- 1024 x 768 -rrb- -lrb- like the 76c -rrb- which have almost twice the pixel as svga -lrb- 800 x 600 -rrb- .
499	Projector	POS	5	the product come with different screw to fit a variety of projector . i easily find what i need to mount my dell projector . once in place , there be lot of flexibility to adjust the postion as need .
