index	Domain	Label	Rating	Review
109	Vacuum	POS	5	i have try many different vacuum . this be the only one that really get my house clean , which my allergy certainly appreciate . 1 -rrb- it pull the fine dust out of the base of my carpet -- now it `` squeek '' lightly when i walk on it -lrb- previously , the dust lubricate its motion against the pad -rrb- . 2 -rrb- because it be bagless , i can empty it right away and the nasty stuff do not get a chance to fester and smell bad the next time i use the vacuum . i really love use a vacuum that do not make the air dusty or smelly ! i do make a point of clean it out thoroughly -lrb- knock off the dust outside the house -- i only wash filter occasionally . -rrb- and i wipe off exterior dust with a microfiber `` miracle '' dust cloth . i do this cleaning after every use so it be nice , clean , and ready to go for next time . the first time i use it , there be so much dirt in my carpet i need to empty it after each room ! usually , though , it 'll do a big chunk of the house before the dust bin be full . i do not let the dustbin overfill , because then the dust get pull deeper into the machine . this be the second bissell i have own . the first one 's rotate brush burn up after two year , which disappoint i . but it be still worth it for the price !
182	Vacuum	POS	5	i research vacume cleaner on consumer report before i buy , as i want one that could handle a few rug and hardwood floor - we have a 2 year old and 2 lab . plus we just move to the coast and there be a lot of sand ! this be a loud , heavy machine that remind i of my grandmother 's , but it work ! it get everything up , whether it be on the bare floor or the rug , and it have the hose if you need it as well . this be a bit annoying to i , as i find that attachment just fall off and get in the way , but they be handy at time . anyhow , there be some bad vacume and some way overpriced one out there , so for the cost this one be great !
373	Vacuum	POS	5	the vacuum arrive very quickly and my carpet have never be cleaner . the vacuum put out a `` new car '' smell when i use it and leave nothing behind . i highly recommend this product but make sure you get backup bag because this beast miss nothing !
982	Vacuum	POS	4	between i and my roommate , we have 4 cat . one with long hair -lrb- mancoon -rrb- and the rest be short hair . i know that i need a good quality vacuum that would pick up the cat hair . i have have the vacuum now for nearly a year and it be still work like it be brand new . i have have no problem with it - i change the vacuum bag every 2-3 month and clean the filter out . i prefer the bagged vacuum because with the bagless it seem that you have to clean all the filter almost after each use . maybe someday i 'll be able to save up for a dyson but not anytime soon : p
699	Vacuum	POS	5	i be very pleased with this vacuum . would recommend it to a friend . you have to empty the bag-less container ofter , but that be the worst part . love all the attachment that it come with !
281	Vacuum	POS	5	this be quite handy little vac , and with the extendable hose , it will reach most any where . yes the battery run down at about 6 minute , but if i have a big job , i use my regular vac . it be as loud as my regular vac . i recommend this .
763	Vacuum	POS	5	i have a b&d; phv1800 for what seem like a couple of year now and it still perform flawlessly . even still hold a good charge although i think the battery be just begin to show it be age . contrary to many review on this and the fhv1200 , these both do exactly what i expect they to do ... be there and work when i need they to pick up dust ball , and other small job around the house . they be not design to be whole house or even whole room vacuum . run they for a few minute and put they back on the charge for the next use . they be not shop vac . it be unfortunate that b&d; find it necessary to force we to buy a new probuct and not be able to replace the battery for less than the cost of a new vac -lrb- on amazon -rrb- . what company do not realize when they do this be that they open up the door for we to look at other product . there go what may have be a loyal customer . the fhv1200 be just what i have be look for to supplement the 1800 . it be perfect for desktop , hobby area cleanup . i have a lot of tech equipment clutter my desk -lrb- actually it be bigger than a desktop -rrb- which i can not move or get around with the standard hand vac -lrb- even the 1800 -rrb- . this one with the flex hose be more than perfect . it be great for clean around the equipment as well as clean those keyboard , dusty equipment air vent , etc. . just be sure all you key be secure or this vac will suck they and anything else that might be loose in to its innards . bottom line ... it be a great product and do more than i expect it to do . one last point . clean the filter . a prior reviewer be upset at the difficulty of clean the pleated filter . i agree that if you do not figure out how to clean it , you might not get everything out of it . here be how i do it . once you have open the compartment and remove the plastic shield and carefully remove the filter take it to a trash can . best use you big one . hold the filter loosely with you thumb inside and the remainder of you finger loosely hold the outside , start tap the filter against the inside of the trash can . as you can see , the open end be up . as you tap , rotate the filter so you wind up tap every area of the filter . you will learn that you can tap it pretty good without damage it . the key be to never hold it tight . you will damage it . keep do this until it be free of all material . if you be persistent , you will completely clean the filter -lrb- unless you be try to pick up anything other than dry material . if you be try to use this as a wet-dry vac , all bet be off . -rrb-
851	Vacuum	POS	5	my old vacuum cleaner be a inexpensive bagless model and work ok but i never really like clean it out . i always feel like dirt be `` float '' back into the house when i remove the dirt holding tank . it be damage in a flood and i need a new one so reasearched bag vs. bagless vacuum online . my research reveal that if you want a bagless vacuum spend the extra money and get a expensive one but you can get by with a less expensive model if it use bag . i decide on this model and be very surprised at the suction and cleaning power . i would definately recommend this model and would buy it again .
404	Vacuum	POS	5	the service\/delivery be excellent , upon open the box and lift it out i realize that i as a weak -lrb- woman -rrb- would never have to vacuum again as this unit be on the heavy side , but work very well when operate by the male of the house .
625	Vacuum	POS	5	leave it to german engineering ! they sure get this one right . i be really hesitant to spend this much on a vacuum but if this miele s7210 last at least several year i will be satisfy . it be very quiet compare to the hoovers and electrolux that i have use and purchase in the past . i like the swivel\/rotating head design , be not originally sure about that . the layout of the accessory and design of the hose be very convenient . it have do great on we short pile wool rug , tile and hardwood -lrb- with brush head off -rrb- and the small rug in we kitchen . i run over the cord once and it shut itself off to avoid damaging anything when the brush head get jam ! now if i can only teach it to pick-up the kid toy , floor cleaning would be cake ! i will try to update this review next year to make sure it be still hold up well .
