index	Domain	Label	Rating	Review
705	Video_Games	POS	4	we be a pixar household . my 5-year old son love all thing toy story , and we have watch toy story 2 more time than i care to admit in the company of adult . so when i find myself play buzz lightyear on a attack on zurg 's fortress , straight out of toy story 2 , i be beside myself . and i be 41 . the game be a must-play if you be a toy story fanatic , and simply can not get enough woody , buzz , jessie , and the rest of the gang . it be obvious that they do not get the a-list actor to do the voice , especially when stinky pete open he mouth , but it be still a blast to get to `` be '' woody try to make you way through andy 's room . the game start off fast , with a extend version of the train chase from the beginning of ts3 , and work its way through the rest of the movie with somewhat-related adventure . it be obvious that they have to make up some reason for the game to take 8 + hour , and so some of the mission be a bit off-plot from the film -lrb- s -rrb- . they be still fun , like figure out how to ride bullseye around sunnyside quickly . the thing that make this game 100 % worth the time and money , however , be the attack on zurg 's fortress . flying in as buzz lightyear , take on the robot , and then make my way to the center of the fortress be a blast . and when i get stick and could not make it any further i remember the secret entrance to the left , and sure enough , there it be . of course . for age-appropriate kid , or kid at heart , this game be indeed a fun romp through a land i already know with character i already love . if you be a hardcore gamer , this will make for a good , fun-hearted diversion from you normal gunfight . if you be a pixar junkie , know that you can defeat zurg , too .
170	Video_Games	POS	4	i love this game . it suck you in and you will remember the game all you life . for how much time they spend on this game and with all the other game they have do you would think they would have make the combat a little better by now . the kill animation be pretty corny and terribly do . the main story line be very very short . this be a major disappointment for i . after i beat the main quest i be like , `` wtf . . that be it ? '' . luckily as usual there be a ton of side quest . overall i think they could have do a better job .
790	Video_Games	POS	5	i have have this wius go on almost 2 year now and it still work great . i receive my wius even earlier than expect . i bring this gaming system for my 5 year old but the game seem a little to complicate for she to play on she own so i then bring she a nintendo ds . she have not play with the wius since . so if you be look for something that have more kid friendly game the nintendo d be definitely the way to go . she play it almost everday . its great for drive time or keep she busy at home . and they also have great educational game for young kid . but i will say that the wius have be great fun time with friend and family at home .
788	Video_Games	POS	5	pokemon crystal be so cool . on that game you get to choose a boy or a girl . now girl player do not have to be a boy . also the pokemon move in that game . so when you look at you pokemon , they be move . i think this be the coolest game . this be my review
986	Video_Games	POS	5	i grow up play mortal kombat . i be a fan of the series up to it be 3d debut , when it really begin spiral down-hill . soul calibur be the first 3d fighter that i feel be worth the buy . it have a deep storyline , as deep as fight game get . it include ton of secret that can be access by play through the game on various mode . the graphic be the best you can find on any system . buy the game if you even remotely like fight game . if you do not ... what be wrong with you ?
778	Video_Games	POS	5	just to let you all know , i have play the japanese version of the crystal game . and , put simply , it be a great game . it have several new feature that make it seem much more `` real '' . you mother have a friend over when you walk out of you room at the beginning . professor elm be now work at a computer and get the message from mr. pokemon right as you visit he . the pokemon all have neat little animation you see when you run into they . some new item , the chance to catch celebi , and be able to be a girl all make it more fun . -lrb- and , eh-heh , the girl be quite the looker for supposedly be ten year old . -rrb- as yellow do to red and blue , a mixture of the g\/s pokemon be find in crystal . i advise any die-hard fan -lrb- or even those that just want a new game to test -rrb- pick it up and give it a shot .
289	Video_Games	POS	5	the product be receive accord to the list in excellent condition and on time . i be satisfy because it be a good purchase and good gift tk .
82	Video_Games	POS	5	what i love most about vice city be its 80 's style , the music , the color , the car be all just a great atmosphere . i still think the graphic hold up well , for 2002 it be amazing . overall , a very fun game , it have beautiful scenery sometimes i just find my self cruise the city at night because the punk light look so nice , a if you a fan of brian de palma 's scarface definately check this out .
154	Video_Games	POS	4	i have no plan to buy this . when it come out it be way too expensive -lrb- $ 100 ??? -rrb- and i do not like football . -lrb- i be a baseball fan . -rrb- the price drop , then again and again . i finally find it at a acceptable price from a third-party seller and decide to go for it , since i would finish the 60 day challenge in ea sports active ii and want a different challenge . very glad i do . it be fun . it mix ea sports active 2 with some football exercise and a little testosterone . you can choose the stadium to work out in and pick a nfl player as you trainer . some of the exercise -lrb- foot fire , lunge , for example -rrb- be in ea sports active 2 , but the football exercise be not . i have only do a couple of workout -lrb- on normal mode -rrb- so far , but i be pleased . with a couple of exercise , it be important for you form to be very accurate or the game will not respond . -lrb- also , make sure you sync the monitor with the game , even if you have they synce with ea active 2 already . -rrb- but the added element from ea sports active 2 make this a good choice if the price be right . i be consider kick it up to hard mode , though i have it on hard mode in ea sports active 2 and end up drop it down to normal about 2\/3 of the way through because it really get too hard . -lrb- i be in my 50 . -rrb- but i like the workout with ea active 2 and i think i 'll this will do just as well .
656	Video_Games	POS	5	seriously , people , if you have a irrational hate for steam or be too dumb to use it properly - why do you keep buy the game base on it ? the information about this game use steamworks be available long before , anybody willing could research it easily before buy this game . why do you have to show you own stupidity\/laziness by announce that you find out about this game 's steamworks usage only after buy this game ? for the record , i have be use steam service since it be beta stage , on multiple pc -lrb- both windows-based and macos-based -rrb- , i have close to 200 title purchase through it , and i have never , ever have experience any kind of issue when use it almost every day , same go for 100 's of 1000 's of other user . have you ever give a slightest thought that if majority of people be use this service successfully that the problem that you be have be cause by the `` thing '' located between the chair and the keyboard , and not the valve software ? and before you try to critique steam further - guess what ? buy this particular game directly through steam be the only way to ensure that the game you be buy be not tamper with and you would get exactly what be advertise before the actual sale . not like with amazon 's physical copy of `` augmented edition '' pc version of this game , where they be advertise of have a `` bonus code '' for `` tactical pack '' , but do not actually include any of such code -lrb- read up the product discussion board for this particular version of the game -rrb- , or like with gamestop 's physical copy of this game , which be tamper with by gamestop -lrb- google it , the gamestop have officially admit that they intentionally remove a certain `` bonus code '' from the box of this game before reseal the box and sell they as `` new '' to all the customer -rrb- . because of such issue , this -lrb- hopefully -rrb- will be the last game i 'll ever purchase in physical form , all of my future game will be purchase through digital distribution service , be it either steam , ea 's origin or something else . as for the game itself , so far i like it -lrb- and i really , really love the original deus ex and absolutely hate the sequel and other game that attempt the emulate the same experience\/gameplay type -rrb- . i would say it be still not as immersing as the original `` deus ex '' , but it be a very faithful reproduction of it -lrb- the best one so far -rrb- when it come to write storyline , environment design , sound design and other various gameplay element -lrb- such as inventory system , the hud , the weapon system , the `` alternative level progression path '' and so on -rrb- and a very `` polish '' -lrb- in term of the game 's stability\/performance\/bugs issue -rrb- overall product . exclude the issue with the `` bonus code '' i would say it be well worth its price . for people who also like this game , especially for its storyline\/settings , i would also recommend read the related fiction book , `` deus ex : icarus effect '' , which storyline happen in the same `` universe '' , start a little bit earlier in timeline than this game and involve different `` main character '' , though also include the one that you 'll see\/meet in this game -lrb- for example all of the mercenary character that participate in the initial attack on sarif industries lab -rrb- .
